Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Suppose we want to synchronize two concurrent processes P and Q using binary semaphores S and T. The code for the processes P and Q is shown below. Process P: while (1) { W: print '0'; print '0'; X: } Process Q: while (1) { Y: print '1'; print '1'; Z: } Synchronization statements can be inserted only at points W, X, Y and Z  Which of the following will ensure that the output string never contains a substring of the form 01^n0 or 10^n1 where n is odd?",,"P(S) at W, V(S) at X, P(T) at Y, V(T) at Z, S and T initially 1",,"P(S) at W, V(T) at X, P(T) at Y, V(S) at Z, S and T initially 1",,"P(S) at W, V(S) at X, P(S) at Y, V(S) at Z, S initially 1",,"V(S) at W, V(T) at X, P(S) at Y, P(T) at Z, S and T initially 1",,C,MCQ,"P(S) means wait on semaphore ’S’ and V(S) means signal on semaphore ‘S’. The definition of these functions are : Wait(S) { while (i <= 0) ; S-- ; } Signal(S) { S++ ; } Initially S = 1 and T = 0 to support mutual exclusion in process ‘P’ and ‘Q’. Since, S = 1 , process ‘P’ will be executed and function Wait(S) will decrement the value of ‘S’. So,  S = 0 now. Simultaneously, in process ‘Q’ , T = 0 . Therefore, in process ‘Q’  control will be stuck in while loop till the time process ‘P’ prints ‘00’ and increments the value of ‘T’ by calling function V(T). While the control is in process ‘Q’,  S = 0 and process ‘P’ will be stuck in while loop. Process ‘P’ will not execute till the time process ‘Q’ prints ‘11’ and makes S = 1 by calling function V(S). Thus, process 'P' and 'Q' will keep on repeating to give the output ‘00110011 …… ‘ .  Watch GeeksforGeeks Video Explanation : Please comment below if you find anything wrong in the above post.",
2,"Suppose we want to synchronize two concurrent processes P and Q using binary semaphores S and T. The code for the processes P and Q is shown below. Process P: while (1) { W: print '0'; print '0'; X: } Process Q: while (1) { Y: print '1'; print '1'; Z: } Synchronization statements can be inserted only at points W, X, Y and Z. Which of the following will always lead to an output starting with '001100110011' ?",,"P(S) at W, V(S) at X, P(T) at Y, V(T) at Z, S and T initially 1",,"P(S) at W, V(T) at X, P(T) at Y, V(S) at Z, S initially 1, and T initially 0",,"P(S) at W, V(T) at X, P(T) at Y, V(S) at Z, S and T initially 1",,"P(S) at W, V(S) at X, P(T) at Y, V(T) at Z, S initially 1, and T initially 0",,B,MCQ,"P(S) means wait on semaphore ‘S’ and V(S) means signal on semaphore ‘S’. Initially, we assume S = 1 and T = 0 to support mutual exclusion in process P and Q.  Since S = 1, only process P will be executed and wait(S) will decrement the value of S. Therefore, S = 0.  At the same instant, in process Q, value of T = 0. Therefore, in process Q, control will be stuck in while loop till the time process P prints 00 and increments the value of T by calling the function V(T).  While the control is in process Q, semaphore S = 0 and process P would be stuck in while loop and would not execute till the time process Q prints 11 and makes the value of S = 1 by calling the function V(S). This whole process will repeat to give the output 00 11 00 11 …  . Thus, B is the correct choice.  Watch GeeksforGeeks Video Explanation :",
3,A 2 km long broadcast LAN has 10 7 bps bandwidth and uses CSMA/CD. The signal travels along the wire at 2 × 10 8 m/s. What is the minimum packet size that can be used on this network?,,50 bytes,,100 bytes,,200 bytes,,None of these,,D,MCQ,"In CSMA/CD, the transmitting node is listening for collisions while it transmits it's frame. Once it has finished transmitting the final bit without hearing a collision, it assumes that the transmission was successful. In this worst-case collision scenario, the time that it takes for a Node to detect that its frame has been collided with is twice the propagation delay. Hence to confirm that the collision has not occurred the condition for the minimum size of the packet is: RTT = Transmission Time Transmission Time = Length of packet / Bandwidth RTT = 2 (d/v) = 2(2000/2×10^8) Therefore to find minimum size of the packet, RTT = Length of packet / Bandwidth Length of packet = RTT x Bandwidth = 2(2000/2×10^8) x 10^7 = 200bits = 25bytes Therefore, minimum size of the packet = 25bytes",
4,Host A is sending data to host B over a full duplex link. A and B are using the sliding window protocol for flow control. The send and receive window sizes are 5 packets each. Data packets (sent only from A to B) are all 1000 bytes long and the transmission time for such a packet is 50 µs. Acknowledgement packets (sent only from B to A) are very small and require negligible transmission time. The propagation delay over the link is 200 us. What is the maximum achievable throughput in this communication?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2003/Question_Images/f7f71514e1b7a006-H22Fp7Fh0asFBSSsRYhLHN8cKiClOE.png,A,,B,,C,,D,,B,MCQ,"Network throughput, ≈ Window size / roundtrip time Roundtrip time, = 2 × Packet delivery time + processing delay = Transmission delay + 2 * propagation delay = 50 microsec + 2 * 200 microsec = 450 microsec Now, Throughput = ((5*1000*bytes)/450microsec) = 11.1111 * 10 6 bytes per second So, option (B) is correct.",
5,"Consider the following three claims 1. (n + k) m = Θ(n m ), where k and m are constants 2. 2 n + 1 = O(2 n ) 3. 2 2n + 1 = O(2 n ) Which of these claims are correct ?",,1 and 2,,1 and 3,,2 and 3,,"1, 2, and 3",,A,MCQ,(n + k) m and Θ(n m ) are asymptotically same as theta notation can always be written by taking the leading order term in a polynomial expression.   2 n + 1 and O(2 n ) are also asymptotically same as 2 n + 1 can be written as 2 * 2 n and constant multiplication/addition doesn't matter in theta notation. 2 2n + 1 and O(2 n ) are not same as constant is in power.,
6,"In a permutation a1.....an of n distinct integers, an inversion is a pair (ai, aj) such that i < j and ai > aj. What would be the worst-case time complexity of the Insertion Sort algorithm, if the inputs are restricted to permutations of 1.....n with at most n inversions?",,Θ (n 2 ),,Θ (n*log(n)),,Θ (n 1.5 ),,Θ (n),,D,MCQ,"Insertion sort runs in Θ(n + f(n)) time, where f(n) denotes the number of inversions initially present in the array being sorted.",
7,"Consider the C program shown below. C #include <stdio.h> #define print(x) printf(""%d "", x) int x ; void Q ( int z ) { z += x ; print ( z ); } void P ( int * y ) { int x = * y + 2 ; Q ( x ); * y = x - 1 ; print ( x ); } main ( void ) { x = 5 ; P ( & x ); print ( x ); } The output of this program is",,12 7 6,,22 12 11,,14 6 6,,7 6 6,,A,MCQ,"x is global so first x becomes 5 by the first line in main(). Then main() calls P() with address of x. // in main(void) x = 5 // Change global x to 5 P(&x) P() has a local variable named 'x' that hides global variable. P() then calls Q() by passing value of local 'x'. // In P(int *y) int x = *y + 2; // Local x = 7 Q(x); In Q(int z), z uses x which is global // In Q(int z) z += x; // z becomes 5 + 7 printz(); // prints 12 After end of Q(), control comes back to P(). In P(), *y (y is address of global x) is changed to x - 1 (x is local to P()). // Back in P() *y = x - 1; // *y = 7-1 print(x); // Prints 7 After end of Q(), control comes back to main(). In main(), global x is printed. // Back in main() print(x); // prints 6 (updated in P() //           by *y = x - 1 )",
8,"In a system with 32 bit virtual addresses and 1 KB page size, use of one-level page tables for virtual to physical address translation is not practical because of",,the large amount of internal fragmentation,,the large amount of external fragmentation,,the large memory overhead in maintaining page tables,,the large computation overhead in the translation process,,C,MCQ,See question 4 of http://www.geeksforgeeks.org/operating-systems-set-4/,
9,"Which of the following is NOT an advantage of using shared, dynamically linked libraries as opposed to using statically linked libraries ?",,Smaller sizes of executable files,,Lesser overall page fault rate in the system,,Faster program startup,,Existing programs need not be re-linked to take advantage of newer versions of libraries,,C,MCQ,"Refer Static and Dynamic Libraries In Non-Shared (static) libraries, since library code is connected at compile time, the final executable has no dependencies on the library at run time i.e. no additional run-time loading costs, it means that you don’t need to carry along a copy of the library that is being used and you have everything under your control and there is no dependency.",
10,"A processor uses 2-level page tables for virtual to physical address translation. Page tables for both levels are stored in the main memory. Virtual and physical addresses are both 32 bits wide. The memory is byte addressable. For virtual to physical address translation, the 10 most significant bits of the virtual address are used as index into the first level page table while the next 10 bits are used as index into the second level page table. The 12 least significant bits of the virtual address are used as offset within the page. Assume that the page table entries in both levels of page tables are 4 bytes wide. Further, the processor has a translation look-aside buffer (TLB), with a hit rate of 96%. The TLB caches recently used virtual page numbers and the corresponding physical page numbers. The processor also has a physically addressed cache with a hit rate of 90%. Main memory access time is 10 ns, cache access time is 1 ns, and TLB access time is also 1 ns. 	 Suppose a process has only the following pages in its virtual address space: two contiguous code pages starting at virtual address 0x00000000, two contiguous data pages starting at virtual address 0×00400000, and a stack page starting at virtual address 0×FFFFF000. The amount of memory required for storing the page tables of this process is:",,8 KB,,12 KB,,16 KB,,20 KB,,C,MCQ,"Breakup of given addresses into bit form:- 32bits are broken up as 10bits (L2) | 10bits (L1) | 12bits (offset) first code page: 0x00000000 = 0000 0000 00 | 00 0000 0000 | 0000 0000 0000 so next code page will start from 0x00001000 = 0000 0000 00 | 00 0000 0001 | 0000 0000 0000 first data page: 0x00400000 = 0000 0000 01 | 00 0000 0000 | 0000 0000 0000 so next data page will start from 0x00401000 = 0000 0000 01 | 00 0000 0001 | 0000 0000 0000 only one stack page: 0xFFFFF000 = 1111 1111 11 | 11 1111 1111 | 0000 0000 0000 Now, for second level page table, we will just require 1 Page which will contain following 3 distinct entries i.e. 0000 0000 00, 0000 0000 01, 1111 1111 11. Now, for each of these distinct entries, we will have 1-1 page in Level-1. Hence, we will have in total 4 pages and page size = 2^12 = 4KB. Therefore, Memory required to store page table = 4*4KB = 16KB.",
