Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Given the programming constructs i) assignment ii) for loops where the loop parameter cannot be changed within the loop iii) if-then-else iv) forward  go to v) arbitrary go to vi) non-recursive procedure call vii) recursive procedure/function call viii) repeat loop, which constructs will you not include in a programming language such that it should be possible to program the terminates (i.e. halting) function in the same programming language.",,"ii), iii), iv)",,"v), vii), viii)",,"vi), vii), viii)",,"iii), v), viii)",,B,MCQ,,
2,Which of the following actions is/are typically not performed by the operating system when switching context from process A to process B?,,Saving current register values and restoring saved register values for process B.,,Changing address translation tables.,,Swapping out the memory image of process A to the disk.,,Invalidating the translation look-aside buffer.,,C,MCQ,"During context switch processes are not swapped out from memory to disk but processes are generally swapped out from memory to disk when they are suspended. Also, during context switch OS invalidates TLB so that the TLB coincides with the currently executing processes.

So, option (C) is false.",
3,"Consider the following C function definition. int Trial (int a, int b, int c)
{
    if ((a >= b) && (c < b) return b;
    else if (a>=b) return Trial(a, c, b);
    else return Trial(b, a, c);
} The function Trial:",,"finds the maximum of a, b and c",,"finds the minimum of a, b and c",,"finds the middle number of a, b and c",,None of the above,,D,MCQ,"Trial (a,b,c) return the median element of the a, b and c,but not middle element of a , b and c. But if a = b = c, then infinite loop.
So, Option (D) is correct.",
4,"If T1 = O(1), give the correct matching for the following pairs: (M) Tn=Tn−1+n           (U) Tn=O(n)
(N) Tn=Tn/2 +n          (V) Tn=O(nlogn)
(O) Tn=Tn/2 +nlogn      (W) T=O(n^2)
(P) Tn=Tn−1 +logn       (X) Tn=O(log^2n)",,M-W N-V O-U P-X,,M-W N-U O-X P-V,,M-V N-W O-X P-U,,M-W N-U O-V P-X,,,MCQ,"(M) T(n) = T(n-1) + n = 1 + 2 + 3 + … + n = O(n^2) — choice is (W)

(N) T(n) = T(n/2) + n = O(n), using master theorem case -3, - choice is (U)

(O) T(n) = T(n/2) + nlogn = O(nlogn), using master theorem case -3, - choice is (v)

(P) T(n) = T(n-1) + logn = log 1 + log 2 + log 3 + … + log n 
         = log(1*2*3…*n) = log(n!) = nlogn = O(nlogn) - choice is (v) Therefore, none option matches.",
5,"The minimum number of record movements required to merge five files A (with 10 records), B (with 20 records), C (with 15 records), D (with 5 records) and E (with 25 records) is:",,165,,90,,75,,65,,A,MCQ,"Using optimal merge pattern algorithm arrange files in increasing order of records: D  A   C   B   E

5  10  15  20  25 Now, minimum number of record movements required = sum of internal node's value = 15 + 30 + 45 + 75 = 165

So, option (A) is correct.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/1999/Explanation_Images/593df0fee77cb823-kQfMh5yTp6HkLAnZQGqtQX7W62h4qo.png
6,A sorting technique is called stable if:,,It takes O(n*log(n)) time,,It maintains the relative order of occurrence of non-distinct elements,,It uses divide and conquer paradigm,,It takes O(n) space,,B,MCQ,The correct option is B it maintains the relative order of occurrence of non-distinct elements A sorting algorithm is called stable if it keeps elements with equal keys in the same relative order in the output as they were in the input.,
7,Suppose we want to arrange the ii numbers stored in an array such that all negative values occur before all positive ones. Minimum number of exchanges required in the worst case is:,,n-1,,n,,n+1,,None of the above,,D,MCQ,"When we have 'i' numbers stored in an array, we have to swap all positive numbers with negative and in worst case positive numbers will be i/2.",
8,"If one uses a straight two-way merge sort algorithm to sort the following elements in ascending order 20, 47, 15, 8, 9, 4, 40, 30, 12, 17 then the order of these elements after the second pass of the algorithm is:",,"8, 9, 15, 20, 47, 4, 12, 17, 30, 40",,"8, 15, 20, 47, 4, 9, 30, 40, 12, 17",,"15, 20, 47, 4, 8, 9, 12, 30, 40, 17",,"4, 8, 9, 15, 20, 47, 12, 17, 30, 40",,B,MCQ,In first pass the elements are sorted in n/4 (first 2 elements in each group) sub arrays but in second pass the elements are sorted in n/2 (first 4 elements in each group) sub arrays.,
9,"Listed below are some operating system abstractions (in the left column) and the hardware components or mechanism (in the right column) that they are abstractions of. Which of the following matching of pairs is correct? A. Thread                      1. Interrupt
B. Virtual address space       2. Memory
C. File system                 3. CPU
D. Signal                      4. Disk",,"A-2, B-4, C-3, D-1",,"A-1, B-2, C-3, D-4",,"A-3, B-2, C-4, D-1",,"A-4, B-1, C-2, D-3",,C,MCQ,Thread is handled by CPU. Virtual address space (it is a set of virtual memory addresses that a process can use) is associated with memory management. File System is used for disk management. Interrupt is a type of signal.,
10,"Which of the following is/are advantages of virtual memory?

a) Faster access to memory on an average.

b) Processes can be given protected address spaces.

c) Linker can assign addresses independent of where the program will be loaded in physical memory.

d) Programs larger than the physical memory size can be run.",,a and b,,b and c,,b and d,,All of the above,,C,MCQ,"Virtual memory provides an interface through which processes access the physical memory. So, A. Swapping of pages increases time while virtual memory concept is there and it slower the execution as compared to Direct access from physical memory. So, it is false. B. Without virtual memory, it is difficult to give protected address space to processes as they will be accessing physical memory directly. So, it is true C. Some other method can be used to assign addresses independent of where the program. so it is false. D. Virtual memory allows a process to run using a virtual address space which is larger in size then the address of physical memory and pages are swapped in between physical memory and virtual memory when physical memory gets full. So, it is True.

So, statement (b) and (d) are Correct.",
11,"A multi-user, multi-processing operating system cannot be implemented on hardware that does not support:

a) Address translation

b) DMA for disk transfer

c) At least two modes of CPU execution (privileged and non-privileged).

d) Demand Paging",,Only A,,"Both A, B",,"A, B and C",,"A, B and D",,C,MCQ,"The correct answer would be (a) and (c) as address translation is required in the multi-programming so that no process can go into any other process’s memory. And atleast 2 modes should be present in the CPU execution so that the privileged mode could control the resource allocation of the unprivileged mode users. The DMA and Demand Paging improves the performance of the OS. Hence they are not necessary conditions in a multi-programming. But since (a) and (c) is not answers mentions in the options so the next best option will be (C) containing both (a) and (c) along with (b).
So, option (C) is correct.",
12,Consider the following program in a language that has dynamic seeping. var x : real ; procedure show : begin print ( x ); end ; procedure small ; var x : real ; begin x : = 0.125 ; show ; end ; begin x := 0.25 show ; small end . Then the output of the program is:,,0.125 0.125,,0.25 0.25,,0.25 0.125,,0.125 0.25,,C,MCQ,,
13,System calls are usually invoked by using:,,A software interrupt,,Polling,,An indirect jump,,A privileged instruction,,A,MCQ,,
14,RAID configurations of disks are used to provide,,Fault-tolerance,,High speed,,High data density,,None of the above,,A,MCQ,,
15,The number of tokens in the Fortran statement DO 10  I= 1.25 is,,3,,4,,5,,None of above,,C,MCQ,,
16,The relational algebra expression equivalent to the following tuple calculus expression { t | t ∈ r ∧ (t[A] = 10 ∧ t[B] = 20 } is,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/1999/Question_Images/9b9204e5be009446-8ceEQoywKA3GhVfI7oq4KkVQv0HWz7.png,a,,b,,c,,d,,C,MCQ,"In Given relational algebra, Tuple t should have two attributes A=10 and B=20
In A, we select tuples having A=10 or B=20 so, it is wrong choice.
In B, we select tuples having A=10 or we can select tuples having B=20, so it is also wrong choice.
D is also wrong choice.
In C, we select tuples having A=10 and tuples having B=20, it is same as above relational algebra. Hence, option (C) is Correct.",
17,"Consider the join of a relation R with a relation S. If K has m tuples and S has n tuples , then the maximum and minimum sizes of the join respectively are:",,m+n and 0,,mn and 0,,m+n and m-n,,mn and m+n,,B,MCQ,When there is no foreign key constraint between two tables then the max and min number of tuples in their join is mn and 0 respectively.,
18,"Let R = ( A, B, C, D, E, F ) be a relation scheme with the following dependencies:

C→F, E→A, EC→D, A→B. Which of the following is a key of R?",,CD,,EC,,AE,,AC,,B,MCQ,"To check find the closure for all
{CD} = {CDF}
{EC} = {ECDAFB}   Only this is the key because it drives all attributes.
{AE} = {AEB}
{AC} = {ACBF}

Hence, Option (B) is Correct.",
