Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"A certain computation generates two arrays a and b such that a[i]=f(i) for 0 ≤ i < n and b[i]=g(a[i]) for 0 ≤ i < n. Suppose this computation is decomposed into two concurrent processes X and Y such that X computes the array a and Y computes the array b. The processes employ two binary semaphores R and S, both initialized to zero. The array a is shared by the two processes. The structures of the processes are shown below. Process X: Process Y: private i;                         private i; for (i=0; i < n; i++) {            for (i=0; i < n; i++) { a[i] = f(i);                       EntryY(R, S); ExitX(R, S);                       b[i]=g(a[i]); }                                 } Which one of the following represents the CORRECT implementations of ExitX and EntryY? (A) ExitX(R, S) { P(R); V(S); } EntryY (R, S) { P(S); V(R); } (B) ExitX(R, S) { V(R); V(S); } EntryY(R, S) { P(R); P(S); } (C) ExitX(R, S) { P(S); V(R); } EntryY(R, S) { V(S); P(R); } (D) ExitX(R, S) { V(R); P(S); } EntryY(R, S) { V(S); P(R); }",,A,,B,,C,,D,,C,MCQ,The purpose here is neither the deadlock should occur nor the binary semaphores be assigned value greater than one. A leads to deadlock B can increase value of semaphores b/w 1 to n D may increase the value of semaphore R and S to 2 in some cases See http://geeksquiz.com/operating-systems-process-management-question-13/,
2,"A shared variable x, initialized to zero, is operated on by four concurrent processes W, X, Y, Z as follows. Each of the processes W and X reads x from memory, increments by one, stores it to memory, and then terminates. Each of the processes Y and Z reads x from memory, decrements by two, stores it to memory, and then terminates. Each process before reading x invokes the P operation (i.e., wait) on a counting semaphore S and invokes the V operation (i.e., signal) on the semaphore S after storing x to memory. Semaphore S is initialized to two. What is the maximum possible value of x after all processes complete execution?",,-2,,-1,,1,,2,,D,MCQ,"Background Explanation: A critical section in which the process may be changing common variables, updating table, writing a file and perform another function. The important problem is that if one process is executing in its critical section, no other process is to be allowed to execute in its critical section. Each process must request permission to enter its critical section. A semaphore is a tool for synchronization and it is used to remove the critical section problem which is that no two processes can run simultaneously together so to remove this two signal operations are used named as wait and signal which is used to remove the mutual exclusion of the critical section. as an unsigned one of the most important synchronization primitives, because you can build many other Decrementing the semaphore is called acquiring or locking it, incrementing is called releasing or unlocking. Solution : Since initial value of semaphore is 2, two processes can enter critical section at a time- this is bad and we can see why. Say, X and Y be the processes.X increments x by 1 and Z decrements x by 2. Now, Z stores back and after this X stores back. So, final value of x is 1 and not -1 and two Signal operations make the semaphore value 2 again. So, now W and Z can also execute like this and the value of x can be 2 which is the maximum possible in any order of execution of the processes. (If the semaphore is initialized to 1, processed would execute correctly and we get the final value of x as -2.) Option (D) is the correct answer. Another Solution: Processes can run in many ways, below is one of the cases in which x attains max value Semaphore S is initialized to 2 Process W executes S=1, x=1 but it doesn't update the x variable. Then process Y executes S=0, it decrements x, now x= -2 and signal semaphore S=1 Now process Z executes s=0, x=-4, signal semaphore S=1 Now process W updates x=1, S=2 Then process X executes X=2 So correct option is D Another Solution: S is a counting semaphore initialized to 2 i.e., Two process can go inside a critical section protected by S. W, X read the variable, increment by 1 and write it back. Y, Z can read the variable, decrement by 2 and write it back. Whenever Y or Z runs the count gets decreased by 2. So, to have the maximum sum, we should copy the variable into one of the processes which increases the count, and at the same time the decrementing processed should run parallel, so that whatever they write back into memory can be overridden by incrementing process. So, in effect decrement would never happen. Related Links: http://quiz.geeksforgeeks.org/process-synchronization-set-1/ https://www.geeksforgeeks.org/operating-systems-process-management-question-11/ for explanation This solution is contributed by Nitika Bansal",
3,"Three concurrent processes X, Y, and Z execute three different code segments that access and update certain shared variables. Process X executes the P operation (i.e., wait) on semaphores a, b and c; process Y executes the P operation on semaphores b, c and d; process Z executes the P operation on semaphores c, d, and a before entering the respective code segments. After completing the execution of its code segment, each process invokes the V operation (i.e., signal) on its three semaphores. All semaphores are binary semaphores initialized to one. Which one of the following represents a deadlock-free order of invoking the P operations by the processes?",,X: P(a)P(b)P(c) Y: P(b)P(c)P(d) Z: P(c)P(d)P(a),,X: P(b)P(a)P(c) Y: P(b)P(c)P(d) Z: P(a)P(c)P(d),,X: P(b)P(a)P(c) Y: P(c)P(b)P(d) Z: P(a)P(c)P(d),,X: P(a)P(b)P(c) Y: P(c)P(b)P(d) Z: P(c)P(d)P(a),,B,MCQ,"Option A can cause deadlock. Imagine a situation process X has acquired a, process Y has acquired b and process Z has acquired c and d. There is circular wait now. Option C can also cause deadlock. Imagine a situation process X has acquired b, process Y has acquired c and process Z has acquired a. There is circular wait now. Option D can also cause deadlock. Imagine a situation process X has acquired a and b, process Y has acquired c. X and Y circularly waiting for each other. See http://www.eee.metu.edu.tr/~halici/courses/442/Ch5%20Deadlocks.pdf Consider option A) for example here all 3 processes are concurrent so X will get semaphore a, Y will get b and Z will get c, now X is blocked for b, Y is blocked for c, Z gets d and blocked for a. Thus it will lead to deadlock. Similarly one can figure out that for B) completion order is Z,X then Y. This question is duplicate of http://geeksquiz.com/operating-systems-process-management-question-8/",
4,"Consider a hard disk with 16 recording surfaces (0-15) having 16384 cylinders (0-16383) and each cylinder contains 64 sectors (0-63). Data storage capacity in each sector is 512 bytes. Data are organized cylinder-wise and the addressing format is  <cylinder no., surface no., sector no.> . A file of size 42797 KB is stored in the disk and the starting disk location of the file is <1200, 9, 40>. What is the cylinder number of the last sector of the file, if it is stored in a contiguous manner?",,1281,,1282,,1283,,1284,,D,MCQ,File size is 42797KB= 4279*2^10B=85594*2^9B. Now one sector=512B so file will be stored in 85594 sectors i.e we need to cross 85594 sectors  starting of the file is  number of cylinders to cross=85594/16*64= 83 cylinders remaining sectors to cross=85594-(83*16*64)=602  number of surfaces to cross=9  so to cross 9 surface we need to cross on more cylinder as file has started at surface 9 and no of surface in cylinder is 16 so  number of cylinder to cross=83+1=84 so cylinder no. 1200+84=1284,
5,"Which of the following statements are TRUE? 1. The problem of determining whether there exists a cycle in an undirected graph is in P. 2. The problem of determining whether there exists a cycle in an undirected graph is in NP. 3. If a problem A is NP-Complete, there exists a non-deterministic polynomial time algorithm to solve A.",,"1, 2 and 3",,1 and 2 only,,2 and 3 only,,1 and 3 only,,A,MCQ,"1. We can either use BFS or DFS to find whether there is a cycle in an undirected graph.  For example, see DFS based implementation to detect cycle in an undirected graph .  The time complexity is O(V+E) which is polynomial. 2. If a problem is in P, then it is definitely in NP (can be verified in polynomial time).  See NP-Completeness 3.  True.  See See NP-Completeness",
6,"A computer uses 46-bit virtual address, 32-bit physical address, and a three-level paged page table organization. The page table base register stores the base address of the first-level table (T1), which occupies exactly one page. Each entry of T1 stores the base address of a page of the second-level table (T2). Each entry of T2 stores the base address of a page of the third-level table (T3). Each entry of T3 stores a page table entry (PTE). The PTE is 32 bits in size. The processor used in the computer has a 1 MB 16-way set associative virtually indexed physically tagged cache. The cache block size is 64 bytes.  What is the size of a page in KB in this computer?",,2,,4,,8,,16,,C,MCQ,See http://geeksquiz.com/operating-systems-memory-management-question-9/ for solution.,
7,"Consider the following two sets of LR(1) items of an LR(1) grammar. X -> c.X, c/d X -> .cX, c/d X -> .d, c/d X -> c.X, $ X -> .cX, $ X -> .d, $ Which of the following statements related to merging of the two sets in the corresponding LALR parser is/are FALSE? Cannot be merged since look aheads are different. Can be merged but will result in S-R conflict. Can be merged but will result in R-R conflict. Cannot be merged since goto on c will lead to two different sets.",,1 only,,2 only,,1 and 4 only,,"1, 2, 3, and 4",,D,MCQ,"The given two LR(1) set of items are : X -> c.X, c/d X -> .cX, c/d X -> .d, c/d and X -> c.X, $ X -> .cX, $ X -> .d, $ The symbols/terminals after the comma are Look-Ahead symbols.  These are the sets of LR(1) ( LR(1) is also called CLR(1) ) items.  The LALR(1) parser combines those set of LR(1) items which are identical with respect to their 1st component but different with respect to their 2nd component.  In a production rule of a LR(1) set of items, ( A -> B , c ) , A->B is the 1st component , and the Look-Ahead set of symbols, which is c here, is the second component.  Now we can see that in the sets given, 1st component of the corresponding production rule is identical in both sets, and they only differ in 2nd component ( i.e. their look-ahead symbols) hence we can combine these sets to make a a single set which would be : X -> c.X, c/d/$ X -> .cX, c/d/$ X -> .d, c/d/$ This is done to reduce the total number of parser states.  Now we can check the statements given.  Statement 1 : The statement is false, as merging has been done because 2nd components i.e. look-ahead were different.  Statement 2 : In the merged set, we can't see any Shift-Reduce conflict ( because no reduction even possible, reduction would be possible when a production of form P -> q. is present)  Statement 3 : In the merged set, we can't see any Reduce-Reduce conflict ( same reason as above, no reduction even possible, so no chances of R-R conflict )  Statement 4: This statement is also wrong, because goto is carried on Non-Terminals symbols, not on terminal symbols, and c is a terminal symbol.  Thus, all statements are wrong, hence option D.",
8,Which of the following is/are undecidable?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2013/Question_Images/3fe42ddb5e193695-ULxfK7dJYEK1Ihb6NX3STNqEk7vsNp.png,3 only,,3 and 4 only,,"1, 2 and 3 only",,2 and 3  only,,D,MCQ,"First is Emptiness for CFG; whether a CFG is empty or not, this problem is decidable. Second is everything for CFG; whether a CFG will generate all possible strings (completeness of CFG), this problem is undecidable. Third is Regularity for REC; whether language generated by TM is regular is undecidable. Fourth is equivalence for regular; whether language generated by DFA and NFA are same is decidable. Second and third will be undecidable. Hence, option (D) is Correct.",
9,"What is the return value of f(p,p), if the value of p is initialized to 5 before the call? Note that the first parameter is passed by reference, whereas the second parameter is passed by value. CPP int f ( int & x , int c ) { c = c - 1 ; if ( c == 0 ) return 1 ; x = x + 1 ; return f ( x , c ) * x ; }",,3024,,6561,,55440,,161051,,B,MCQ,See http://geeksquiz.com/c-references-question-1/,
10,"The preorder traversal sequence of a binary search tree is 30, 20, 10, 15, 25, 23, 39, 35, 42. Which one of the following is the postorder traversal sequence of the same tree?",,"10, 20, 15, 23, 25, 35, 42, 39, 30",,"15, 10, 25, 23, 20, 42, 35, 39, 30",,"15, 20, 10, 23, 25, 42, 35, 39, 30",,"15, 10, 23, 25, 20, 35, 42, 39, 30",,D,MCQ,"In order to construct a binary tree from given traversal sequences, one of the traversal sequence must be Inorder. The other traversal sequence can be either Preorder or Postorder. We know that the Inorder traversal of Binary Search Tree is always in ascending order so the Inorder Traversal would be the ascending order of given Preorder traversal i.e 10, 15, 20, 23, 25, 30, 35, 39, 42.Now we have to construct a tree from given Inorder and Preorder traversals. References: http://www.geeksforgeeks.org/construct-tree-from-given-inorder-and-preorder-traversal/ http://www.geeksforgeeks.org/data-structures-and-algorithms-set-31/",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2013/Explanation_Images/9523c941d6691945-FzEF6WNgNOEZmgTEyNHoP4DgjoK2Zk.png
