Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"The following is a code with two threads, producer and consumer, that can run in parallel. Further, S and Q are binary semaphores equipped with the standard P and V operations. semaphore S = 1, Q = 0; integer x; producer:                            consumer: while (true) do                    while (true) do P(S);                                      P(Q); x = produce ();                    consume (x); V(Q);                                     V(S); done                                       done  Which of the following is TRUE about the program above?",,The process can deadlock,,One of the threads can starve,,Some of the items produced by the producer may be lost,,Values generated and stored in 'x' by the producer will always be consumed before the producer can generate a new value,,D,MCQ,"A semaphore is hardware or a software tag variable whose value indicates the status of a common resource. Its purpose is to lock the resource being used. A process which needs the resource will check the semaphore for determining the status of the resource followed by the decision for proceeding. In multitasking operating systems, the activities are synchronized by using the semaphore techniques. wait and signal are defined on the semaphore. Entry to the critical section is controlled by the wait operation and exit from a critical region is taken care by signal operation. The wait, signal operations are also called P and V operations. The manipulation of semaphore (S) takes place as following:  1. The wait command P(S) decrements the semaphore value by 1. If the resulting value becomes negative then P command is delayed until the condition is satisfied. 2. The V(S) i.e. signals operation increments the semaphore value by 1. Solution: Consumer can consume only once the producer has produced the item, and producer can produce(except the first time) only once the consumer has consumed the item.  Let’s explain the working of this code. It is mentioned that Producer and Consumer execute parallelly. Producer: st1 - S value is 1, P(S) on S makes it 0 and st2 - and then x item is produced. st3 - Q value is 0. V(Q) on Q makes it 1.  this being an infinite while loop should infinitely iterate. In the next iteration of while loop, S is already 0 ,further P(S) on 0 sends P to blocked list of S. So producer is blocked. Consumer: P(Q) on Q makes Q =0 and then consumes the item. V(S) on S, now instead of changing the value of S to 1,consumer wakes up the blocked process on Q 's queue. Hence process P is awaken. P resumes from st2,since it was blocked at statement 1. So P now produces the next item. So consumer consumes an item before producer produces the next item. Correct Option is (D).  Choice of this question:  A) deadlock cannot happen has both producer and consumer are operating on different semaphores (no hold and wait ) B) No starvation happen because there is alteration between P and Consumer Which also makes them have bounded waiting. (C) Some of the items produced by the producer may be lost but it can’t. Reference: http://www.geeksforgeeks.org/mutex-vs-semaphore/",
2,An operating system implements a policy that requires a process to release all resources before making a request for another resource. Select the TRUE statement from the following:,,Both starvation and deadlock can occur,,Starvation can occur but deadlock cannot occur,,Starvation cannot occur but deadlock can occur,,Neither starvation nor deadlock can occur,,B,MCQ,"Starvation may occur, as a process may want other resource in parallel along with currently hold resources.  According to given conditions it will never be possible to collect all at a time. No deadlock.",
3,"If the time-slice used in the round-robin scheduling policy is more than the maximum time required to execute any process, then the policy will",,degenerate to shortest job first,,degenerate to priority scheduling,,degenerate to first come first serve,,none of the above,,C,MCQ,"RR executes processes in FCFS manner with a time slice. It this time slice becomes long enough, so that a process finishes within it, It becomes FCFS.",
4,"Data transmitted on a link uses the following 2D parity scheme for error detection: Each sequence of 28 bits is arranged in a 4×7 matrix (rows r 0 through r 3 , and columns d 7 through d 1 ) and is padded with a column d 0 and row r 4 of parity bits computed using the Even parity scheme. Each bit of column d 0 (respectively, row r 4 ) gives the parity of the corresponding row (respectively, column). These 40 bits are transmitted over the data link. The table shows data received by a receiver and has n corrupted bits. What is the mini­mum possible value of n?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2008/Question_Images/efeaaeca338b454e-h0cboMa5fn0JegDdNAEqENUuvaSmfB.jpg,1,,2,,3,,4,,C,MCQ,"In the given 2D parity matrix, all rows except [Tex]r_1[/Tex] have even parity. Therefore there must be atleast 1 bit error in this row. Also, there are three columns with odd parities (odd parity indicates errors), [Tex]d_5[/Tex] , [Tex]d_2[/Tex] and [Tex]d_0[/Tex] . So there must be a minimum of 3 bit errors. All three errors could have occurred in [Tex]r_1[/Tex] or two of these errors could have occurred in any other row. Since [Tex]r_1[/Tex] has an odd parity, there is at least one bit-error in this row. Therefore option (C) is correct.",
5,The minimum frame size required for a CSMA/CD based computer network running at 1 Gbps on a 200m cable with a link speed of 2 × 10 8 m/s is,,125 bytes,,250 bytes,,500 bytes,,None of these,,B,MCQ,"For the CSMA/CD protocol to work, the transmission time of the frame must be more than a minimum value. This minimum value is the worst case Round trip Time. Therefore, Transmission Time >= RTT Let the frame size be [Tex]f[/Tex] bytes. Transmission time (Tt) = Frame size (L) / Data rate L = Tt * Data rate L >= 2 * 10 -6 s * 10 9 bits/s = 2000 bits L >= 2000 bits = 250 bytes (since 1 byte = 8 bits) The minimum frame size is 250 bytes Therefore option (B) is correct.",
6,"A 1Mbps satellite link connects two ground stations. The altitude of the satellite is 36,504 km and speed of the signal is 3 × 10 8 m/s. What should be the packet size for a channel utilization of 25% for a satellite link using go-back-127 sliding window protocol? Assume that the acknowledgment packets are negligible in size and that there are no errors during communication.",,120 bytes,,60 bytes,,240 bytes,,90 bytes,,A,MCQ,"According to given data, Transmission time (Tx) = distance / speed, Propagation time (Tp) = size of packet / bandwidth, a = Tp / Tx Now, efficiency is, efficiency = window size / (1 + 2a) → 0.25 = 127 / (1 + 2((36504*10 3 / (3*10 8 )) / size of packet / 1*10 6 )) → 0.25 = (127*size of packet) / (L + 0.48*10 6 ) → 0.25*(size of packet) + 0.25*0.48*10 6 = 127*(size of packet) → size of packet = 960 bits → size of packet = 120 bytes So, option (A) is correct.",
7,How many bytes of data can be sent in 15 seconds over a serial link with baud rate of 9600 in asynchronous mode with odd parity and two stop bits in the frame?,,"10,000 bytes",,"12,000 bytes",,"15,000 bytes",,"27,000 bytes",,B,MCQ,"Background required - Physical Layer in OSI Stack  In serial Communications, information is transferred in or out one bit at a time. The baud rate specifies how fast data is sent over a serial line. It’s usually expressed in units of bits-per-second (bps). Each block (usually a byte) of data transmitted is actually sent in a packet or frame of bits. Frames are created by appending synchronization and parity bits to our data. ""9600 baud"" means that the serial port is capable of transferring a maximum of 9600 bits per second. 1 sec--------> 9600 bits 15 sec------->9600*15 bits Total Data To send in 1 frame = 1 bit(start) + 8 bits(char size) + 1 bit(Parity) + 2 bits(Stop) = 12 bits. Number of 8-bit characters that can be transmitted per second  = (9600 * 15)/12 = 12000 bytes.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2008/Explanation_Images/c7806054884186ab-ufzfpL9wLOG8H291vbu6nK24SJgRoY.png
8,Which of the following is TRUE?,,The cost of searching an AVL tree is θ (log n) but that of a binary search tree is O(n),,The cost of searching an AVL tree is θ (log n) but that of a complete binary tree is θ (n log n),,The cost of searching a binary search tree is O (log n ) but that of an AVL tree is θ(n),,The cost of searching an AVL tree is θ (n log n) but that of a binary search tree is O(n),,A,MCQ,"AVL tree is a balanced tree. AVL tree's time complexity of searching = θ(log(n)) But a binary search tree may be a skewed tree, so in the worst case BST searching time = θ(n)",
9,"If we use Radix Sort to sort n integers in the range (n k/2 ,n k ], for some k>0 which is independent of n, the time taken would be?",,Θ(n),,Θ(kn),,Θ(nlogn),,Θ(n 2 ),,C,MCQ,Radix sort time complexity = O(w*n) for n keys of word size = w =>w = log(n k ) O(w*n) = O(k*log(n).n) => kO(n*log(n)),
10,Arrange the following functions in increasing asymptotic order: A.   n 1/3 B.   e n C.   n 7/4 D.   n log 9 n E.   1.0000001 n,,"A, D, C, E, B",,"D, A, C, E, B",,"A, C, D, E, B",,"A, C, D, B, E",,A,MCQ,"B and E belong to exponential functions. So {B,E} [Tex]>[/Tex] {A, C, D}. B [Tex]>[/Tex] E. A [Tex]<[/Tex] {C, D}. D [Tex]<[/Tex] C Hence the correct sequence is A [Tex]<[/Tex] D [Tex]<[/Tex] C [Tex]<[/Tex] E [Tex]<[/Tex] B.",
11,The two numbers given below are multiplied using the Booth's algorithm. Multiplicand : 0101 1010 1110 1110 Multiplier: 0111 0111 1011 1101 How many additions/Subtractions are required for the multiplication of the above two numbers?,,6,,8,,10,,12,,B,MCQ,"Booth’s algorithm: first take 2’s complement of given number if number is negative, then append 0 into LSB. Then, for each pair from LSB to MSB (add 1 bit at a time): 00 = 0, 01 = +1, 10 = -1, 11 = 0 Booth's algorithm is based on Multiplier which is already given in binary representation: 0111 0111 1011 1101 = Now, append 0 into LSB of (0111 0111 1011 1101) = 0111 0111 1011 1101 0 Now Booth's code (add 1 bit at a time, from LSB to MSB): = 01, 11, 11, 10, 01, 11, 11, 11, 10, 01, 11, 11, 11, 10, 01, 10 = +1 0 0 -1 +1 0 0 0 -1 +1 0 0 0 -1 +1 -1 Therefore, 4 subtractions and 4 additions, total 8 additions/Subtractions are required.  So, option (B) is correct.",
