Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"A concurrent system consists of 3 processes using a shared resource R in a non-preemptible and mutually exclusive manner. The processes have unique priorities in the range 1.....3, 3 being the highest priority. It is required to synchronize the processes such that the resource is always allocated to the highest priority requester. The pseudo code for the system is as follows. Shared Data mutex:semaphore = 1:/* initialized to 1*/
process[3]:semaphore = 0; /*all initialized to 0 */
R_requested [3]:boolean = false; /*all initialized to false */
busy: boolean = false; /*initialized to false */ Code for processes begin process
my-priority:integer;
my-priority:=____; /*in the range 1...3*/
repeat
    request_R(my-priority);
    P (proceed [my-priority]);
    {use shared resource R}
    release_R (my-priority);
forever
end process; Procedures procedure request_R(priority);
P(mutex);
if busy = true then
    R_requested [priority]:=true;
else
 begin
    V(proceed [priority]);
    busy:=true;
 end
V(mutex); Give the pseudo code for the procedure release_R .",,,,,,,,,,,MCQ,,
2,"A priority queue Q is used to implement a stack S that stores characters. PUSH(C) is implemented as INSERT(Q, C, K) where K is an appropriate integer key chosen by the implementation. POP is implemented as DELETEMIN(Q). For a sequence of operations, the keys chosen are in",,Non-increasing order,,Non-decreasing order,,strictly increasing order,,strictly decreasing order,,D,MCQ,"We are implementing a STACK using Priority Queue. Note that Stack implementation is always last in first out (LIFO) order. As given ""POP is implemented as DELETEMIN(Q)"" that means Stack returns minimum element always. So, we need to implement PUSH(C) using INSERT(Q, C, K) where K is key chosen from strictly-decreasing order (only this order will ensure stack will return minimum element when we POP an element). That will satisfy Last In First Out (LIFO) property of stack. That is answer, option (D) is true. Option (A) non-increasing order can not be true because two same (identical) numbers can not have same priority as priority should be distinguishable for each number.",
3,"[5-Marks question]

Consider a graph whose vertices are points in the plane with integer co-ordinates (x,y) such that 1≤x≤n and 1≤y≤n , where n≥2 is an integer. Two vertices (x1,y1) and (x2,y2) are adjacent iff ∣ x1−x2 ∣ ≤ 1 and ∣ y1–y2 ∣ ≤1. The weight of an edge {(x1,y1),(x2,y2)} is √ (x1–x2) 2 +(y1–y2) 2 a.  What is the weight of a minimum weight-spanning tree in this graph? Write only the answer without any explanations.
b.  What is the weight of a maximum weight-spanning tree in this graph? Write only the answer without any explanations.",,,,,,,,,,,MCQ,,
4,"The correct matching for the following pairs is (A) All pairs shortest path          (1) Greedy
(B) Quick Sort                       (2) Depth-First search
(C) Minimum weight spanning tree     (3) Dynamic Programming
(D) Connected Components             (4) Divide and and Conquer Codes: A    B    C    D a 2    4    1    3 b 3    4    1    2 c 3    4    2    1 d 4    1    2    3",,a,,b,,c,,d,,B,MCQ,,
5,"An array A contains n≥1 positive integers in the locations A[1], A[2],... A[n]. The following program fragment prints the length of a shortest sequence of consecutive elements of A, A[i], A[i+1],...A[j] such that the sum of their values is ≥M , a given positive number. It prints ‘ n+1 ’ if no such sequence exists. Complete the program by filling in the boxes. In each case use the simplest possible expression. Write only the line number and the contents of the box.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/1997/Question_Images/1e93ddd425316fa9-qLYtowSnUOLliDiyDXsmqI6vERBL9n.png,,,,,,,,,,MCQ,,
6,Locality of reference implies that the page reference being made by a process,,will always be to the page used in the previous page reference,,is likely to be to one of the pages used in the last few page references,,will always be to one of the pages existing in memory,,will always lead to a page fault,,B,MCQ,,
7,Thrashing,,reduces page I/O,,decreases the degree of multiprogramming,,implies excessive page I/O,,improves the system performance,,C,MCQ,Please see https://www.geeksforgeeks.org/operating-system-techniques-handle-thrashing/,
8,Dirty bit for a page in a page table,,helps avoid unnecessary writes on a paging device,,helps maintain LRU information,,allows only read on a page,,none of the above,,A,MCQ,"Dirty bit is used whenever a page has been modifying and we are trying to replace it and then this has to be written back so whether to do write-back or leave it dirty bit is required so dirty bit used for write-back. Hence, Dirty bit for a page in a page table helps avoid unnecessary writes on a paging device",
9,"[5-Marks question]

Let L = {a 1 ,  a 2 , .........., a n } n ≥ 0 be a list whose Pascal representation is type list = record
next:↑ list; val: integer   end The following function returns a list in which a 2i and a 2i-1 , 1 ≤ i ≤ [n/2] are interchanged. Complete the function by filling the boxes. Write the line number and the content of the box in your answer sheet.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/1997/Question_Images/0a8f738f15b7403f-3dJUcs0156jbJYJN8kEcrM6YBqwxkJ.png,,,,,,,,,,MCQ,,
10,"[5-Marks question]

Consider the following program in Pseudo-Pascal syntax. program what:
    var z: integer
    procedure recur(x):
    begin if x <= 40 then
        begin x:x+z
            recur(x);
            z:=x+10
        end
    end(*recur*)
begin(*what*)
    z=10;
    recur(z);
    writeln(z)
end a. Suppose the parameter to the procedure ‘recur’ is passed by value.
i. What value is printed by program?
ii. How many times is ‘recur’ called?
b. What value is printed by the program if the parameter is passed by reference?",,,,,,,,,,,MCQ,,
11,Heap allocation is required for languages,,that support recursion,,that support dynamic data structures,,that use dynamic scope rules,,none of the above,,B,MCQ,"Heap allocation is required for languages that need to dynamically allocate memory at runtime. This is often necessary for managing data structures whose size cannot be determined at compile time, or for objects that need to persist beyond the lifetime of a function call. Here are a few scenarios and reasons why heap allocation is necessary: Dynamic Data Structures: Languages that support dynamic data structures such as linked lists, trees, and graphs often require heap allocation. These structures need to grow and shrink during the program's execution, and their sizes are not known beforehand.",
12,"A program P reads and processes 1000 consecutive records from a sequential file F stored on device D without using any file system facilities. Given the following Size of each record = 3200 bytes
Access time of D = 10 msecs
Data transfer rate of D = 800 × 10 3 bytes/second
CPU time to process each record = 3 msecs What is the elapsed time of P if
a). F contains unblocked records and P does not use buffering?
b). F contains unblocked records and P uses one buffer (i.e., it always reads ahead into the buffer)?
c). records of F are organized using a blocking factor of 2 (i.e., each block on D contains two records of F) and P uses one buffer?

You may assume that the CPU time needed to transfer a record from a buffer to a local variable of P is negligible.",,,,,,,,,,,MCQ,,
13,I/O redirection,,implies changing the name of a file,,can be employed to use an existing file as input file for a program,,implies connecting two programs through a pipe,,none of the above,,B,MCQ,I/O redirection can be employed to use an existing file as input file for a program.,
