Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,Courage : Bravery :: Yearning : __________ Select the most appropriate option to complete the analogy.,,Longing,,Yelling,,Yawning,,Glaring,,A,MCQ,"(A) Longing Yearning and Longing are synonyms , just like Courage and Bravery. (B) Yelling Yelling means shouting, which is unrelated to yearning. (C) Yawning Yawning is a physical action associated with tiredness, not related to yearning. (D) Glaring Glaring means staring intensely, which does not fit the analogy.",
2,We __________ tennis in the lawn when it suddenly started to rain. Select the most appropriate option to complete the above sentence.,,have been playing,,had been playing,,would have been playing,,could be playing,,B,MCQ,"(A) have been playing Present perfect continuous tense, used when an action started in the past and continues into the present. Incorrect , because the sentence refers to a past event. (B) had been playing Past perfect continuous tense, used to describe an ongoing action that was interrupted by another past action. Correct choice , as it fits the timeline of events. (C) would have been playing Used for hypothetical situations in the past (conditional). Incorrect , because there is no conditional clause. (D) could be playing Incorrect , as it suggests possibility rather than a past continuous action.",
3,A 4 × 4 digital image has pixel intensities (𝑈) as shown in the figure. The number of pixels with 𝑈 ≤ 4 is:,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2025/Question_Images/18365c06ad7a043d-dXxStr3ZpEfe3g0I2G12C7D0R7U31d.png,3,,8,,11,,9,,C,MCQ,"Step 1: List all pixels [ 0 1 0 2 4 7 3 3 5 5 4 2 6 7 3 2 ] ​ 0 4 5 6 ​ 1 7 5 7 ​ 0 3 4 3 ​ 2 3 2 2 ​ ​ Step 2: Count values ≤ 4 ≤4 Values ≤ 4 are: Row 1: 0, 1, 0, 2 → 4 values Row 2: 4, 3, 3 → 3 values Row 3: 4, 2 → 2 values Row 4: 3, 2 → 2 values Total = 4 + 3 + 2 + 2 = 11",
4,"In the given figure, the numbers associated with the rectangle, triangle, and ellipse are 1, 2, and 3, respectively. Which one among the given options is the most appropriate combination of P, Q, and R?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2025/Question_Images/6ca20ba093da01d2-nghr8pANPOWHWJ9AkxHifLvvXniDiP.jpeg,P = 6; Q = 5; R = 3,,P = 5; Q = 6; R = 3,,P = 3; Q = 6; R = 6,,P = 5; Q = 3; R = 6,,A,MCQ,"We are given that: Rectangle is represented by 1 Triangle is represented by 2 Ellipse is represented by 3 We need to identify the regions P , Q , and R based on which shapes they belong to. now : R comes in rectangle and triangle R = 1+2 = 3 Q comes in triangle and ellipse Q = 2+3 = 5 p comes in triangle ,rectangle and  ellipse. p = 1+2+3 = 6 P = 6; Q = 5; R = 3",
5,"A rectangle has a length L and a width W, where L > W. If the width, W, is increased by 10%, which one of the following statements is correct for all values of L and W?",,Perimeter increases by 10%.,,Length of the diagonals increases by 10%.,,Area increases by 10%.,,The rectangle becomes a square.,,C,MCQ,"If the width W is increased by 10%, the new W will become 1.10 W: New Area = L×1.10W=1.10× (L×W) New Area = 1.10 (Old Area) So, the area increases by 10% .",
6,"Column-I has statements made by Shanthala; and, Column-II has responses given by Kanishk. Column - I Column - II P. This house is in a mess. 1. Alright, I won't bring it up during our conversations Q. I am not happy with the marks given to me. 2. Well, you can easily look it up. R. Politics is a subject I avoid talking about. 3. No problem, let me clear it up for you. S. I don't know what this word means. 4. Don't worry, I will take it up with your teacher.",,P – 2; Q – 3; R – 1; S – 4,,P – 3; Q – 4; R – 1; S – 2,,P – 4; Q – 1; R – 2; S – 3,,P – 1; Q – 2; R – 4; S – 3,,B,MCQ,"P. ""This house is in a mess."" Best response: Not explicitly mentioned in responses, but indirectly fits none well. (No direct match, so we skip for now). Q. ""I am not happy with the marks given to me."" Best response: ""Don’t worry, I will take it up with your teacher."" (4) So, Q → 4 . R. ""Politics is a subject I avoid talking about."" Best response: ""Alright, I won’t bring it up during our conversations."" (1) So, R → 1 . S. ""I don’t know what this word means."" Best response: ""Well, you can easily look it up."" (2) So, S → 2 . Now, for P , by elimination, the best remaining response is: ""No problem, let me clear it up for you."" (3) So, P → 3 .",
7,"Weight of a person can be expressed as a function of their age. The function usually varies from person to person. Suppose this function is identical for two brothers, and it monotonically increases till the age of 50 years and then it monotonically decreases. Let 𝑎 1 and 𝑎 2 (in years) denote the ages of the brothers and 𝑎 1 < 𝑎 2 . Which one of the following statements is correct about their age on the day when they attain the same weight?",,𝑎 1 < 𝑎 2 < 50,,𝑎 1 < 50 < 𝑎 2,,50 < 𝑎 1 < 𝑎 2,,Either  𝑎 1 = 50 or 𝑎 2 = 50,,B,MCQ,"We are given: Weight increases until age 50, then decreases. Both brothers have the same weight function . a1<a2a_1 < a_2a1​<a2​ and they attain same weight . Key Idea: Since the function is symmetric around age 50 , same weight occurs when: a1+a2=100⇒One brother is younger than 50, the other older. Correct Option: (B) a1<50<a2",
8,"A regular dodecagon (12-sided regular polygon) is inscribed in a circle of radius r cm as shown in the figure. The side of the dodecagon is d cm. All the triangles (numbered 1 to 12) in the figure are used to form squares of side r cm and each numbered triangle is used only once to form a square. The number of squares that can be formed and the number of triangles required to form each square, respectively, are: Note: The figure shown is representative.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2025/Question_Images/ffd399ce8b9d88fb-TkKQgYnMOF29eLwj6havuR7oTWFosj.png,3; 4,,4; 3,,3; 3,,3; 2,,A,MCQ,"Each triangle is used only once to form squares. The squares have side length r , which is the radius of the circle. We need to determine how many such squares can be formed and how many triangles are required per square . Each square is likely formed by 4 triangles because: The dodecagon is divided into 12 triangles . Each square uses 4 triangles . The total number of squares that can be formed = Total triangles (12) / Triangles per square (4) = 3 .",
9,"If a real variable 𝑥 satisfies [Tex]3^{x^{2}}=27\times9^{x}[/Tex], then the value of [Tex]\frac{2^{x^{2}}}{(2^{x})^{2}}[/Tex] is:",,2 -1,,2 0,,2 3,,2 15,,C,MCQ,"Since [Tex]\begin{aligned}3^{x^2} &= 3^3 \times (3^2)^x \\(3^2)^x &= 3^{2x} \\\Rightarrow\quad 3^{x^2} &= 3^3 \times 3^{2x} \\&= 3^{2x + 3} \\\text{Since bases match:}\quad x^2 &= 2x + 3\end{aligned}[/Tex] hence x = 1 ,-3 therefore , c is the correct option .",
10,"The number of patients per shift (𝑋) consulting Dr. Gita in her past 100 shifts is shown in the figure. If the amount she earns is ₹ 1000(𝑋 − 0.2), what is the average amount (in ₹) she has earned per shift in the past 100 shifts? Note: The figure shown is representative",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2025/Question_Images/51df079c0f71fccb-w1riw9Cdr7DNGWVe2ay2EOgEeyruBR.png,"6,100",,"6,300",,"6,000",,"6,500",,A,MCQ,"Dr. Gita's earnings per shift depend on the number of patients she consults, with the formula for her earnings being ₹1000(X - 0.2), where XXX is the number of patients. By analyzing the provided data on the number of shifts and patients: For 5 patients per shift: 20 shifts contributed ₹100. For 6 patients per shift: 40 shifts contributed ₹240. For 7 patients per shift: 30 shifts contributed ₹210. For 8 patients per shift: 10 shifts contributed ₹80. average no. of patient per shift= total patients/ total shifts= 630/100=6.3 Average amt earned= 1000(6.3-0.2) 1000 x 6.1=6100 Adding these amounts gives the total earnings of ₹610,000 across the 100 shifts. The average will be ₹6100",
