Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Two processes X and Y need to access a critical section. Consider the following synchronization construct used by both the processes. Here, varP and varQ are shared variables and both are initialized to false. Which one of the following statements is true?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2015/Question_Images/b1b2acaa297c88d9-plTLvEFFLJDNeDYCQylBT5LeZy1DGG.png,The proposed solution prevents deadlock but fails to guarantee mutual exclusion,,The proposed solution guarantees mutual exclusion but fails to prevent deadlock,,The proposed solution guarantees mutual exclusion and prevents deadlock,,The proposed solution fails to prevent deadlock and fails to guarantee mutual exclusion,,A,MCQ,"When both processes try to enter critical section simultaneously,both are allowed to do so since both shared variables varP and varQ are true.So, clearly there is NO mutual exclusion. Also, deadlock is prevented because mutual exclusion is one of the four conditions to be satisfied for deadlock to happen.Hence, answer is A.",
2,"Consider a CSMA/CD network that transmits data at a rate of 100 Mbps (10 8 bits per second) over a 1 km (kilometre) cable with no repeaters. If the minimum frame size required for this network is 1250 bytes, what is the signal speed (km/sec) in the cable?",,8000,,10000,,16000,,20000,,D,MCQ,Data should be transmitted at the rate of 100 Mbps. Transmission Time >= 2*Propagation Time => 1250*8 / (100 * 10 6 ) <= 2*length/signal_speed => signal_speed  <= (2 * 10 3 * 100 * 10 6 ) / (1250 * 8) <= 2 * 10 * (10 3 ) km/sec <= 20000 Option (D) is correct.,
3,The result evaluating the postfix expression 10 5 + 60 6 / * 8 –  is,,284,,213,,142,,71,,C,MCQ,"Step 1: Postfix Expression Evaluation Rules Operands (numbers) are pushed onto a stack. When an operator is encountered, the required number of operands is popped from the stack, the operation is performed, and the result is pushed back onto the stack. Step 2: Evaluate the Expression Let's evaluate step by step: Expression: 10 5 + 60 6 / ∗ 8 − Push 10 : Stack = [10] Push 5 : Stack = [10, 5] Encounter + : Pop 10 and 5, add them: 10+5 = 15. Push result back: Stack=[15] Push 60 : Stack = [15, 60] Push 6 : Stack = [15, 60, 6] Encounter / : Pop 60 and 6, divide them: 60/6=10. Push result back: Stack = [15,10] Encounter * : Pop 15 and 10, multiply them: 15×10=150. Push result back: Stack=[150] Push 8 : Stack = [150, 8] Encounter - : Pop 150 and 8, subtract them: 150−8=142. Push result back: Stack=[142]. Step 3: The final result in the stack is: 142",
4,The equality above remains correct if X is replace by,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2015/Question_Images/2dbc762e14c95de2-lhMtvhqMqt9IE7YQx0grpBineo6QJP.png,Only I,,Only II,,I or III or IV but not II,,II or III or IV but not I,,C,MCQ,"Evaluate the Options I. Θ(n 4 ) : Correct. The summation grows as n 4 . II. Θ(n 5 ) : Incorrect. The growth rate is n 4 , not n 5 . III. O(n 5 ) : Correct. O(n 5 ) represents an upper bound, and n 4 is asymptotically smaller than n 5 . IV. Ω(n 3 ) : Correct. Ω(n 3 )represents a lower bound, and n 4 is asymptotically larger than n 3 . Final Answer : The correct options are: I, III, and IV.",
5,Assume that a mergesort algorithm in the worst case takes 30 seconds for an input of size 64. Which of the following most closely approximates the maximum input size of a problem that can be solved in 6 minutes?,,256,,512,,1024,,2048,,B,MCQ,Time complexity of merge sort is Θ(nLogn) c*64Log64 is 30 c*64*6 is 30 c is 5/64 For time 6 minutes 5/64*nLogn = 6*60 nLogn = 72*64 = 512 * 9 n = 512.,
6,"Consider the following C program segment. C # include <stdio.h> int main ( ) { char s1 [ 7 ] = ""1234"" , * p ; p = s1 + 2 ; * p = '0' ; printf ( ""%s"" , s1 ); } What will be printed by the program?",,12,,120400,,1204,,1034,,C,MCQ,"char s1[7] = ""1234"", *p; p = s1 + 2;    // p holds address of character 3 *p = '0' ;   // memory at s1 + 3 now becomes 0 printf (""%s"", s1);  // All characters are printed",
7,"Consider the following C program: C # include <stdio.h> int main ( ) { int i , j , k = 0 ; j = 2 * 3 / 4 + 2.0 / 5 + 8 / 5 ; k -= -- j ; for ( i = 0 ; i < 5 ; i ++ ) { switch ( i + k ) { case 1 : case 2 : printf ( "" \n %d"" , i + k ); case 3 : printf ( "" \n %d"" , i + k ); default : printf ( "" \n %d"" , i + k ); } } return 0 ; } The number of times printf statement is executed is __________.",,8,,9,,10,,11,,C,MCQ,"The following statement makes j = 2 j = 2 * 3 / 4 + 2.0 / 5 + 8 / 5; The following statement makes k = -1. k  -= --j; There is one important thing to note in switch is, there is no break.  Let count of printf statements be 'count' For i = 0, the value of i+k becomes -1, default block is executed, count = 1. For i = 1, the value of i+k becomes 0, default block is executed, count = 2. For i = 2, the value of i+k becomes 1, all blocks are executed as there is no break, count = 5 For i = 3, the value of i+k becomes 2, three blocks after case 1: are executed, count = 8 For i = 4, the value of i+k becomes 3, two blocks are executed, count = 10",
8,"Suppose c = 〈c[0], ... , c[k – 1]〉 is an array of length k, where all the entries are from the set {0, 1}. For any positive integers a and n, consider the following pseudocode. DOSOMETHING (c, a, n) z ← 1 for i ← 0 to k – 1 do z ← z 2 mod n if c[i] = 1 then z ← (z × a) mod n return z If k = 4, c = 〈1, 0, 1, 1〉, a = 2 and n = 8, then the output of DOSOMETHING(c, a, n) is ____________.",,0,,1,,2,,3,,A,MCQ,"DOSOMETHING (c, a, n) z ← 1 for i ← 0 to k – 1 do z ← z 2 mod n if c[i] = 1 then z ← (z × a) mod n return z If k = 4, c = 〈1, 0, 1, 1〉, a = 2 and n = 8, then the output of DOSOMETHING(c, a, n) is ____________. For i = 0, z = 1 mod 8 = 1, since c[0] = 1, z = 1*2 mod 8 = 2. For i = 1, z = 2*2 mod 8 = 1, since c[1] = 0, z remains 4. For i = 2, z = 16 mod 8 = 0 Once z becomes 0, none of the statements inside DOSOMETHING() can make it non-zero.",
9,"Language L1 is polynomial time reducible to language L2. Language L3 is polynomial time reducible to L2, which in turn is polynomial time reducible to language L4. Which of the following is/are True? I. If L4 ∈ P, L2 ∈ P II. If L1 ∈ P or L3 ∈ P, then L2 ∈ P III. L1 ∈ P, if and only if L3 ∈ P IV. If L4 ∈ P, then L1 ∈ P and L3 ∈ P",,II only,,III only,,I and IV only,,I only,,C,MCQ,Refer http://www.geeksforgeeks.org/np-completeness-set-1/,
10,"Let f(n) = n and g(n) = n (1+sin n) , where n is a positive integer. Which of the following statements is/are correct? I.  f(n) = O(g(n)) II. f(n) = Ω(g(n))",,Only I,,Only II,,Both I and II,,Neither I nor II,,D,MCQ,"The value of sine function varies from -1 to 1. For sin = -1 or any other negative value, I becomes false. For sin = 1 or any other positive value, II becomes false.",
