Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"In a computer system where the 'best-fit' algorithm is used for allocating 'jobs' to 'memory partitions', the following situation was encountered: When will the 20K job complete? Note - This question was subjective type.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/1998/Question_Images/89531eed73de96b7-2Hqw0BZlNgerVYOJnDUIvqGvlaT2tC.png,8,,18,,11,,None of these,,D,MCQ,"Partitions are 4k , 8k, 20k,  2k, now due to best fit allocation algorithm. Best fit algo allocates the process to a partition which is the smallest sufficient partition among the free available partitions
now come to the question first 2k come and fit into the partition of 2k and run (4 unit) and then come 14k and fit into the partition of 20k and run(10 unit ) and next process come of size 3k and fit into the portion 4k and run (2 unit) and now next process 6k come and fit to the 8k partition and run(1 unit ) now next process is 10k and fit into portion20k   run for (1 unit) and finally 20k come and fit into 20k portion and run for (8 unit)

So total completion time for 20k job = (10+1+8) = 19 unit answer.


This explanation is contributed by ajay0007 .",
2,"Give the correct matching for the following pairs: A. O(log n)     1. Selection sort
B. O(n)         2. Insertion sort
C. O(nlog n)    3. Binary search
D. O(n^2)       4. Merge sort codes: A   B   C   D
a.   3   1   2   4
b.   3   1   4   2
c.   1   3   4   2
d.   1   4   3   2",,a,,b,,c,,d,,B,MCQ,,
3,Which of the following algorithm design technique is used in finding all pairs of shortest distances in a graph?,,Dynamic programming,,Backtracking,,Greedy,,Divide and Conquer,,A,MCQ,,
4,"Solve the following recurrence relation: x n = 2x n-1 -1, n>1
x 1 = 2",,,,,,,,,,,MCQ,,
5,"What value would the following function return for the input x=95 ? function fun (x:integer):integer;
Begin
  If x >100 then fun = x-10
  Else fun = fun(fun( x+11))
End;",,89,,90,,91,,92,,C,MCQ,for solution refer ISRO CS 2017 So option C is correct,
6,"Let A be a two dimensional array declared as follows: A: array [1 ... 10] [1 ... 15] of integer; Assuming that each integer takes one memory location, the array is stored in row-major order and the first element of the array is stored at location 100, what is the address of the element a[i][j] ?",,15i+ j+ 84,,15j+ i+ 84,,10i+ j+ 89,,10j+ i+ 89,,A,MCQ,,
7,"Faster access to non-local variables is achieved using an array of pointers to activation records, called a",,stack,,heap,,display,,activation tree,,D,MCQ,,
8,"Free disk space can be kept track of using a free list or a bit map. Disk addresses require d bits. For a disk with 13 blocks, F of which is free, state the condition under which the free list uses less space than the bit map.",,,,,,,,,,,MCQ,,
9,The overlay tree for a program is as shown below: What will be the size of the partition (in physical memory) required to load (and run)  this program?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/1998/Question_Images/8d557d8036da17c3-bFRhfD6qLJKwfURiuaVzfiZp0rR6SY.png,12 KB,,14 KB,,10 KB,,8 KB,,B,MCQ,"Depth First Traversal from left to right. when we visit a node for first time, it is loaded in main memory and when we visit it for last time, it is pulled out. 
For the above program, maximum memory will be required when running code portion present at leaves.

For D = 2+4+6 = 12
For E = 2+4+8 = 14
For F = 2+6+2 = 10
For G = 2+8+4 = 14 Max(12, 14, 10, 14) = 14",
10,"When the result of a computation depends on the speed of the processes involved, there is said to be",,cycle stealing,,race condition,,a time lock,,a deadlock,,B,MCQ,,
11,"Consider a disk with C cylinders, t tracks per cylinder, s sectors per track and a sector length s l . A logical file d l with fixed record length r l is stored continuously on this disk starting at location ( c L ,t L ,s L ), where c L ,t L and S L are the cylinder, track and sector numbers, respectively. Derive the formula to calculate the disk address (i.e. cylinder, track and sector) of a logical record n assuming that r l =s l .",,,,,,,,,,,MCQ,,
12,Which of the following devices should get higher priority in assigning interrupts?,,Hard disk,,Printer,,Keyboard,,Floppy disk,,C,MCQ,,
13,Which of the following is an example of a spooled device?,,The terminal used to enter the input data for the C program being executed.,,An output device used to print the output of a number of jobs.,,The secondary memory device in a virtual storage system.,,The swapping area on a disk used by the sapper.,,B,MCQ,,
14,Formatting of a floppy disk refers to,,arranging the data on the disk in contiguous fashion,,writing the directory,,erasing the system area,,writing identification information on all tracks and sectors.,,D,MCQ,,
15,"[5 Marks question]

Calculate the total time required to read 35 sectors on a 2-sided floppy disk. Assume that each track has 8 sectors and the track-to-track step time is 8 milliseconds. The first sector to be read is sector 3 on track 10. Assume that the diskette is soft stored and the controller has a 1-sector buffer. The diskette spins at 300 RPM and initially, the head is on track 10.",,,,,,,,,,,MCQ,,
16,"What is the result of the following program? program side-effect (input, output);
    var x, result: integer;
    function f (var x:integer):integer;
    begin
        x:x+1;f:=x;
    end;
begin
    x:=5;
    result:=f(x)*f(x);
    writeln(result);
end;",,5,,25,,36,,42,,C,MCQ,,
17,"Which of the following query transformations (i.e., replacing the l.h.s. expression by the r.h.s. expression) is incorrect? R 1 and R 2 are relations. C 1 , C 2 are selection conditions and A 1 , A 2 are attributes of R 1 .

a.  σC 1 ( σC 2 R1)) → σC 2 (σC 1 (R 1 ))

b.  σC 1 ( π A1 R1)) → π A1 (σC 1 (R1))

c.  σC 1 ( R 1 ∪ R 2 ) → σC 1 (R 1 ) ∪ σC 1 (R 2 )

d.  π A1 (σC 1 (R 1 )) → σC 1 (πA 1 (R 1 ))",,a,,b,,c,,d,,D,MCQ,"D is the answer. If the selection condition c1 is on attribute A2, then we can not replace LHS expression by RHS expression. In RHS first projection is on  A1 then selection condition c1 will fail because no A2  will be present there.",
