Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Consider the two neural networks (NNs) shown in Figures 1 and 2, with 𝑅𝑒𝐿𝑈 activation (𝑅𝑒𝐿𝑈(𝑧) = max{0, 𝑧}, ∀𝑧 ∈ ℝ). ℝ denotes the set of real numbers. The  connections and their corresponding weights are shown in the Figures. The biases  at every neuron are set to 0. For what values of 𝑝, 𝑞, 𝑟 in Figure 2 are the two NNs  equivalent, when 𝑥1 ,𝑥2 , 𝑥3 are positive?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2024/Question_Images/af76bfdba6607da7-pSzaVdrQejKsVz43YJFy0Ok5O5iCfW.png,"(A) 𝑝 = 36, 𝑞 = 24,𝑟 = 24",,"(B) 𝑝 = 24, 𝑞 = 24,𝑟 = 36",,"(C) 𝑝 = 18, 𝑞 = 36,𝑟 = 24",,"(D) 𝑝 = 36, 𝑞 = 36,𝑟 = 36",,A,MCQ,"For the first hidden layer (h1), let the neurons be h11,h12,h13 h11=1⋅x1+1⋅x2=x1+x2 h12=1⋅x1+1⋅x3=x1+x3 h13=1⋅x1+1⋅x2+1⋅x3=x1+x2+x3 For the second hidden layer (h2), let the neurons be h21,h22 h21=h22=2⋅h11+2⋅h12+2⋅h13 =2(3x1+2x2+2x3) For the output layer, the final output is: y=3⋅h21+3⋅h22=3(h21+h22) =12(3x1+2x2+2x3) = 36x1 + 24x2 + 24x3 Comparing with resultant artificial neural network, p=36, q=24 and r=24",
2,Three fair coins are tossed independently. T is the event that two or more tosses result in heads. S is the event that two or more tosses result in tails. What is the probability of the event that  (T ∧ S) ?,,0,,0.5,,0.25,,1,,A,MCQ,"The event T∧S (two or more heads and two or more tails) cannot occur simultaneously, as having two or more heads leaves at most one tail and vice versa. Hence, the probability of T∧ST is 0 .",
3,"Consider the following Python function:1 Python def fun ( D , s1 , s2 ): if s1 < s2 : D [ s1 ], D [ s2 ] = D [ s2 ], D [ s1 ] fun ( D , s1 + 1 , s2 - What does this Python function fun() do? Select the ONE appropriate option below.",,"It finds the smallest element in D from index s1 to s2, both inclusive.",,"It performs a merge sort in-place on this list D between indices s1 and s2, both inclusive.",,"It reverses the list D between indices s1 and s2, both inclusive",,"It swaps the elements in D at indices s1 and s2, and leaves the remaining elements unchanged.",,C,MCQ,"The given function recursively swaps elements at indices s1 and s2, incrementing s1 and decrementing s2, effectively reversing the sublist between s1 and s2, inclusive.",
4,Let F(n) denote the maximum number of comparisons made while searching for an entry in a sorted array of size 𝑛 using binary search.  Which ONE of the following options is TRUE?,,F(n)=F(⌊n/2⌋)+1,,F(n)=F(⌊n/2⌋)+F(⌈n/2⌉),,F(n)=F(⌊n/2⌋),,F(n)=F(n-1)+1,,A,MCQ,"In binary search, the maximum number of comparisons for an array of size n is determined by halving the array at each step and adding one comparison for each level of recursion. Hence, The recurrence relation is F(n)=F(⌊n/2⌋)+1",
5,"Consider the function computeS(X) whose pseudocode is given below: computeS(X) 𝑆[1] ← 1 for 𝑖 ←2 to length(X) 𝑆[𝑖] ← 1 if 𝑋[𝑖 − 1] ≤ 𝑋[𝑖] 𝑆[𝑖] ← 𝑆[𝑖] + 𝑆[𝑖 − 1] end if end for return S which ONE of the following values is returned by the function computeS(x) for  X=[6,3,5,4,10]?",,"[1,1,2,3,4]",,"[1,1,2,3,3]",,"[1,1,2,1,2]",,"[1,1,2,1,5]",,C,MCQ,"The function computeS(X) initializes S[1] to 1 and iterates through the array X. For each i from 2 to the length of X, if X[i-1] <= X[i], it updates S[i] by adding S[i-1]. Otherwise, S[i] is set to 1. For X=[6,3,5,4,10]: S[1]=1 X[1]>X[2], so S[2]=1 X[2]<X[3], so S[3]=S[2]+1=2 X[3]>X[4], so S[4]=1 X[4]<X[5], so S[5]=S[4]+1=2 Output: [1, 1, 2, 1, 2]",
6,"Consider the following python code: Python def count ( child_dict , i ): if i not in child_dict . keys (): return 1 ans = 1 for j in child_dict [ i ]: ans += count ( child_dict , j ) return ans child_dict = dict () child_dict [ 0 ] = [ 1 , 2 ] child_dict [ 1 ] = [ 3 , 4 , 5 ] child_dict [ 2 ] = [ 6 , 7 , 8 ] print ( count ( child_dict , 0 )) Which ONE of the following is the output of this code?",,6,,1,,8,,9,,D,MCQ,"The function recursively counts all leaf nodes in the tree-like structure defined by child_dict. Starting from key 0, it processes [1, 2]. Key 1 expands to [3, 4, 5] (all leaves). Key 2 expands to [6, 7, 8] (all leaves). Leaves: 3, 4, 5, 6, 7, 8 + 1, 2 (2 root connections) = 9.",
7,"A fair six-sided die (with faces numbered 1, 2, 3, 4, 5, 6) is repeatedly thrown Independently. What is the expected number of times the die is thrown until two consecutive throws of even numbers are seen?",,2,,4,,6,,8,,C,MCQ,"Let E[X} be the expected number of throws. If the first roll is odd (1/2 probability), as one toss is wasted the expected throws are E[X]+1. If it starts with an even followed by an odd (1/4 probability), it takes E[X]+2. If the first two are even (1/4} probability), it takes 2 throws. So, E[X]=1/2(E[X]+1)+1/4(E[X]+2)+1/4(2) E[X] = 6.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2024/Explanation_Images/6a0a014e45da28ce-9zfAhPGxZSTFMTdVqsnPTUSUEyxgcG.webp
8,[Tex]\text{Let } M = \begin{bmatrix} 1 & 2 & 3 \\ 3 & 1 & 3 \\ 4 & 3 & 6 \end{bmatrix}[/Tex] . [Tex]\text{Find } \det(M^2 + 12M)[/Tex],,0,,1,,2,,3,,A,MCQ,"We have |M| = 0. Since, |A+B| <= |A| + |B| ∴ |M 2 + 12M| <= |M 2 | + |12M| RHS of which is : |M| 2 + 12 3 |M| (By properties of determinants) = 0 + 0 = 0",
9,Consider sorting the following array of integers in ascending order using an in-place Quicksort algorithm that uses the last element as the pivot. 60 70 80 90 100 The minimum number of swaps perfoemed during this quicksort ?,,0,,1,,2,,4,,A,MCQ,"The given array is already sorted in ascending order. In QuickSort, no swaps are required for a sorted array when using the last element as the pivot, resulting in 0 swap",
10,Consider the following tree traversals on a full binary tree: 1.PreOrder 2.Inorder 3.PostOrder Which of the following traversal options is/are suffiecient to uniquely reconstruct the full Binary Tree?,,(i) and (ii),,(ii) and (iii),,(i) and (iii),,(ii) only,,C,MCQ,"Preorder + Inorder (Option A): Preorder identifies the root nodes, and Inorder specifies the left and right subtrees. Together, they uniquely reconstruct the tree. Inorder + Postorder (Option B) : Postorder identifies the root nodes in reverse, and Inorder specifies the subtrees. This combination also uniquely reconstructs the tree. Preorder + Postorder (Option C): For full binary trees, Preorder and Postorder can uniquely reconstruct the tree, as every internal node in a full binary tree has exactly two children.",
