Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"A thread is usually defined as a ""light weight process"" because an operating system (OS) maintains smaller data structures for a thread than for a process. In relation to this, which of the following is TRUE?",,"On per-thread basis, the OS maintains only CPU register state",,The OS does not maintain a separate stack for each thread,,"On per-thread basis, the OS does not maintain virtual memory state",,"On per-thread basis, the OS maintains only scheduling and accounting information",,C,MCQ,"Threads share address space of Process. Virtually memory is concerned with processes not with Threads. A thread is a basic unit of CPU utilization, consisting of a program counter, a stack, and a set of registers, (and a thread ID.) As you can see, for a single thread of control - there is one program counter, and one sequence of instructions that can be carried out at any given time and for multi-threaded applications-there are multiple threads within a single process, each having their own program counter, stack and set of registers, but sharing common code, data, and certain structures such as open files. Option (A): as you can see in the above diagram, NOT ONLY CPU Register but stack and code files, data files are also maintained. So, option (A) is not correct as it says OS maintains only CPU register state. Option (B): according to option (B), OS does not maintain a separate stack for each thread. But as you can see in above diagram, for each thread, separate stack is maintained. So this option is also incorrect. Option (C): according to option (C), the OS does not maintain virtual memory state. And It is correct as Os does not maintain any virtual memory state for individual thread. Option (D): according to option (D), the OS maintains only scheduling and accounting information. But it is not correct as it contains other information like cpu registers stack, program counters, data files, code files are also maintained.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2011/Explanation_Images/5434c5f2aa4a58b1-V58RUIlQpxgu3zntmGZ3uLf0QZbsf4.png
2,The time taken to switch between user and kernel modes of execution be t1 while the time taken to switch between two processes be t2.   Which of the following is TRUE?,,t1 > t2,,t1 = t2,,t1 < t2,,nothing can be said about the relation between t1 and t2,,C,MCQ,Process switches or Context switches can occur in only kernel mode . So for process switches first we have to move from user to kernel mode . Then we have to save the PCB of the process from which we are taking off CPU and then we have to load PCB of the required process . At switching from kernel to user mode is done. But switching from user to kernel mode is a very fast operation(OS has to just change single bit at hardware level) Thus T1< T2,
3,"Let the page fault service time be 10ms in a computer with average memory access time being 20ns. If one page fault is generated for every 10^6 memory accesses, what is the effective access time for the memory?",,21ns,,30ns,,23ns,,35ns,,B,MCQ,Let P be the page fault rate Effective Memory Access Time = p * (page fault service time) + (1 - p) * (Memory access time) = ( 1/(10^6) )* 10 * (10^6) ns + (1 - 1/(10^6)) * 20 ns = 30 ns (approx),
4,"An application loads 100 libraries at start-up. Loading each library requires exactly one disk access. The seek time of the disk to a random location is given as 10 ms. Rotational speed of disk is 6000 rpm. If all 100 libraries are loaded from random locations on the disk, how long does it take to load all libraries? (The time to transfer data from the disk block once the head has been positioned at the start of the block may be neglected)",,0.50 s,,1.50 s,,1.25 s,,1.00 s,,B,MCQ,"one rotation will take 60/6000 seconds which is 10 ms. Average disk access time = seek time + rotational latency = 10 ms + 5 ms = 15 ms For 100 libraries, the average disk access time will be 15*100 ms",
5,A computer handles several interrupt sources of which the following are relevant for this question. . Interrupt from CPU temperature sensor (raises interrupt if CPU temperature is too high) . Interrupt from Mouse(raises interrupt if the mouse is moved or a button is pressed) . Interrupt from Keyboard(raises interrupt when a key is pressed or released) . Interrupt from Hard Disk(raises interrupt when a disk read is completed) Which one of these will be handled at the HIGHEST priority?,,Interrupt from Hard Disk,,Interrupt from Mouse,,Interrupt from Keyboard,,Interrupt from CPU temperature sensor,,D,MCQ,"Higher priority interrupt levels are assigned to requests which, if delayed or interrupted,  could have serious consequences. Devices with high speed transfer such as magnetic disks are given  high priority, and slow devices such as keyboard receive low priority Interrupt from CPU temperature sensor would have serious consequences if ignored.",
6,"Consider the same recursive C++ function that takes two arguments C++ unsigned int foo ( unsigned int n , unsigned int r ) { if ( n > 0 ) return ( n % r + foo ( n / r , r )); else return 0 ; } C unsigned int foo ( unsigned int n , unsigned int r ) { if ( n > 0 ) return ( n % r + foo ( n / r , r )); else return 0 ; } Java public class Main { public static int foo ( int n , int r ) { if ( n > 0 ) return ( n % r + foo ( n / r , r )); else return 0 ; } } Python def foo ( n , r ): if n > 0 : return ( n % r + foo ( n // r , r )) else : return 0 JavaScript function foo ( n , r ) { if ( n > 0 ) return ( n % r + foo ( Math . floor ( n / r ), r )); else return 0 ; } What is the return value of the function foo when it is called as foo(513, 2)?",,9,,8,,5,,2,,D,MCQ,"foo(513, 2) will return 1 + foo(256, 2). All subsequent recursive calls (including foo(256, 2)) will return 0 + foo(n/2, 2) except the last call foo(1, 2) . The last call foo(1, 2) returns 1. So, the value returned by foo(513, 2) is 1 + 0 + 0…. + 0 + 1. The function foo(n, 2) basically returns sum of bits (or count of set bits) in the number n. Hence (D) is the correct Answer.",
7,"Consider the following recursive C++ function that takes two arguments C++ unsigned int foo ( unsigned int n , unsigned int r ) { if ( n > 0 ) return ( n % r + foo ( n / r , r )); else return 0 ; } C unsigned int foo ( unsigned int n , unsigned int r ) { if ( n > 0 ) return ( n % r + foo ( n / r , r )); else return 0 ; } Java public class Main { public static int foo ( int n , int r ) { if ( n > 0 ) return ( n % r + foo ( n / r , r )); else return 0 ; } } Python def foo ( n , r ): if n > 0 : return ( n % r + foo ( n // r , r )) else : return 0 JavaScript function foo ( n , r ) { if ( n > 0 ) return ( n % r + foo ( Math . floor ( n / r ), r )); else return 0 ; } What is the return value of the function foo when it is called foo(345, 10)?",,345,,12,,5,,3,,B,MCQ,"The call foo(345, 10) returns the sum of decimal digits (because r is 10) in the number n. The sum of digits for 345 is 3 + 4 + 5 = 12. Hence (B) is the correct answer.",
8,"The following is the comment written for a C function. /* This function computes the roots of a quadratic equation a.x^2 + b.x + c = . The function stores two real roots in *root1 and *root2 and returns the status of validity of roots. It handles four different kinds of cases. (i) When coefficient a is zero irrespective of discriminant (ii) When discriminant is positive (iii) When discriminant is zero (iv) When discriminant is negative. Only in case (ii) and (iii) the stored roots are valid. Otherwise 0 is stored in roots. The function returns 0 when the roots are valid and -1 otherwise. The function also ensures root1 >= root2 int get_QuadRoots( float a, float b, float c, float *root1, float *root2); */ A software test engineer is assigned the job of doing black box testing. He comes up with the following test cases, many of which are redundant. Which one of the following option provide the set of non-redundant tests using equivalence class partitioning approach from input perspective for black box testing?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2011/Question_Images/d444947d39b921f4-vpbx7RZvkBKQYmnPEurX4gQFyOLTSO.jpg,"T1,T2,T3,T6",,"T1,T3,T4,T5",,"T2,T4,T5,T6",,"T2,T3,T4,T5",,C,MCQ,"T2,T4,T5 and T6 belong to different classes. Hence it gives an optimal test suite.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2011/Explanation_Images/ea04710be416b6e2-MljvO5OqxbIL5KKQsvbffs9yoMGnz4.jpg
9,"An undirected graph G(V, E) contains n ( n > 2 ) nodes named v1 , v2 ,….vn. Two nodes vi , vj are connected if and only if 0 < |i – j| <= 2. Each edge (vi, vj ) is assigned a weight i + j. A sample graph with n = 4 is shown below. What will be the cost of the minimum spanning tree (MST) of such a graph with n nodes?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2011/Question_Images/b73ef7c9919c63c1-Ph9WiQxvduwDJ5ed4HNzRRY4vslweM.gif,1/12(11n^2 – 5n),,n^2 – n + 1,,6n – 11,,2n + 1,,B,MCQ,"Answer: (B) Minimum spanning tree for 2 nodes would be (v1) _ (v2) Total weight 3 Minimum spanning tree for 3 nodes would be (v1) _ (v2) | (v3) Total weight= 3 + 4 = 7 Minimum spanning tree for 4 nodes would be (v1) _ (v2) _ (v4) | (v3) Total weight= 3 + 4 + 6 = 13 Minimum spanning tree for 5 nodes would be (v1) _ (v2) _ (v4) | (v3) | (v5) Total weight= 3 + 4 + 6 + 8 = 21 Minimum spanning tree for 6 nodes would be (v1) _ (v2) _ (v4) _ (v6) | (v3) | (v5) Total weight= 3 + 4 + 6 + 8 + 10 = 31 We can observe from above examples that when we add kth node, the weight of spanning tree increases by 2k-2. Let T(n) be the weight of minimum spanning tree. T(n) can be written as T(n) = T(n-1) + (2n-2) for n > 2 T(1) = 0 and T(2) = 3 The recurrence can be written as sum of series (2n - 2) + (2n-4) + (2n-6) + (2n-8) + .... 3 and solution of this recurrence is n 2 - n + 1. See http://www.geeksforgeeks.org/data-structures-and-algorithms-set-27/",
10,"Consider the same data as given in previous question.  After the update in the previous question, the link N1-N2 goes down. N2 will reflect this change immediately in its distance vector as cost, infinite. After the NEXT ROUND of update, what will be cost to N1 in the distance vector of N3?",,3,,9,,10,,Infinite,,C,MCQ,"In the next round, every node will send and receive distance vectors to and from neighbors, and update its distance vector. N3 will receive (1, 0, 2, 7, 3) from N2 and it will update distances to N1 and N5 as 3 and 5 respectively. See Question 4 of http://www.geeksforgeeks.org/computer-networks-set-3/",
11,"Consider the data given in Q50 question. If all the flip-flops were reset to 0 at power on, what is the total number of distinct outputs (states) represented by PQR generated by the counter?",,3,,4,,5,,6,,B,MCQ,"There are four distinct states, 000 → 010 → 011 → 100 (→ 000) so the answer is B",
12,"Consider the following circuit involving three D-type flip-flops used in a certain type of counter configuration. If at some instance prior to the occurrence of the clock edge, P, Q and R have a value 0, 1 and 0 respectively, what shall be the value of PQR after the clock edge?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2011/Question_Images/b2c3b726ff0d34a2-ldsZRyRMuYqze0LpcKu7rvQUcwA6DD.png,000,,001,,010,,011,,D,MCQ,"P' = R Q' = (P + R)' R' = QR' Given that (P, Q, R) = (0, 1, 0), next state P', Q', R' = 0, 1, 1 ----------------------------------------------------------------------------------------------- D flip flop truth table D Q(t+1) 0 0 1 1 Initially (p,q,r) =(0,1,0) D for p=R D for q=NOT(p xor r) D for r= (not)r.q So Q(t+1) for(p,q,r) p=>r=0 so p=0 q=> NOT(p xor r) => 1      so q=1 r=>(not)r.q => 1         so r=1 (p, q, r) = (0, 1, 1) Alternative approach - Truth table of a D Flip-Flop- [Tex]\begin{tabular}{|c|c|} \hline D_{t} & Q_{t+1}\\ \hline 0 & 0\\ \hline 1 & 1\\ \hline \end{tabular}  [/Tex] By looking at the circuit diagram, it is clear that the boolean expressions of P, Q, and R are- Here the subscript t refers to the current clock cycle, and the subscript (t+1) refers to the next clock cycle. [Tex]Q_{P(t+1)} = P_{t+1} = R_t  [/Tex][Tex]Q_{Q(t+1)} = Q_{t+1} = R_{t}' P_{t}'  [/Tex][Tex]Q_{R(t+1)} = R_{t+1} = Q_{t} R_{t}'  [/Tex][Tex]\begin{tabular}{|c|c|c|} \hline D_{t} & Q_{t+1}\\ \hline 0 & 0\\ \hline 1 & 1\\ \hline \end{tabular}  [/Tex] This explanation is provided by Chirag Manwani .",
13,Which of the following options is the closest in the meaning to the word below: Inexplicable,,incomprehensible,,indelible,,inextricable,,infallible,,A,MCQ,Inexplicable means something that can not be explained.   Incomprehensible looks the best option.,
