Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Consider the following C program C++ #include <stdio.h> int main () { int a [ 4 ] [ 5 ] = {{ 1 , 2 , 3 , 4 , 5 }, { 6 , 7 , 8 , 9 , 10 }, { 11 , 12 , 13 , 14 , 15 }, { 16 , 17 , 18 , 19 , 20 }}; printf ( “ % d \ n ” , * ( * ( a +** a + 2 ) + 3 )); return ( 0 ); } The output is",,19,,18,,20,,3,,A,MCQ,"step1-   * ( * ( a + ( *  * a  ) + 2 ) + 3 ) step2-    * ( * ( (a + 1 )+ 2)  + 3 ) step3-    * ( * ( a + 3) +3) step4-    * ( * ( a + 3) +3) step5-    * ( * ( a + 3) +3)  means value stored at 4th row and 4th column . so , 19",
2,"Consider the following C functions. C int tob ( int b , int * arr ) { int i ; for ( i = 0 ; b > 0 ; i ++ ) { if ( b % 2 ) arr [ i ] = 1 ; else arr [ i ] = 0 ; b = b / 2 ; } return ( i ); } int pp ( int a , int b ) { int arr [ 20 ]; int i , tot = 1 , ex , len ; ex = a ; len = tob ( b , arr ); for ( i = 0 ; i < len ; i ++ ) { if ( arr [ i ] == 1 ) tot = tot * ex ; ex = ex * ex ; } return ( tot ) ; } The value returned by pp(3,4) is ________ . Note - This question was Numerical Type.",,81,,64,,100,,49,,A,MCQ,"The function pp(3, 4) calculates 34, and thus the final answer is 81. pp(3, 4) runs for len number of iterations. Initially, len = 2 after executing tob(4, int *arr) . After execution, arr[0] = 1 and arr[1] = 1 . Now, let's go through the iterations: Iteration 1 (i = 0) : tot = 1 * 3 = 3 ex = 3 * 3 = 9 Iteration 2 (i = 1) : tot = 3 * 9 = 27 ex = 9 * 9 = 81 Thus, the final result is 81.",
3,Consider the following statements about process state transitions for a system using preemptive scheduling. I. A running process can move to ready state. II. A ready process can move to running state. III. A blocked process can move to running state. IV. A blocked process can move to ready state. Which of the above statements are TRUE ?,,"I, II, and III only",,II and III only,,"I, II, and IV only",,"I, II, III and IV only",,C,MCQ,"According to process state transitions for a system using preemptive scheduling: So, a blocked process can NOT move to running state. Only statements I, II, and IV are correct. Option (C) is true.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2020/Explanation_Images/8a0211d7adfb424f-0G1l26K8DxCpI0n0SdVKxkon8lSY0c.png
4,"In a balanced binary search tree with n elements, what is the worst-case time complexity of reporting all elements in the range [a,b]? Assume that the number of reported elements is k.",,Θ(log n),,Θ(log(n)+k),,Θ(k log n),,Θ(n log k),,B,MCQ,"For the range [a, b], we first need to check if a and b are present in BST. Time complexity to check if element ‘a’ is present in BST = O(log n) Time complexity to check if element ‘b’ is present in BST = O(log n) For finding all the elements in the range [a, b], we have to apply in-order sorting from a to b. In this way, we will lay every successor of reaching to the predecessor of b and all the elements between a and b will be reported. For k elements, the in-order sorting will take O(k) time. Hence, O(log n) + O(log n) + O(k) = O(2logn + k) = O(log(n) + k)",
5,"Consider a graph G=(V, E), where V = { v1,v2,…,v100 }, E={ (vi, vj) ∣ 1≤ i < j ≤ 100} and weight of the edge (vi, vj)  is ∣i–j∣. The weight of minimum spanning tree of G is ________.",,99,,100,,98,,101,,A,MCQ,"There are 100 vertices numbered from 1 to 100. Edges are presents in this graphs E={ (v i , v j ) ∣ 1≤i1, v 2 ), (v 2 , v 3 ), ..... (v 99 , v 100 ) will have minimum weight, i.e., 1 for each edge. As we know that, there are 99 edges are possible in minimum spanning tree of 100-vertices graph.  Therefore, these edges (v 1 , v 2 ), (v 2 , v 3 ), ..... (v 99 , v 100 ) will be spanning tree for given graph. These are 99 edges with 1 cost of each. The weight of minimum spanning tree of G is 99*1 = 99. Option (A) is correct.",
6,"The number of permutations of the characters in LILAC so that no character appears in its original position, if the two L’s are indistinguishable, is ________ . Note - This question was Numerical Type.",,12,,10,,8,,15,,A,MCQ,"There are 3 choices for the first slot, and then 2 for the third slot. That leaves one letter out of I,A,C unchosen and there are 2 slots that one might occupy. After that, the L′s must go in the 2 unfilled slots.  Hence the answer is, 3×2×1×2 = 12 Option (A) is correct.",
7,"Consider a paging system that uses 1-level page table residing in main memory and a TLB for address translation. Each main memory access takes 100 ns and TLB lookup takes 20 ns. Each page transfer to/from the disk takes 5000 ns. Assume that the TLB hit ratio is 95%, page fault rate is 10%. Assume that for 20% of the total page faults, a dirty page has to be written back to disk before the required page is read from disk. TLB update time is negligible. The average memory access time in ns (round off to 1 decimal places) is ___________ . Note - This question was Numerical Type.",,154.5,,155,,755,,725,,A,MCQ,"Given, M = 100 ns T = 20 ns D = 5000 ns h = 0.95 p = 0.1, (1-p) = 0.9 d = 0.2, (1-d) = 0.8 Therefore, average memory access time, = h×(T+M) + (1-h)[(1-p)×2M + p[(1-d)[D+M] + d(2D+M)] + T] = 0.95×(20+100) + (1-0.95)[(1-0.1)×200 + (0.1)[(1-0.2)[5000+100] + (0.2)(10000+100)] + 20] = 154.5 (in ns) Option (A) is correct.",
8,"Consider allocation of memory to a new process. Assume that none of the existing holes in the memory will exactly fit the process’s memory requirement. Hence, a new hole of smaller size will be created if allocation is made in any of the existing holes. Which one of the following statement is TRUE ?",,The hole created by first fit is always larger than the hole created by next fit.,,The hole created by worst fit is always larger than the hole created by first fit.,,The hole created by best fit is never larger than the hole created by first fit.,,The hole created by next fit is never larger than the hole created by best fit.,,C,MCQ,"(A) May not be correct if size of partition in first fit smaller than size of partition in next fit. (B) May not be correct if both worst fit and first fit in same partition. (C) Always correct, because best fit always has minimum hole. (D) Absolutely false.  Please refer - Partition Allocation Methods in Memory Management Option (C) is correct.",
9,"Consider the following five disk five disk access requests of the form (request id, cylinder number) that are present in the disk scheduler queue at a given time. (P, 155), (Q, 85), (R, 110), (S, 30), (T, 115) Assume the head is positioned at cylinder 100. The scheduler follows Shortest Seek Time First scheduling to service the requests.  Which one of the following statements is FALSE ?",,T is serviced before P,,"Q is serviced after S, but before T",,The head reverses its direction of movement between servicing of Q and P,,R is serviced before P,,B,MCQ,"According to Shortest Seek Time First (SSTF) is a disk scheduling algorithm : Therefore, option (B) is False.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2020/Explanation_Images/cc1e00367ffeb2c8-2ka4k2RyQpyEfFGYC15PYqT2aYNbfu.png
10,Consider a database implemented using B+ tree for file indexing and installed on a disk drive with block size of 4 KB. The size of search key is 12 bytes and the size of tree/disk pointer is 8 bytes. Assume that the database has one million records. Also assume that no node of the B+ tree and no records are present initially in main memory. Consider that each record fits into one disk block. The minimum number of disk accesses required to retrieve any record in the database is ___________ . Note - This question was Numerical Type.,,4,,6,,8,,7,,A,MCQ,"In this question, the size of the tree pointer and disk pointer is the same, so the order of the leaf and non-leaf nodes will be the same. Let’s assume the order of the non-leaf node is P, where P represents the number of tree pointers that can be contained in a node. Now, we can set up the equation for the total size of a node: (P×8)+((P−1)×12)=4096. Simplifying the equation: 8P+12P−12=4096,20P−12=4096,20P=4108,P=4108/20=205.4. Thus, P=205 meaning the order of the node is 205. Given that the database contains 1 million records, the number of search keys at the last level of the tree should be 1 million. To minimize the number of disk accesses, we need to ensure that the nodes of the B+ tree are fully filled. Level No. of Child Pointer No. of Search Key 1 205 204 2 205 2 205*204 3 205 3 205 2 *204=8573100 So, for 1 million records total 3 level requires. Now after getting search key in B+ tree, one extra disk access requires to access a record. So Total 3+1=4 minimum disk access requires.",
