Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"The semaphore variables full, empty and mutex are initialized to 0, n and 1, respectively. Process P 1 repeatedly adds one item at a time to a buffer of size n, and process P 2 repeatedly removes one item at a time from the same buffer using the programs given below. In the programs, K, L, M and N are unspecified statements. P1 while (1) { K; P(mutex);

Add an item to the buffer;

V(mutex); L; } P2 while (1) { M; P(mutex);

Remove an item from the buffer;

V(mutex); N; }

The statements K, L, M and N are respectively",,"P(full), V(empty), P(full), V(empty)",,"P(full), V(empty), P(empty), V(full)",,"P(empty), V(full), P(empty), V(full)",,"P(empty), V(full), P(full), V(empty)",,D,MCQ,"Process P1 is the producer and process P2 is the consumer. Semaphore ‘full’ is initialized to '0'. This means there is no item in the buffer. Semaphore ‘empty’ is initialized to 'n'. This means there is space for n items in the buffer. In process P1, wait on semaphore 'empty' signifies that if there is no space in buffer then P1 can not produce more items. Signal on semaphore 'full' is to signify that one item has been added to the buffer. In process P2, wait on semaphore 'full' signifies that if the buffer is empty then consumer can’t not consume any item. Signal on semaphore 'empty'  increments a space in the buffer after consumption of an item. Thus, option (D) is correct.",
2,A process executes the following segment of code : for(i = 1; i < = n; i++) fork (); The number of new processes created is,,n,,((n(n + 1))/2),,2 n - 1,,3 n - 1,,C,MCQ,"fork ();    // Line 1 fork ();   // Line 2 fork ();   // Line 3 .....till n L1       // There will be 1 child process created by line 1 /     \\ L2      L2    // There will be 2 child processes created by line 2 /  \\    /  \\ L3  L3  L3  L3  // There will be 4 child processes created by line 3 ........ We can also use direct formula to get the number of child processes.  With n fork statements, there are always 2 n – 1 child processes. Also see this post for more details.",
3,"In a certain operating system, deadlock prevention is attempted using the following scheme. Each process is assigned a unique timestamp, and is restarted with the same timestamp if killed. Let Ph be the process holding a resource R, Pr be a process requesting for the same resource R, and T(Ph) and T(Pr) be their timestamps respectively. The decision to wait or preempt one of the processes is based on the following algorithm. if T(Pr) < T(Ph)

     then kill Pr

else wait Which one of the following is TRUE?",,"The scheme is deadlock-free, but not starvation-free",,"The scheme is not deadlock-free, but starvation-free",,The scheme is neither deadlock-free nor starvation-free,,The scheme is both deadlock-free and starvation-free,,A,MCQ,"This scheme is making sure that the timestamp of requesting process is always lesser than holding process The process is restarted with same timestamp if killed and that timestamp can NOT be greater than the existing time stamp From 1 and 2,it is clear that any new process coming having LESSER timestamp will be KILLED.So, NO DEADLOCK possible However, a new process will lower timestamp may have to wait  infinitely because of its LOWER timestamp(as killed process will also have same timestamp ,as it was killed earlier). STARVATION IS Definitely POSSIBLE So Answer is A",
4,Which one of the following statements is FALSE?,,Packet switching leads to better utilization of bandwidth resources than circuit switching.,,Packet switching results in less variation in delay than circuit switching.,,Packet switching requires more per packet processing than circuit switching,,Packet switching can lead to reordering unlike in circuit switching,,B,MCQ,"Packet-switched networks move data in separate, small packets -- based on the destination address in each packet. When received, packets are reassembled in the proper sequence to make up the message. Circuit-switched networks require dedicated point-to-point connections during calls. Packet switching leads to better utilization of bandwidth resources than circuit switching //Because data move in packets therefore better use of resources Packet switching results in less variation in delay than circuit switching. // Queueing Delay fluctuation is more in packet switching as  there is no dedicated path Packet switching requires more per packet processing than circuit switching //All the info needs to be in packet as well as packet reassembling has to be done at end therefore more processing Packet switching can lead to reordering unlike in circuit switching //because reassembling is done at destination,packing reordering might occur Therefore only B is false",
5,"Consider a simplified time slotted MAC protocol, where each host always has data to send and transmits with probability p = 0.2 in every slot. There is no backoff and one frame can be transmitted in one slot. If more than one host transmits in the same slot, then the transmissions are unsuccessful due to collision. What is the maximum number of hosts which this protocol can support, if each host has to be provided a minimum through put of 0.16 frames per time slot?",,1,,2,,3,,4,,B,MCQ,"Here we are talking about slotted MAC protocol where when one station transmits, no other station can transmit.Now, assume that the probability of transmitting data by a single station be p and n be the number of stations that can transmit.  Since, when one station is transmitting no other station can transmit. So there will be n-1 stations that are silent with the probability of 1-p.  Now, for one station a minimum throughput of 0.16 frames per slot of time is to be given. So, for n stations the throughput is given by 0.16*n, and every station always has some data to transmit with the probability of p = 0.2 in every time slot.  Hence, 0.16 * n = n * 0.2 * (0.8)^(n -1) 0.8 = 0.8 ^ (n-1) Comparing both the sides we get 1 = n-1 This means n = 2",
6,"Consider the undirected graph below:  Using Prim's algorithm to construct a minimum spanning tree starting with node A, which one of the following sequences of edges represents a possible order in which the edges would be added to construct the minimum spanning tree?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Question_Images/f1244ddccbd402b5-kWsQlFAH57jBpUPdzBj2ilfvdpPF9o.png,"(E, G), (C, F), (F, G), (A, D), (A, B), (A, C)",,"(A, D), (A, B), (A, C), (C, F), (G, E), (F, G)",,"(A, B), (A, D), (D, F), (F, G), (G, E), (F, C)",,"(A, D), (A, B), (D, F), (F, C), (F, G), (G, E)",,D,MCQ,"A . False The idea behind Prim’s algorithm is to construct a spanning tree – means all vertices must be connected but here vertices are disconnected B. False The idea behind Prim’s algorithm is to construct a spanning tree – means all vertices must be connected but here vertices are disconnected C. False. Prim’s is a greedy algorithm and At every step, it considers all the edges that connect the two sets, and picks the minimum weight edge from these edges. In this option, since weight of AD<AB, so AD must be picked up first (which is not true as per the options). D. TRUE. Therefore, Answer is D",
7,"A disk has 200 tracks (numbered 0 through 199). At a given time, it was servicing the request of reading data from track 120, and at the previous request, service was for track 90. The pending requests (in order of their arrival) are for track numbers.  30 70 115 130 110 80 20 25.  How many times will the head change its direction for the disk scheduling policies SSTF(Shortest Seek Time First) and FCFS (First Come Fist Serve)",,2 and 3,,3 and 3,,3 and 4,,4 and 4,,C,MCQ,"According to Shortest Seek Time First : 90-> 120-> 115 -> 110-> 130-> 80 -> 70-> 30-> 25-> 20 Change of direction (Total 3); 120->15; 110->130; 130->80 According to First Come First Serve: 90-> 120-> 30-> 70- > 115-> 130-> 110 -> 80-> 20-> 25 Change of direction (Total 4); 120->30; 30->70; 130->110;20->25 Therefore,Answer is C",
8,"The storage area of a disk has innermost diameter of 10 cm and outermost diameter of 20 cm. The maximum storage density of the disk is 1400bits/cm. The disk rotates at a speed of 4200 RPM. The main memory of a computer has 64-bit word length and 1µs cycle time. If cycle stealing is used for data transfer from the disk, the percentage of memory cycles stolen for transferring one word is",,0.5%,,1%,,5%,,10%,,C,MCQ,"Inner most diameter = 10 cm Storage density = 1400 bits/cm Capacity of each track : = 3.14 * diameter * density = 3.14 * 10 * 1400 = 43960 bits Rotational latency = 60/4200 =1/70 seconds It is given that the main memory of a computer has 64-bit word length and 1µs cycle time. Data transferred in 1 sec = 64 * 10 6 bits Data read by disk in 1 sec = 43960 * 70 = 3.08 * 10 6 bits Total memory cycle = (3.08 * 10 6 ) / (64 * 10 6 ) = 5% Thus, option (C) is correct.",
9,Which one of the following is NOT shared by the threads of the same process?,,Stack,,Address Space,,File Descriptor Table,,Message Queue,,A,MCQ,Threads can not share stack (used for maintaining function calls) as they may have their individual function call sequence.,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Explanation_Images/958dacf5fad364b5-HWvtivVwYn4MwUdqtEvxje9s7ezed4.png
10,"In a particular Unix OS, each data block is of size 1024 bytes, each node has 10 direct data block addresses and three additional addresses: one for single indirect block, one for double indirect block and one for triple indirect block. Also, each block can contain addresses for 128 blocks. Which one of the following is approximately the maximum size of a file in the file system?",,512 MB,,2GB,,8GB,,16GB,,B,MCQ,"Maximum size of the File System = Summation of size of all the data blocks whose addresses belongs to the file. Given: Size of 1 data block = 1024 Bytes No. of addresses which 1 data block can contain = 128 Now, Maximum File Size can be calculated as: 10 direct addresses of data blocks = 10*1024 1 single indirect data block = 128*1024 1 doubly indirect data block = 128*128*1024 1 triple indirect data block = 128*128*128*1024 Hence, Max File Size = 10*1024 + 128*1024 + 128*128*1024 + 128*128*128*1024 Bytes = 2113674*1024 Bytes = 2.0157 GB ~ 2GB",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2004/Explanation_Images/708752332a01744a-SRSsqZzfm4UNAtR7tPuWWYPI5ZbLzX.png
