Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Consider the following function implemented in C: void printxy(int x, int y) { int *ptr; x = 0; ptr = &x; y = *ptr; *ptr = 1; printf(""%d,%d"", x, y); } The output of the printxy(1,1) is",,"0,0",,"0,1",,"1,0",,"1,1",,C,MCQ,"#include void main() { int x = 1, y = 1; printxy(x,y); } void printxy(int x, int y) { int *ptr; x = 0; // ptr point to variable of value 0 ptr = &x; // y has value pointed by ptr -> x= 0; y = *ptr; // value pointed by ptr is set to 1 -> x= 1; *ptr = 1; //x be changed to 1 and y will remain 0 printf(""%d,%d"", x, y); }",
2,"Consider the following snippet of a C program. Assume that swap(&x, &y) exchanges the contents of x and y. int main() { int array[] = {3, 5, 1, 4, 6, 2}; int done = 0; int i; while (done == 0) { done  = 1; for (i = 0; i <= 4; i++) { if (array[i] < array[i+1]) { swap(&array[i], &array[i+1]); done = 0; } } for (i = 5; i >= 1; i--) { if (array[i] > array[i-1]) { swap(&array[i], &array[i-1]); done = 0; } } } printf(""%d"", array[3]); } The output of the program is _____.  Note: This question appeared as Numerical Answer Type.",,1,,2,,3,,4,,C,MCQ,"After the execution of the for loop, the content of array: First time: 5 3 4 6 2 1 Second time: 6 5 4 3 2 1 Third time: 6 5 4 3 2 1 Now, when while loop execute again, done = 1 and first and second for loop if condition will not be satisfied . Therefore, At the end, value of arr[3] = 3, Option C is correct. See this to understand more: CPP #include <stdio.h> void swap ( int * t , int * x ) { int m ; m = * t ; * t = * x ; * x = m ; } int main () { int array [] = { 3 , 5 , 1 , 4 , 6 , 2 }; int done = 0 ; int i ; while ( done == 0 ) { done = 1 ; for ( i = 0 ; i <= 4 ; i ++ ) { if ( array [ i ] < array [ i + 1 ]) { swap ( & array [ i ], & array [ i + 1 ]); done = 0 ; } } for ( i = 5 ; i >= 1 ; i -- ) { if ( array [ i ] > array [ i -1 ]) { swap ( & array [ i ], & array [ i -1 ]); done = 0 ; } } } printf ( ""%d"" , array [ 3 ]); }",
3,"In a two-level cache system, the access times of L 1 and L 2 1 and 8 clock cycles, respectively. The miss penalty from the L 2 cache to main memory is 18 clock cycles. The miss rate of L 1 cache is twice that of L 2 . The average memory access time(AMAT) of this cache system is 2 cycles. The miss rates of L 1 and L 2 respectively are:",,0.111 and 0.056,,0.056 and 0.111,,0.0892 and 0.1784,,0.1784 and 0.0892,,A,MCQ,"Access time of L1 = 1 Access Time of L2=8 miss penalty  L 1 cache (2*L 2) = 18*2 = 2*a miss penalty  L 2 cache say a = 18 AMAT (average memory access time) =2 AMAT = Access time of L1 + (MissRate L1 * miss penalty  L 1) where miss penalty L1 = Access time of L2 + (MissRate L2 * miss penalty L2) 2 = 1+ 2*a *(8 + a* 18)  Solving the equation,  a=0.111",
4,"Consider the following C function. int fun(int n) { int i, j; for (i = 1; i <= n ; i++) { for (j = 1;  j < n; j += i) { printf(""%d %d"", i, j); } } } Time complexity of fun in terms of θ notation is:",,θ(n √n),,θ(n 2 ),,θ(n log n),,θ(n 2 log n),,C,MCQ,"Let us see how many times the innermost statement ""printf(""%d %d"", i, j);"" is executed.  For i = 1, the statement runs n times The i'th iteration, statement runs Θ(n/i) times.  Summing all iterations for i = 1 to n, we get Thus T(n) = Θ(n(1 + 1/2 +1/3 + ….)) = Θ(n log n).  Note that the value of 1/1 + 1/2 + 1/3 + .... 1/n is approximately same as Log n for large values of n.",
5,"Consider the following languages. L 1 = {a p | p is a prime number} L 2 = {a n b m c 2m | n >= 0, m >= 0} L 3 = {a n b n c 2n | n >= 0} L 4 = {a n b n | n >= 1} Which of the following are CORRECT ? I. L 1 is context free but not regular. II. L 2 is not context free. III. L 3 is not context free but recursive. IV. L 4 is deterministic context free.",,"I, II and IV only",,II and III only,,I and IV only,,III and IV only,,D,MCQ,"L1 is neither regular nor context free but context sensitive language.   L2 is context free, push any number of a's and then for each b, pop two c's until all b's are over and this can be done by using only one stack.  L3 is not context free because we are not sure when to pop b and push a, because it is comparison between three consecutive terminals.   Clearly L4 is deterministic context free because we are sure of pushing a into stack first and on seeing b we are sure of popping a.  Statement III and IV are correct, option (D) is true.",
6,"Consider the set of processes with arrival time(in milliseconds), CPU burst time (in milliseconds), and priority(0 is the highest priority) shown below. None of the processes have I/O burst time. The average waiting time (in milliseconds) of all the processes using preemptive priority scheduling algorithm is ____. Note: This question appeared as Numerical Answer Type.",http://www.geeksforgeeks.org/wp-content/uploads/gq/2017/02/g2017_12.png,29,,30,,31,,32,,A,MCQ,Gant chart will be: Waiting Time = Completion time − Arrival time − Burst Time summation of Arrival Time = 0+5+12+2+9 = 28 summation of Burst Time = 11+28+2+10+16 = 67 summation of Completion Time = 67+51+49+40+33 = 240 Waiting time = 240-28-67 = 145 Average waiting time = 145/5 = 29msec. Watch GeeksforGeeks Video Explanation:,https://media.geeksforgeeks.org/wp-content/uploads/20241227125603701684/gant_chart.webp
7,"The pre-order traversal of a binary search tree is given by 12, 8, 6, 2, 7, 9, 10, 16, 15, 19, 17, 20. Then the post-order traversal of this tree is:",,"2, 6, 7, 8, 9, 10, 12, 15, 16, 17, 19, 20",,"2, 7, 6, 10, 9, 8, 15, 17, 20, 19, 16, 12",,"7, 2, 6, 8, 9, 10, 20, 17, 19, 15, 16, 12",,"7, 6, 2, 10, 9, 8, 15, 16, 17, 20, 19, 12",,B,MCQ,"Draw binary search tree from preorder and then write postorder. Binary search tree will be: Now, Postorder will be: 2, 7, 6, 10, 9, 8, 15, 17, 20, 19, 16, 12",https://media.geeksforgeeks.org/wp-content/uploads/20241227123933681542/binary_tree.webp
8,"If w, x, y, z are boolean variables, then which of the following in INCORRECT?",,wx + w(x+y) + x(x+y) = x + wy,,(wx'(y + z'))' + w'x = w' + x + y'z,,(wx'(y + xz') + w'x')y = xy',,(w + y)(wxy + wyz) = wxy + wyz,,C,MCQ,1.) wx + w(x+y) +x(x+y) = wx + wx + wy + x + xy = wx + wy + x + xy = x(w+y+1) + wy = x+wy 2.) (wx’(y+z’))’ + w’x = w’ + w’x + y’z = w’ + x + y’z 3.) (wx’(y+xz’)+w’x’)y = wx’y + wx'xz'+ w’x’y since x'x = 0 = wx’y + w’x’y = x’y(w+w') = x’y thus false no need to check option 3,
9,"Consider two hosts X and Y, connected by a single direct link of rate 10 6 bits/sec. The distance between the two hosts is 10,000 km and the propagation speed along the link is 2 x 10 8 m/s. Hosts X send a file of 50,000 bytes as one large message to hosts Y continuously. Let the transmission and propagation delays be p milliseconds and q milliseconds, respectively. Then the vales of p and q are:",,p = 50 and q = 100,,p = 50 and q = 400,,p = 100 and q = 50,,p = 400 and q = 50,,D,MCQ,Propagation delay = link length/ signal speed = (10^7)/(2*10^8 )sec = 5 =.005 sec =50 msec Transmission delay = data length/signal bandwidth = 50000*8/10^6 sec =.04 sec =400 msec read more .,
10,"Consider the following C program: #include int main() { int m = 10; int n, n1; n = ++m; n1 = m++; n--; --n1; n -= n1; printf(""%d"",n); return 0; } The output of the program is ______. Note: This questions appeared as Numerical Answer Type.",,0,,1,,2,,3,,A,MCQ,"int m = 10; int n, n1; n = ++m;     // n = 11, m = 11 n1 = m++;    // n1 = 11, m = 12 n--;         // n = 10 --n1;        // n1 = 10 n = n - n1;  // n = n - n1 = 10 - 10 = 0 Thus, n = 0. see: C Compiler Online | GeeksforGeeks",
