Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"The enter_CS() and leave_CS() functions to implement critical section of a process are realized using test-and-set instruction as follows: void enter_CS(X) { while test-and-set(X) ; } void leave_CS(X) { X = 0; } In the above solution, X is a memory location associated with the CS and is initialized to 0. Now consider the following statements: I. The above solution to CS problem is deadlock-free II. The solution is starvation free. III. The processes enter CS in FIFO order. IV More than one process can enter CS at the same time.  Which of the above statements is TRUE?",,I only,,I and II,,II and III,,IV only,,A,MCQ,"The above solution is a simple test-and-set solution that makes sure that deadlock doesn’t occur, but it doesn’t use any queue to avoid starvation or to have FIFO order.",
2,"Consider the data of previous question. Suppose that the sliding window protocol is used with the sender window size of 2 i where is the number of bits identified in the previous question and acknowledgments are always piggybacked. After sending 2 i frames, what is the minimum time the sender will have to wait before starting transmission of the next frame? (Identify the closest choice ignoring the frame processing time.)",,16ms,,18ms,,20ms,,22ms,,C,MCQ,"Size of sliding window = 2^5 = 32 Transmission time for a frame = 1ms Total time taken for 32 frames = 32ms Total time = 2tx + 2tp = 2+50 = 52ms After sending 32 frames, the minimum time the sender will have to wait before starting transmission of the next frame = 52 – 32 = 20",
3,Let G(x) be the generator polynomial used for CRC checking. What is the condition that should be satisfied by G(x) to detect odd number of bits in error?,,G(x) contains more than two terms,,"G(x) does not divide 1+x^k, for any k not exceeding the frame length",,1+x is a factor of G(x),,G(x) has an odd number of terms.,,C,MCQ,,https://media.geeksforgeeks.org/wp-content/uploads/20240222151941/11.png
4,Frames of 1000 bits are sent over a 10^6 bps duplex link between two hosts. The propagation time is 25ms. Frames are to be transmitted into this link to maximally pack them in transit (within the link).  What is the minimum number of bits (i) that will be required to represent the sequence numbers distinctly? Assume that no time gap needs to be given between transmission of two frames.,,i = 2,,i = 3,,i = 4,,i = 5,,D,MCQ,Transmission delay for 1 frame = 1000/(10^6) = 1 ms Propagation time = 25 ms The sender can atmost transfer 25 frames before the first frame reaches the destination. The number of bits needed for representing 25 different frames = 5,
5,"In quick sort, for sorting n elements, the (n/4)th smallest element is selected as a pivot using an O(n) time algorithm. What is the worst-case time complexity of the quick sort? (A) θ(n) (B) θ(nlogn) (C) θ(n 2 ) (D) θ(n 2 log n)",,A,,B,,C,,D,,B,MCQ,"The recursion expression becomes T(n) = T(n/4) + T(3n/4) + cn After solving the above recursion, we get θ(n*log(n)).",
6,"A sub-sequence of a given sequence is just the given sequence with some elements (possibly none or all) left out. We are given two sequences X[m] and Y[n] of lengths m and n respectively, with indexes of X and Y starting from 0. We wish to find the length of the longest common sub-sequence(LCS) of X[m] and Y[n] as l(m,n), where an incomplete recursive definition for the function l(i,j) to compute the length of The LCS of X[m] and Y[n] is given below: l(i,j) = 0, if either i=0 or j=0 = expr1, if i,j > 0 and X[i-1] = Y[j-1] = expr2, if i,j > 0 and X[i-1] != Y[j-1]",,"expr1 ≡ l(i-1, j) + 1",,"expr1 ≡ l(i, j-1)",,"expr2 ≡ max(l(i-1, j), l(i, j-1))",,"expr2 ≡ max(l(i-1,j-1),l(i,j))",,C,MCQ,"In Longest common subsequence problem , there are two cases for X[0..i] and Y[0..j] 1) The last characters of two strings match. The length of lcs is length of lcs of X[0..i-1] and Y[0..j-1] 2) The last characters don't match. The length of lcs is max of following two lcs values a) LCS of X[0..i-1] and Y[0..j] b) LCS of X[0..i] and Y[0..j-1] Hence (C) is the correct answer.",
7,A multilevel page table is preferred in comparison to a single level page table for translating virtual address to physical address because,,It reduces the memory access time to read or write a memory location.,,It helps to reduce the size of page table needed to implement the virtual address space of a process.,,It is required by the translation lookaside buffer.,,It helps to reduce the number of page faults in page replacement algorithms.,,B,MCQ,The size of page table may become too big to fit in contiguous space. That is why page tables are typically divided in levels.,
8,"In which one of the following page replacement policies, Belady’s anomaly may occur?",,FIFO,,Optimal,,LRU,,MRU,,A,MCQ,Belady’s anomaly proves that it is possible to have more page faults when increasing the number of page frames while using the First in First Out (FIFO) page replacement algorithm.,
9,The essential content(s) in each entry of a page table is / are,,Virtual page number,,Page frame number,,Both virtual page number and page frame number,,Access right information,,B,MCQ,A page table entry must contain Page frame number. Virtual page number is typically used as index in page table to get the corresponding page frame number.,
10,A CPU generally handles an interrupt by executing an interrupt service routine,,As soon as an interrupt is raised,,By checking the interrupt register at the end of fetch cycle.,,By checking the interrupt register after finishing the execution of the current instruction.,,By checking the interrupt register at fixed time intervals.,,C,MCQ,"Hardware detects interrupt immediately, but CPU acts only after its current instruction. This is followed to ensure integrity of instructions.",
11,Consider the data given in previous question. The address of the 1039th sector is,,"(0, 15, 31)",,"(0, 16, 30)",,"(0, 16, 31)",,"(0, 17, 31)",,C,MCQ,"(a) <0,15,31> 0th cylinder 15th surface and 31st sector So, 0 cylinders passed 0*20*63 As each cylinder has 20 surfaces and each surface has 63 sectors. + 15 surfaces passed (0-14) 15*63 As each surface has 63 sectors + We are on 31st sector So, sector no. =0*20*63+15*63+31=976 sector. Which is not equal to 1039. (b) <0,16,30> Similarly this represents, 0*20*63 + 16*63 (0-15 sectors and each sector has 63 sectors) + 30 sectors on 16th sector Sector no = 0*20*63+16*63+30=1038 sector which is not equal to 1039. (c) <0,16,31> Similarly this represents, 0*20*63 + 16*63 (0-15 sectors and each sector has 63 sectors) + 31 sectors on 16th sector Sector no = 0*20*63+16*63+31=1039 sector which is equal to 1039. Hence,option c is correct. (d) <0,17,31> Similarly this represents, 0*20*63 + 17*63 (0-16 sectors and each sector has 63 sectors) + 31 sectors on 17th sector Sector no = 0*20*63+17*63+31=1102 sector which is not equal to 1039.",
