Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Consider the methods used by processes P1 and P2 for accessing their critical sections whenever needed, as given below. The initial values of shared boolean variables S1 and S2 are randomly assigned. Method Used by P1 while (S1 == S2) ; Critica1 Section S1 = S2; Method Used by P2 while (S1 != S2) ; Critica1 Section S2 = not (S1); Which one of the following statements describes the properties achieved?",,Mutual exclusion but not progress,,Progress but not mutual exclusion,,Neither mutual exclusion nor progress,,Both mutual exclusion and progress,,A,MCQ,"Mutual Exclusion: A way of making sure that if one process is using a shared modifiable data, the other processes will be excluded from doing the same thing. while one process executes the shared variable, all other processes desiring to do so at the same time moment should be kept waiting; when that process has finished executing the shared variable, one of the processes waiting; while that process has finished executing the shared variable, one of the processes waiting to do so should be allowed to proceed. In this fashion, each process executing the shared data (variables) excludes all others from doing so simultaneously. This is called Mutual Exclusion. Progress Requirement: If no process is executing in its critical section and there exist some processes that wish to enter their critical section, then the selection of the processes that will enter the critical section next cannot be postponed indefinitely. Solution: It can be easily observed that the Mutual Exclusion requirement is satisfied by the above solution, P1 can enter critical section only if S1 is not equal to S2, and P2 can enter critical section only if S1 is equal to S2. But here Progress Requirement is not satisfied. Suppose when s1=1 and s2=0 and process p1 is not interested to enter into critical section but p2 want to enter critical section. P2 is not able to enter critical section in this as only when p1 finishes execution, then only p2 can enter (then only s1 = s2 condition be satisfied). Progress will not be satisfied when any process which is not interested to enter into the critical section will not allow other interested process to enter into the critical section.",
2,"The following program consists of 3 concurrent processes and 3 binary semaphores.The semaphores are initialized as S0 = 1, S1 = 0, S2 = 0. How many times will process P0 print '0'?",http://www.geeksforgeeks.org/wp-content/uploads/gq/2013/12/gatecs201042.png,At least twice,,Exactly twice,,Exactly thrice,,Exactly once,,A,MCQ,"Initially only P0 can go inside the while loop as S0 = 1, S1 = 0, S2 = 0. Minimum no. of time 0 printed is twice when execute in this order (p0 -> p1 -> p2 -> p0) Maximum no. of time 0 printed is thrice when execute in this order (p0 -> p1 -> p0 -> p2 -> p0). Watch GeeksforGeeks Video Explanation :",
3,"What does the following program print? C #include void f ( int * p , int * q ) { p = q ; * p = 2 ; } int i = 0 , j = 1 ; int main () { f ( & i , & j ); printf ( ""%d %d \n "" , i , j ); getchar (); return 0 ; }",,2 2,,2 1,,0 1,,0 2,,D,MCQ,"See below comments for explanation. /* p points to i and q points to j */ void f(int *p, int *q) { p = q;    /* p also points to j now */ *p = 2;   /* Value of j is changed to 2 now */ }",
4,A system uses FIFO policy for page replacement. It has 4 page frames with no pages loaded to begin with. The system first accesses 100 distinct pages in some order and then accesses the same 100 pages but now in the reverse order. How many page faults will occur?,,196,,192,,197,,195,,A,MCQ,See http://www.geeksforgeeks.org/operating-systems-set-7/,
5,Which data structure in a compiler is used for managing information about variables and their attributes?,,Abstract syntax tree,,Symbol table,,Semantic stack,,Parse Table,,B,MCQ,"Symbol table is a data structure used by a language translator such as a compiler or interpreter, where each identifier in a program's source code is associated with information relating to its declaration or appearance in the source, such as its type, scope level and sometimes its location.",
6,"Predict the Output: C++ #include <iostream> using namespace std ; int f ( int a [], int i , int n ) { if ( n <= 0 ) return 0 ; else if ( a [ i ] % 2 == 0 ) return a [ i ] + f ( a , i + 1 , n - 1 ); else return a [ i ] - f ( a , i + 1 , n - 1 ); } int main () { int a [] = { 12 , 7 , 13 , 4 , 11 , 6 }; cout << f ( a , 0 , 6 ); return 0 ; } C #include <stdio.h> int f ( int a [], int i , int n ) { if ( n <= 0 ) return 0 ; else if ( a [ i ] % 2 == 0 ) return a [ i ] + f ( a , i + 1 , n - 1 ); else return a [ i ] - f ( a , i + 1 , n - 1 ); } int main () { int a [] = { 12 , 7 , 13 , 4 , 11 , 6 }; printf ( ""%d"" , f ( a , 0 , 6 )); return 0 ; } Java class GFG { static int f ( int a [] , int i , int n ) { if ( n <= 0 ) return 0 ; else if ( a [ i ] % 2 == 0 ) return a [ i ] + f ( a , i + 1 , n - 1 ); else return a [ i ] - f ( a , i + 1 , n - 1 ); } public static void main ( String args [] ) { int a [] = { 12 , 7 , 13 , 4 , 11 , 6 }; System . out . print ( f ( a , 0 , 6 )); } } Python def f ( a , i , n ): if n <= 0 : return 0 elif a [ i ] % 2 == 0 : return a [ i ] + f ( a , i + 1 , n - 1 ) else : return a [ i ] - f ( a , i + 1 , n - 1 ) if __name__ == '__main__' : a = [ 12 , 7 , 13 , 4 , 11 , 6 ] print ( f ( a , 0 , 6 )) JavaScript function f ( a , i , n ) { if ( n <= 0 ) return 0 ; else if ( a [ i ] % 2 === 0 ) return a [ i ] + f ( a , i + 1 , n - 1 ); else return a [ i ] - f ( a , i + 1 , n - 1 ); } const a = [ 12 , 7 , 13 , 4 , 11 , 6 ]; console . log ( f ( a , 0 , 6 ));",,-9,,5,,15,,19,,C,MCQ,"f() is a recursive function which adds f(a+1, n-1) to *a if *a is even. If *a is odd then f() subtracts f(a+1, n-1) from *a. See below recursion tree for execution of f(a, 6). . f(add(12), 6) /*Since 12 is first element. a contains address of 12 */ | 12 + f(add(7), 5) /* Since 7 is the next element, a+1 contains address of 7 */ | 7 - f(add(13), 4) | 13 - f(add(4), 3) | 4 + f(add(11), 2) | 11 - f(add(6), 1) | 6 + 0 So, the final returned value is 12 + (7 – (13 – (4 + (11 – (6 + 0))))) = 15 Hence (C) is the correct answer.",
7,"The following program is to be tested for statement coverage: begin if (a== b) {S1; exit;} else if (c== d) {S2;] else {S3; exit;} S4; end The test cases T1, T2, T3 and T4 given below are expressed in terms of the properties satisfied by the values of variables a, b, c and d. The exact values are not given.  T1 : a, b, c and d are all equal T2 : a, b, c and d are all distinct T3 : a = b and c != d T4 : a != b and c = d Which of the test suites given below ensures coverage of statements S1, S2, S3 and S4?",,"T1, T2, T3",,"T2, T4",,"T3, T4",,"T1, T2, T4",,D,MCQ,T1 checks S1 T2 checks S3 T4 checks S2 and S4,
8,"Consider a complete undirected graph with vertex set {0, 1, 2, 3, 4}. Entry Wij in the matrix W below is the weight of the edge {i, j}. What is the minimum possible weight of a spanning tree T in this graph such that vertex 0 is a leaf node in the tree T?",http://www.geeksforgeeks.org/wp-content/uploads/gq/2013/12/2010.gif,7,,8,,9,,10,,D,MCQ,See question 1 of http://www.geeksforgeeks.org/data-structures-and-algorithms-set-25/,
9,"Consider the data from above question . When there is a miss in both L1 cache and L2 cache, first a block is transferred from main memory to L2 cache, and then a block is transferred from L2 cache to L1 cache. What is the total time taken for these transfers?",,222 nanoseconds,,888 nanoseconds,,902 nanoseconds,,968 nanoseconds,,C,MCQ,"Since the block size of L2 cache is 16 words and the bandwidth of mainmem->L2 cache is 4 words, it requires a transfer of 4 words 4 times and then a transfer of required 4 words from L2 cache to L1 cache. So total time is 4*(200 + 20) + 1*(20 + 2) = 902 nanoseconds. Option (C) is correct.",
10,"A computer system has an L1 cache, an L2 cache, and a main memory unit connected as shown below. The block size in L1 cache is 4 words. The block size in L2 cache is 16 words. The memory access times are 2 nanoseconds. 20 nanoseconds and 200 nanoseconds for L1 cache, L2 cache and main memory unit respectively. When there is a miss in L1 cache and a hit in L2 cache, a block is transferred from L2 cache to L1 cache. What is the time taken for this transfer?",http://www.geeksforgeeks.org/wp-content/uploads/gq/2013/12/CSE_201048.gif,2 nanoseconds,,20 nanoseconds,,22 nanoseconds,,88 nanoseconds,,C,MCQ,"A block to access in L2 cache requires 20 nanoseconds, and 2 seconds to place in L1-cache. The block size in L1 cache is 4 words, so total time is = time to access L2 + time to place in L1 = 20+2 = 22 ns.",
