Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"In the working-set strategy, which of the following is done by the operating system to prevent thrashing? It initiates another process if there are enough extra frames. It selects a process to suspend if the sum of the sizes of the working-sets exceeds the total number of available frames.",,I only,,II only,,Neither I nor II,,Both I and II,,D,MCQ,"According to concept of thrashing, I is true because to prevent thrashing we must provide processes with as many frames as they really need ""right now"".If there are enough extra frames, another process can be initiated. II is true because The total demand, D, is the sum of the sizes of the working sets for all processes. If D exceeds the total number of available frames, then at least one process is thrashing, because there are not enough frames available to satisfy its minimum working set. If D is significantly less than the currently available frames, then additional processes can be launched.",
2,A problem in NP is NP-complete if,,It can be reduced to the 3-SAT problem in polynomial time,,The 3-SAT problem can be reduced to it in polynomial time,,It can be reduced to any other problem in NP in polynomial time,,Some problem in NP can be reduced to it in polynomial time,,B,MCQ,"A problem in NP becomes NPC if all NP problems can be reduced to it in polynomial time. This is the same as reducing any of the NPC problems to it. 3-SAT being an NPC problem, reducing it to an NP problem would mean that NP problem is NPC.",
3,"The characters a to h have the set of frequencies based on the first 8 Fibonacci numbers as follows a : 1, b : 1, c : 2, d : 3, e : 5, f : 8, g : 13, h : 21/ A Huffman code is used to represent the characters. What is the sequence of characters corresponding to the following code? 110111100111010",,fdheg,,ecgdf,,dchfg,,fehdg,,A,MCQ,"Background Required -  Generating Prefix codes using Huffman Coding. First we apply greedy algorithm on the frequencies of the characters to generate the binary tree as shown in the Figure given below. Assigning 0 to the left edge and 1 to the right edge, prefix codes for the characters are as below. a - 1111110 b - 1111111 c - 111110 d - 11110 e - 1110 f - 110 g - 10 h - 0 Given String can be decomposed as 110 11110 0 1110 10 f        d     h    e     g",http://www.geeksforgeeks.org/wp-content/uploads/gq/2016/12/pranjal_3.png
4,"Given a boolean function f (x 1 , x 2 , ..., x n ), which of the following equations is NOT true",,"f(x 1 ​, x 2 ​, …, x n ​) = x 1 'f(x 1 ​, x 2 ​, …, x n ​) + x 1 ​f(x 1 ​, x 2 ​, …, x n ​)",,"f(x 1 , x 2 , ..., x n ) = x 2 f(x 1 , x 2 , …, x n ) + x 2 'f(x 1 , x 2 , …, x n )",,"f(x 1 , x 2 , ..., x n ) = x n 'f(x 1 , x 2 , …, 0) + x n f(x 1 , x 2 , …,1)",,"f(x 1 , x 2 , ..., x n ) = f(0, x 2 , …, x n ) + f(1, x 2 , ..., x n )",,D,MCQ,"Option A : f (x1, x2, …, xn) = x1’f(x1, x2, …, xn) + x1f(x1, x2, …, xn) Case 1 : taking x1=0 RHS = 1.f(x1, x2, …, xn) + 0.f(x1, x2, …, xn) RHS =f(x1, x2, …, xn). Case 2 : taking x1=1 RHS = 0.f(x1, x2, …, xn) + 1.f(x1, x2, …, xn) RHS =f(x1, x2, …, xn). In both cases RHS=LHS, so, (A) is true Option B : f (x1, x2, …, xn) = x2f(x1, x2, …, xn) + x2’f(x1, x2, …, xn) Case 1 : taking x2=0 RHS= 0.f(x1, x2, …, xn) + 1.f(x1, x2…,xn) RHS =f(x1, x2, …, xn). Case 2 : taking x2=1 RHS = 1.f(x1, x2, …, xn) + 0.f(x1, x2, …, xn) RHS =f(x1, x2, …, xn).  In both cases RHS=LHS, so, (B) is true. Option C : f (x1, x2, …, xn) = xn’f(x1, x2, …, 0) + xnf(x1, x2, …,1) Case 1 : taking xn=0 RHS= 1.f(x1, x2, …, 0) + 0.f(x1, x2, …, 1) RHS =f(x1, x2, …, 0) Case 2 : taking xn=1 RHS = 0.f(x1, x2, …, 0) + 1.f(x1, x2, …, 1) RHS =f(x1, x2, …, 1)In both cases RHS=LHS, so, (C) is true. Option D : f (x1, x2, …, xn) = f(0, x2, …, xn) + f(1, x2, .., xn) Here, no way to equate LHS and RHS so ‘NOT true’ NO term depends on value of ‘x1’.",
5,"When a coin is tossed, the probability of getting a Head is p,0<p<1. Let N be the random variable denoting the number of tosses till the first Head appears, including the toss where the Head appears. Assuming that successive tosses are independent, the expected value of N is",,1/p,,1/(1−p),,1/p2,,1/(1−p2),,A,MCQ,"For a continuous variable X ranging over all the real numbers, the expectation is defined by E(X)= ∫ xf(x) dx probability for head = p probability for tail = 1-p if in first time, head appears, probability will be 1*p if firstly tail occurs,and then head occurs, then the probability will be (1-p)*p and so on.... for the nth time, probability will be (1-p) n-1 * p E= 1*p + 2*(1−p)*p + 3*(1−p)*(1−p)*p + ................... equation(1) multiply both side with (1−p): E*(1-p) = 1*p*(1-p) + 2*(1-p)*(1-p)*p + 3*(1-p)*(1-p)*(1-p)*p +............. equation (2) Subtract equation 2 from equation 1: E−E*(1−p)= 1*p+ (1−p)*p+ (1−p)*(1−p)*p +... E*p =p[1+ (1-p) + (1-p)*(1-p) + ......] It's a infinite geometric progression. E = 1/(1-(1-p)) = 1/p E=1/p correct answer is A.",
6,Which of the following DMA transfer modes and interrupt handling mechanisms will enable the highest I/O band-width?,,Transparent DMA and Polling interrupts,,Cycle-stealing and Vectored interrupts,,Block transfer and Vectored interrupts,,Block transfer and Polling interrupts,,C,MCQ,"Among the options provided, the DMA transfer mode and interrupt handling mechanism that enable the highest I/O bandwidth is option (C): Block transfer and Vectored interrupts. Let's understand why this choice provides the highest I/O bandwidth: Transparent DMA: Transparent DMA is not the most efficient option for achieving high I/O bandwidth. It allows the DMA controller to directly access the memory and transfer data without CPU involvement. However, it doesn't utilize interrupts effectively for signaling completion or handling data transfer events. Cycle-stealing: Cycle-stealing DMA interrupts the CPU during its normal operation to transfer data. While it can improve I/O bandwidth, it interrupts the CPU frequently, affecting its performance. Block transfer: Block transfer DMA involves transferring a block of data in a single operation. It minimizes the number of interrupts needed for transferring large amounts of data, resulting in efficient data transfer. Polling interrupts: Polling interrupts require the CPU to check the status of the DMA controller repeatedly to determine if data transfer has completed. This approach involves continuous CPU involvement and wastes CPU cycles, making it less efficient for achieving high I/O bandwidth. Vectored interrupts: Vectored interrupts allow the DMA controller to directly inform the CPU about data transfer events, reducing the CPU overhead. The CPU can efficiently handle the interrupts and resume its normal operations. Considering the characteristics described above, option (C) combines block transfer DMA, which minimizes interrupts for large data transfers, with vectored interrupts, which efficiently notify the CPU about data transfer events. This combination maximizes the I/O bandwidth by reducing CPU involvement and efficiently utilizing interrupts, making it the best choice among the provided options for achieving the highest I/O bandwidth.",
7,Which of the following relational query languages have the same expressive power? Relational algebra Tuple relational calculus restricted to safe expressions Domain relational calculus restricted to safe expressions,,II and III only,,I and II only,,I and III only,,"I, II and III",,D,MCQ,Relational algebra is a procedural query language where we input - relations and it yields relations as output. It provides method to get the result. It is performed recursively on a relation and the in between results are relations(output). Basic set of operations for the relational model. Relational calculus is a non - procedural query language. It provides the query to get result. Higher level declarative language for specifying relational queries. Tuple Relational Calculus operates on each tuple. Domain Relational Calculus operates on each column or attribute. Safe expression means fixed no. of tuple or column or attribute as a result But all of them has same expressive power. Just different ways to do so.,
8,"Consider the relations r 1 (P, Q, R) and r 2 (R, S, T) with primary keys P and R respectively. The relation r 1 contains 2000 tuples and r 2 contains 2500 tuples. The maximum size of the join r 1 ⋈ r 2 is :",,2000,,2500,,4500,,5000,,A,MCQ,"r 1 ⋈ r 2 is a join operation done on the common attribute R. Further R is the primary key of R2 When we take a , the value of common attribute( R2 in this case) should match.The value of  R in r2 is matched with corresponding R in r1 . So it will have 2000 tuples. So correct option is (A).",
9,"For the set N of natural numbers and a binary operation f : N x N → N, an element z ∊ N is called an identity for f, if f (a, z) = a = f(z, a), for all a ∊ N. Which of the following binary operations have an identity? f (x, y) = x + y - 3 f (x, y) = max(x, y) f (x, y) = x y",,I and II only,,II and III only,,I and III only,,None of these,,A,MCQ,"I f(x,y) = x+y-3 = x= y+x-3  =>  y=3 Here identity elements is 3 II f(x,y) = max(x,y)=x=max(y,x)  => y=1 Here identity elements is 1 (III f(x,y) =x^y is not same as f(y,x) = y^x. So no identity element.",
10,"What is the cardinality of the set of integers X defined below?  X = {n | 1 ≤ n ≤ 123, n is not divisible by either 2, 3 or 5}",,28,,33,,37,,44,,B,MCQ,"To find the cardinality of the set X={n∣1≤n≤123,n is not divisible by either 2, 3, or 5}X = \{ n \mid 1 \leq n \leq 123, n \text{ is not divisible by either 2, 3, or 5} \}X={n∣1≤n≤123,n is not divisible by either 2, 3, or 5}, we can use the principle of inclusion-exclusion. We will count the total number of integers from 1 to 123 and subtract those divisible by 2, 3, or 5. Step 1: Total number of integers from 1 to 123 The total number of integers is 123. Step 2: Count integers divisible by 2, 3, or 5 Divisible by 2: The number of integers divisible by 2 is ⌊123/2⌋ = 61. Divisible by 3: The number of integers divisible by 3 is ⌊123/3⌋ = 41. Divisible by 5: The number of integers divisible by 5 is ⌊123/5⌋ = 24. Step 3: Apply inclusion-exclusion Divisible by 2 and 3 (LCM = 6): ⌊123/6⌋ = 20 Divisible by 2 and 5 (LCM = 10): ⌊123/10⌋ = 12 Divisible by 3 and 5 (LCM = 15): ⌊123/15⌋ = 8​ Divisible by 2, 3, and 5 (LCM = 30): ⌊123/30⌋ = 4 Using the inclusion-exclusion principle: Count of integers divisible by 2, 3, or 5 = 61 + 41 + 24 − 20 − 12 − 8 + 4 = 90 Total number that are not divisible = (Total Number) - N(A U B U C) = 123 - 90 = 33",
