Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images
1,"Consider the following C program: C #include <stdio.h> void fun1 ( char * s1 , char * s2 ) { char * temp ; temp = s1 ; s1 = s2 ; s2 = temp ; } void fun2 ( char ** s1 , char ** s2 ) { char * temp ; temp = * s1 ; * s1 = * s2 ; * s2 = temp ; } int main () { char * str1 = ""Hi"" , * str2 = ""Bye"" ; fun1 ( str1 , str2 ); printf ( ""%s %s"" , str1 , str2 ); fun2 ( & str1 , & str2 ); printf ( ""%s %s"" , str1 , str2 ); return 0 ; } The output of the program above is",,Hi Bye Bye Hi,,Hi Bye Hi Bye,,Bye Hi Hi Bye,,Bye Hi Bye Hi,,A,MCQ,"fun1(char *s1, char *s2) Above function scope is local, so the value changed here won't affect actual parameters. SO the values will be 'Hi Bye'.   fun2(char **s1, char **s2) In this function value is pointer to pointer, so it changes pointer of the actual value. So values will be 'Bye Hi' Answer is 'Hi Bye Bye Hi' Option (A) is correct.",
2,"Consider the following C program. C #include <stdio.h> struct Ournode { char x , y , z ; }; int main () { struct Ournode p = { '1' , '0' , 'a' + 2 }; struct Ournode * q = & p ; printf ( ""%c, %c"" , * (( char * ) q + 1 ), * (( char * ) q + 2 )); return 0 ; } The output of this program is:",,"0, c",,"0, a+2",,"'0', 'a+2'",,"'0', 'c'",,A,MCQ,"'a' + 2 will be 'c', so Our node p = {'1', '0', 'c'} and output will be 0, c.  See: storage for Strings in C string Option (A) is correct.",
3,"Consider the following C code. Assume that unsigned long int type length is 64 bits. C unsigned long int fun ( unsigned long int n ) { unsigned long int i , j = 0 , sum = 0 ; for ( i = n ; i > 1 ; i = i / 2 ) j ++ ; for ( ; j > 1 ; j = j / 2 ) sum ++ ; return sum ; } The value returned when we call fun with the input [Tex]2^{40}[/Tex] is",,4,,5,,6,,40,,B,MCQ,"C // n takes 2^40 unsigned long int fun ( unsigned long int n ) { // initialized sum = 0 unsigned long int i , j = 0 , sum = 0 ; //First it takes i = n = 2^40, //then it divides i by 2 and incremented once j //each time, that's will make makes j = 40, for ( i = n ; i > 1 ; i = i / 2 ) j ++ ; //Now the value of j = 40, //it divides j by 2 and incremented once sum //each time, that's will make makes sum = 5, for ( ; j > 1 ; j = j / 2 ) sum ++ ; //returns sum = 5 return sum ; } So, answer is 5.",
4,The following are some events that occur after a device controller issues an interrupt while process L is under execution.  (P) The processor pushes the process status of L onto the control stack. (Q) The processor finishes the execution of the current instruction. (R) The processor executes the interrupt service routine. (S) The processor pops the process status of L from the control stack. (T) The processor loads the new PC value based on the interrupt.  Which of the following is the correct order in the which the events above occur?,,QPTRS,,PTRSQ,,TRPQS,,QTPRS,,A,MCQ,"So, option (A) is correct.",https://media.geeksforgeeks.org/wp-content/uploads/20250617144452020011/2018cs.webp
5,"Consider a simple communication system where multiple nodes are connected by a shared broadcast medium (like Ethernet or wireless). The nodes in the system use the following carrier-sense the medium access protocol. A node that receives a packet to transmit will carrier-sense the medium for 5 units of time. If the node does not detect any other transmission in this duration, it starts transmitting its packet in the next time unit. If the node detects another transmission, it waits until this other transmission finishes, and then begins to carrier-sense for 5 time units again. Once they start to transmit, nodes do not perform any collision detection and continue transmission even if a collision occurs. All transmissions last for 20 units of time. Assume that the transmission signal travels at the speed of 10 meters per unit time in the medium. Assume that the system has two nodes P and Q, located at a distance d meters from each other. P starts transmitting a packet at time t = 0 after successfully completing its carrier-sense phase. Node Q has a packet to transmit at time t = 0 and begins to carrier-sense the medium. The maximum distance d (in meters, rounded to the closest integer) that allows Q to successfully avoid a collision between its proposed transmission and P’s on going transmission is _______ . Note - This was Numerical Type question.",,50,,150,,20,,60,,A,MCQ,"In this scenario, device Q has a carrier sensing window of 5 time units. To prevent a collision, it's crucial for the initial signal transmitted by device P to reach device Q within this 5-unit window. This allows Q to detect the ongoing transmission from P and consequently defer its own transmission, thereby avoiding a collision. Given the signal propagation speed of 10 meters per time unit, the maximum permissible distance between P and Q to ensure collision-free communication is 50 meters. So, option (A) is correct. Read more about CSMA - HERE .",
6,"Consider the weights and values of items listed below. Note that there is only one unit of each item. Question The task is to pick a subset of these items such that their total weight is no more than 11 Kgs and their total value is maximized. Moreover, no item may be split. The total value of items picked by an optimal algorithm is denoted by V opt . A greedy algorithm sorts the items by their value-to-weight ratios in descending order and packs them greedily, starting from the first item in the ordered list. The total value of items picked by the greedy algorithm is denoted by V greedy . The value of V opt − V greedy is ______ .",https://media.geeksforgeeks.org/wp-content/uploads/20230523212057/Screenshot-2023-05-23-212011.png,16,,8,,44,,60,,A,MCQ,"First, we will pick item_4 (Value weight ratio is highest). Second highest is item_1 but cannot be picked because of its weight. Now item_3 shall be picked. item_2 cannot be included because of its weight. Therefore, overall profit by V greedy = 20+24 = 44 Hence, V opt - V greedy = 60-44 = 16 So, answer is 16. Read more about Greedy Algorithm .",
7,"Consider a process executing on an operating system that uses demand paging. The average time for a memory access in the system is M units if the corresponding memory page is available in memory, and D units if the memory access causes a page fault. It has been experimental measured that the average time taken for a memory access in the process is X units.  Which one of the following is the correct expression for the page fault rate experienced by the process?",,(D - M) / (X - M),,(X - M) / (D - M),,(D - X) / (D - M),,(X - M) / (D - X),,B,MCQ,Average memory access time = (1 - page fault rate) ✕ memory access time when no page fault + page fault rate ✕ Memory access time when page fault. X = (1 - p) M + PD X = M + P (D - M) P = (X - M) / (D-M),
8,"Consider the following program written in pseudo-code. Assume that x and y are integers. Count (x, y) { if (y !=1 ) { if (x !=1) { print(""*""); Count (x/2, y); } else { y=y-1; Count (1024, y); } } } The number of times that the print statement is executed by the call Count(1024, 1024) is _______ . Note - This was Numerical Type question.",,10230,,10,,1023,,23010,,A,MCQ,"Firstly, Count(1024, 1024) will be called and value of x will be deducted by x/2. 'x' will be printed 10 times. On count=10, value of x will become 1. Since x=1, inner else loop will start executing. On each call value of y will be decreased by 1  and will be executed until value of y becomes 1 (which is on 1023 th call).   Since count() is called recursively for every y=1023 and count() is called 10times for each y. Therefore, 1023 x 10 = 10230 Answer is 10230.",
9,"Consider a storage disk with 4 platters (numbered as 0, 1, 2 and 3), 200 cylinders (numbered as 0, 1, … , 199), and 256 sectors per track (numbered as 0, 1, … 255). The following 6 disk requests of the form [sector number, cylinder number, platter number] are received by the disk controller at the same time: [120, 72, 2], [180, 134, 1], [60, 20, 0], [212, 86, 3], [56, 116, 2], [118, 16, 1] Currently head is positioned at sector number 100 of cylinder 80, and is moving towards higher cylinder numbers. The average power dissipation in moving the head over 100 cylinders is 20 milliwatts and for reversing the direction of the head movement once is 15 milliwatts. Power dissipation associated with rotational latency and switching of head between different platters is negligible. The total power consumption in milliwatts to satisfy all of the above disk requests using the Shortest Seek Time First disk scheduling algorithm is ______ . Note - This was Numerical Type question.",,45,,80,,85,,None of these,,C,MCQ,"Head starts at 80. Total Head movements in SSTF = (86-80) + (86-72) + (134-72) + (134-16) = 200 Power dissipated by 200 movements : P1 = 0.2 * 200 = 40 mW Power dissipated in reversing head direction once = 15 mW Number of time Head changes its direction = 3 Power dissipated in reversing head direction: P2 = 3 * 15 = 45 mW Total power consumption (in mW) is P1 + P2 = 40 mW + 45 mW = 85 mW So, answer is 85. Disk Scheduling Algorithms",
10,"Let G be a simple undirected graph. Let T D be a depth first search tree of G. Let T B be a breadth first search tree of G. Consider the following statements. (I) No edge of G is a cross edge with respect to T D . (A cross edge in G is between two nodes neither of which is an ancestor of the other in T D ). (II) For every edge (u, v) of G, if u is at depth i and v is at depth j in T B , then ∣i − j∣ = 1. Which of the statements above must necessarily be true?",,I only,,II only,,Both I and II,,Neither I nor II,,A,MCQ,"There are four types of edges can yield in DFS . These are tree, forward, back, and cross edges. In undirected connected graph, forward and back edges are the same thing. A cross edge in a graph is an edge that goes from a vertex v to another vertex u such that u is neither an ancestor nor descendant of v. Therefore, cross edge is not possible in undirected graph. So, statement (I) is correct. For statement (II) take counterexample of complete graph of three vertices, i.e., K3 with XYZ, where X is source and Y and Z are in same level. Also,there is an edge between vertices Y and Z, i.e., |i-j| = 0 ≠ 1 in BFS. So, statement became false. Option (A) is correct.",
