Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,The following C declarations C struct node { int i ; float j ; }; struct node * s [ 10 ] ; define s to be,,"An array, each element of which is a pointer to a structure of type node",,"A structure of 2 fields, each field being a pointer to an array of 10 elements",,"A structure of 3 fields: an integer, a float, and an array of 10 elements",,"An array, each element of which is a structure of type node.",,A,MCQ,// The following code declares a structure struct node { int i; float j; }; // The following code declares and defines an array s[] each // element of which is a pointer to a structure of type node struct node *s[10] ;,,Programming and Data Structures,Programming in C,
2,Which of the following need not necessarily be saved on a context switch between processes?,,General purpose registers,,Translation look aside buffer,,Program counter,,All of the above,,B,MCQ,,,Operating System,Core Concepts,Processes and Threads
3,"Suppose the time to service a page fault is on the average 10 milliseconds, while a memory access takes 1 microsecond. Then a 99.99% hit ratio results in average memory access time of",,1.9999 milliseconds,,1 millisecond,,9.999 microseconds,,1.9999 microseconds,,D,MCQ,"If any page request comes it will first search into page table, if present, then it will directly fetch the page from memory, thus in this case time requires will be only memory access time.  But if required page will not be found, first we have to bring it out and then go for memory access. This extra time is called page fault service time.  Let hit ratio be p , memory access time be t1 , and page fault service time be t2. Hence, average memory access time = p*t1 + (1-p)*t2 =(99.99*1 +  0.01*(10*1000 + 1))/100 =1.9999 *10^-6 sec",,Operating System,Memory Management,Virtual Memory
4,"The value of j at the end of the execution of the following C program. C int incr ( int i ) { static int count = 0 ; count = count + i ; return ( count ); } main () { int i , j ; for ( i = 0 ; i <= 4 ; i ++ ) j = incr ( i ); }",,10,,4,,6,,7,,A,MCQ,See question 2 of http://www.geeksforgeeks.org/c-language-set-1/,,Programming and Data Structures,Programming in C,
5,A graphics card has on board memory of 1 MB. Which of the following modes can the card not support?,,1600 x 400 resolution with 256 colours on a 17-inch monitor,,1600 x 400 resolution with 16 million colours on a 14-inch monitor,,800 x 400 resolution with 16 million colours on a 17-inch monitor,,800 x 800 resolution with 256 colours on a 14-inch monitor,,B,MCQ,,,Computer Organization and Architecture,I/O,I/O Interface
6,"An n x n array v is defined as follows: v[i, j] = i-j for all i, j, 1 <= i <= n, 1 <= j <= n The sum of the elements of the array v is",,0,,n-1,,n 2 - 3n + 2,,n 2 (n+1)/2,,A,MCQ,"In this case, the matrix would be 0    -1    -2    -3    -4    -5    -6    -7    ...    -n 1     0    -1    -2    -3    -4    -5    -6    ...  -(n-1) 2     1     0    -1    -2    -3    -4    -5    ...  -(n-2) 3     2     1     0    -1    -2    -3    -4    ...  -(n-3) 4     3     2     1     0    -1    -2    -3    ...  -(n-4) 5     4     3     2     1     0    -1    -2    ...  -(n-5) 6     5     4     3     2     1     0    -1    ...  -(n-6) 7     6     5     4     3     2     1     0    ...  -(n-6) .     .     .     .     .     .     .     .     .   .   . .     .     .     .     .     .     .     .     .   .   . .     .     .     .     .     .     .     .     .   .   . n    n-1   n-2   n-3   n-4   n-5   n-6    n-7  ...  2   1 Now, we take the sum of first row and first column, which comes out to be zero. Similarly, we take the sum of second row and second column, third row and third column, and so on, and it is found that all have a sum equal to zero. So, the sum of all the elements in the matrix is zero. Thus, A is the correct choice.",,Engineering Mathematics,Discrete Mathematics,Combinatorics
7,"X, Y and Z are closed intervals of unit length on the real line. The overlap of X and Y is half a unit. The overlap of Y and Z is also half a unit. Let the overlap of X and Z be k units. Which of the following is true?",,k must be 1,,k must be 0,,k can take any value between 0 and 1 (d) None of the above,,None of the above,,D,MCQ,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2000/Explanation_Images/226b63eeb1026f81-V8jVdUfXp8NLGUbVq30fJtBW9cY31h.png,Engineering Mathematics,Discrete Mathematics,"Sets, relations, functions, partial orders and lattices"
8,"Suppose you are given an array s[1..n] and a procedure reverse (s, i, j) which reverses the order of elements in a between positions i and j (both inclusive). What does the following sequence do, where 1 <= k <= n: reverse(s, 1, k) ; reverse(s, k + 1, n); reverse(s, l, n);",,Rotates s left by k positions,,Leaves s unchanged,,Reverses all elements of s,,None of the above,,A,MCQ,"Effect of the above 3 reversals for any k is equivalent to left rotation of the array of size n by k. If we rotate an array n times for k = 1 to n, we get the same array back.",,Algorithms,Basic Techniques,"Searching, sorting, hashing"
9,"Let G be an undirected graph. Consider a depth-first traversal of G, and let T be the resulting depth-first search tree. Let u be a vertex in G and let v be the first new (unvisited) vertex visited after visiting u in the traversal. Which of the following statements is always true?",,"{u,v} must be an edge in G, and u is a descendant of v in T",,"{u,v} must be an edge in G, and v is a descendant of u in T",,"If {u,v} is not an edge in G then u is a leaf in T",,"If {u,v} is not an edge in G then u and v must have the same parent in T",,C,MCQ,"In DFS , if 'v' is visited after 'u', then one of the following is true. 1) (u, v) is an edge. u /   \ v     w /     / \ x     y   z 2) 'u' is a leaf node. w /   \ x     v /     / \ u     y   z In DFS , after visiting a node, we first recur for all unvisited children.  If there are no unvisited children (u is leaf), then control goes back to parent and parent then visits next unvisited children.",,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
10,Given the following relation instance. x  y  z 1  4  2 1  5  3 1  6  3 3  2  2 Which of the following functional dependencies are satisfied by the instance? (GATE CS 2000),,XY -> Z and Z -> Y,,YZ -> X and Y -> Z,,YZ -> X and X -> Z,,XZ -> Y and Y -> X,,B,MCQ,,,Databases,Database Design,"Integrity constraints, normal forms"
