Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,"The cost function for a product in a firm is given by 5q 2 , where q is the amount of production. The firm can sell the product at a market price of Rs 50 per unit. The number of units to be produced by the firm such that the profit is maximized is",,5,,10,,15,,25,,A,MCQ,Profit = Price - Cost = 50q - 5q 2 The above function will be maximum for the values on which its first derivative becomes 0. 50 - 10*q = 0 50 = 10 * q q = 5. The value of above expression is maximum at q = 5.,,Engineering Mathematics,Calculus,Extrema
2,"A file system with 300 GByte disk uses a file descriptor with 8 direct block addresses, 1 indirect block address and 1 doubly indirect block address. The size of each disk block is 128 Bytes and the size of each disk block address is 8 Bytes. The maximum possible file size in this file system is",,3 Kbytes,,35 Kbytes,,280 Bytes,,Dependent on the size of the disk,,B,MCQ,"Let's see the calculation: Given: Number of direct block addresses: 8 Number of indirect block addresses: 1 Number of doubly indirect block addresses: 1 Size of each disk block: 128 Bytes Size of each disk block address: 8 Bytes First, let's calculate the total size of direct blocks: Total size of direct blocks = Number of direct blocks * Size of each disk block = 8 * 128 Bytes = 1024 Bytes Next, let's calculate the maximum size of the file that can be addressed by the indirect block: Copy code Size of indirect block = Size of each disk block * Number of addresses in the indirect block = 128 Bytes * (128 Bytes / 8 Bytes) = 2048 Bytes Size of doubly indirect block = Size of each disk block * Number of addresses in the doubly indirect block * Number of addresses in each doubly indirect block = 128 Bytes * (128 Bytes / 8 Bytes) * (128 Bytes / 8 Bytes) = 32768 Bytes Total maximum file size = Total size of direct blocks + Size of indirect block + Size of doubly indirect block = 1024 Bytes + 2048 Bytes + 32768 Bytes = 35840 Bytes Total maximum file size in Kbytes = 35840 Bytes / 1024 Bytes per Kbyte ≈ 35 Kbytes",,Operating System,File Systems,File organization
3,"Consider the virtual page reference string 1, 2, 3, 2, 4, 1, 3, 2, 4, 1 On a demand paged virtual memory system running on a computer system that main memory size of 3 pages frames which are initially empty. Let LRU, FIFO and OPTIMAL denote the number of page faults under the corresponding page replacements policy. Then",,OPTIMAL < LRU < FIFO,,OPTIMAL < FIFO < LRU,,OPTIMAL = LRU,,OPTIMAL = FIFO,,B,MCQ,"First In First Out (FIFO) This is the simplest page replacement algorithm. In this algorithm, operating system keeps track of all pages in the memory in a queue; oldest page is in the front of the queue. When a page needs to be replaced page in the front of the queue is selected for removal. Optimal Page replacement: in this algorithm, pages are replaced which are not used for the longest duration of time in the future. Least Recently Used (LRU) In this algorithm page will be replaced which is least recently used. Solution: the virtual page reference string is 1, 2, 3, 2, 4, 1, 3, 2, 4, 1 size of main memory pages frames is 3. For FIFO: total no of page faults are 6 (depicted in red) For optimal: total no of page faults are 5 (depicted in red) For LRU: total no of page faults are 9 (depicted in red) The Optimal will be 5, FIFO 6 and LRU 9. so, OPTIMAL < FIFO < LRU option (B) is correct answer.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/950d30af47e0dd3a-saOg2w7YxF1bZEDqbcovPGRiKKzl8j.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/aa2b34191e2100f8-27NujEevt8xNBkAZzXsovmfkf6fRyq.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/b7dbe2f4a78bcb82-VO8Feilxu757S5o7d5MlUHTvZGAO0u.png",Operating System,Memory Management,Virtual memory
4,"Suppose ( A , B) and ( C ,D) are two relation schemas. Let r1 and r2 be the corresponding relation instances. B is a foreign key that refers to C in r2. If data in r1 and r2 satisfy referential integrity constraints, which of the following is ALWAYS TRUE?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/82a68f7ec7a95327-hPh1YhPXh8qX9OMwiQcL3xYf6vNhK1.png,A,,B,,C,,D,,A,MCQ,See Question 3 of http://www.geeksforgeeks.org/database-management-system-set-2/,,Databases,Database Design,Integrity constraints
5,Consider an instance of TCP’s Additive Increase Multiplicative Decrease (AIMD) algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS. Assume that a timeout occurs during the fifth transmission. Find the congestion window size at the end of the tenth transmission.,,8 MSS,,14 MSS,,7 MSS,,12 MSS,,C,MCQ,See question 2 of http://www.geeksforgeeks.org/computer-networks-set-2/,,Computer Networks,Transport Layer,TCP congestion control
6,"Consider the set of strings on {0,1} in which, every substring of 3 symbols has at most two zeros. For example, 001110 and 011001 are in the language, but 100010 is not. All strings of length less than 3 are also in the language. A partially completed DFA that accepts this language is shown below. The missing arcs in the DFA are",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/9911d4aa2565e6e0-BPINWnyNZ0qFz9atxniqHEjFZYWR8S.JPG,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Option_A_Images/b711df8ebc40bad3-JHhnxCMG4HWSeRT1if1qUT3BzFfgDr.JPG,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Option_B_Images/64e80bb7d6a2cc22-PklvtlZr9fRqWZct8AbLY39CWHPY2f.JPG,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Option_C_Images/98be2c0576a3205d-ErnQRG1PGFTfgjKlMgNgibqsRD46T3.JPG,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Option_D_Images/ced8eaab8b03894a-UD1Wjd8UfEseXV7RgeE7Nh0hpUOspp.JPG,D,MCQ,See http://www.geeksforgeeks.org/automata-theory-set-2/,,Theory of Computation,Formal Languages and Automata,Regular languages and finite automata
7,The height of a tree is defined as the number of edges on the longest path in the tree. The function shown in the pseudocode below is invoked as height (root) to compute the height of a binary tree rooted at the tree pointer root. The appropriate expression for the two boxes B1 and B2 are,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/fbd58b66c94dbdd1-0wNw8TNuPusXArlqHJ0TZpdHy7NhyM.png,"B1 : (1 + height(n->right)), B2 : (1 + max(h1,h2))",,"B1 : (height(n->right)), B2 : (1 + max(h1,h2))",,"B1 : height(n->right), B2 : max(h1,h2)",,"B1 : (1 + height(n->right)), B2 : max(h1,h2)",,A,MCQ,"The box B1 gets expected when left subtree of n is NULL and right subtree is not NULL. In this case, height of n will be height of right subtree plus one. The box B2 gets executed when both left and right subtrees of n are not NULL. In this case, height of n will be max of heights of left and right subtrees of n plus 1.",,Programming and Data Structures,Non-Linear Data Structures,Trees
8,Register renaming is done in pipelined processors,,as an alternative to register allocation at compile time,,for efficient access to function parameters and local variables,,to handle certain kinds of hazards,,as part of address translation,,C,MCQ,"Register renaming is done to eliminate WAR (Write after Read) and WAW (Write after Write) dependency between instructions which could have caused pipieline stalls. Hence, (C) is the answer. Example: I1: Read A to B I2: Write C to A Here, there is a WAR dependency and pipeline would need stalls. In order to avoid it register renaming is done and Write  C to A will be Write  C to A WAR dependency is actually called anti-dependency and there is no real dependency except the fact that both uses same memory location. Register renaming can avoid this. Similarly WAW also.",,Computer Organization and Architecture,Pipelining,Hazards
9,Consider a random variable X that takes values +1 and −1 with probability 0.5 each. The values of the cumulative distribution function F(x) at x = −1 and +1 are,,0 and 0.5,,0 and 1,,0.5 and 1,,0.25 and 0.75,,C,MCQ,The Cumulative Distribution Function F(x) = P(X≤x) F(-1) = P(X≤-1) = P(X=-1) = 0.5 F(+1) = P(X≤+1) = P(X=-1) + (P=+1) = 0.5+0.5 = 1,,Engineering Mathematics,Probability and Statistics,Random Variables
10,"Consider the following C program C int a , b , c = 0 ; void prtFun ( void ); int main () { static int a = 1 ; /* line 1 */ prtFun (); a += 1 ; prtFun (); printf ( "" \n %d %d "" , a , b ) ; } void prtFun ( void ) { static int a = 2 ; /* line 2 */ int b = 1 ; a += ++ b ; printf ( "" \n %d %d "" , a , b ); } What output will be generated by the given code segment?",,3 1 4 1 4 2,,4 2 6 1 6 1,,4 2 6 2 2 0,,3 1 5 2 5 2,,C,MCQ,"1.Certainly! To provide a solution, let's revisit the code and break down the execution: 2. Global Variables: `a`, `b`, and `c` are declared with `c` initialized to 0. 3. Function Declaration: `prtFun` is declared. 4. Main Function Execution: - A static local variable `a` is declared and initialized to 1. - `prtFun` is called. - `prtFun`'s static local variable `a` is initialized to 2. - A local variable `b` is declared and initialized to 1. - `a` in `prtFun` is incremented by `++b`, resulting in `a = 4` and `b = 2`. - Values of `a` and `b` are printed from `prtFun`. - `a` in `main` is incremented by 1, making it 2. - `prtFun` is called again. - `a` in `prtFun` is now 4 (the static variable retains its value), and `b` is 1. - `a` in `prtFun` is incremented by `++b`, resulting in `a = 6` and `b = 2`. - Values of `a` and `b` are printed again from `prtFun`. 5. Final Print in Main**: Prints the values of `a` (2) and the global `b` (0). Output: 4 2 6 2 2 0",,Programming and Data Structures,Programming in C,Variables and scope
