Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,Which of the following does not interrupt a running process?,,A device,,Timer,,Scheduler process,,Power failure,,C,MCQ,"Scheduler process doesn’t interrupt any process, it’s Job is to select the processes for following three purposes. Long-term scheduler (or job scheduler) –selects which processes should be brought into the ready queue Short-term scheduler (or CPU scheduler) –selects which process should be executed next and allocates CPU. Mid-term Scheduler (Swapper)- present in all systems with virtual memory, temporarily removes processes from main memory and places them on secondary memory (such as a disk drive) or vice versa. The mid-term scheduler may decide to swap out a process which has not been active for some time, or a process which has a low priority, or a process which is page faulting frequently, or a process which is taking up a large amount of memory in order to free up main memory for other processes, swapping the process back in later when more memory is available, or when the process has been unblocked and is no longer waiting for a resource.",,Operating System,Core Concepts,Processes and Threads
2,Randomized quicksort is an extension of quicksort where the pivot is chosen randomly. What is the worst case complexity of sorting n numbers using randomized quicksort?,,O(n),,O(n*log(n)),,O(n 2 ),,O(n!),,C,MCQ,"If all elements of the given array are same then that is the worst case for the randomised quicksort. And time complexity of worst case of quicksort is O(n²) that is proven already. So, option (C) is correct.",,Algorithms,Complexity Analysis,Asymptotic worst-case time and space complexity
3,Where does the swap space reside?,,RAM,,Disk,,ROM,,On-chip cache,,B,MCQ,"Swap space is an area on disk that temporarily holds a process memory image.   When memory is full and process needs memory, inactive  parts of process are put in swap space of disk.",,Operating System,Memory Management,Virtual Memory
4,The process of assigning load addresses to the various parts of the program and adjusting the code and date in the program to reflect the assigned addresses is called,,Assembly,,Parsing,,Relocation,,Symbol resolution,,C,MCQ,"Relocation of code is the process done by the linker-loader when a program is copied from external storage into main memory. A linker  relocates the code by searching files and libraries to replace symbolic references of libraries with actual usable addresses in memory before running a program. Thus, option (C) is the answer.",,Operating System,Core Concepts,
5,"Consider a virtual memory system with FIFO page replacement policy. For an arbitrary page access pattern, increasing the number of page frames in main memory will",,always decrease the number of page faults,,always increase the number of page faults,,sometimes increase the number of page faults,,never affect the number of page faults,,C,MCQ,,,Operating System,Memory Management,Virtual Memory
6,"Consider a machine with 64 MB physical memory and a 32-bit virtual address space. If the page size is 4KB, what is the approximate size of the page table?",,16 MB,,8 MB,,2 MB,,24 MB,,C,MCQ,"Physical Address Space = 64MB = 2 26 B Virtual Address = 32-bits,  ∴ Virtual Address Space = 2 32 B Page Size = 4KB = 2 12 B Number of pages = 2 32 /2 12 = 2 20 pages. Number of frames = 2 26 /2 12 = 2 14 frames. ∴ Page Table Size = 2 20 ×14-bits ≈ 2 20 ×16-bits ≈ 2 20 ×2B = 2MB.",,Operating System,Memory Management,Virtual Memory
7,Which of the following statements is false?,,Virtual memory implements the translation of a program‘s address space into physical memory address space,,Virtual memory allows each program to exceed the size of the primary memory,,Virtual memory increases the degree of multiprogramming,,Virtual memory reduces the context switching overhead,,D,MCQ,,,Operating System,Memory Management,Virtual Memory
8,Which of the following requires a device driver?,,Register,,Cache,,Main memory,,Disk,,D,MCQ,"A disk driver is software which enables communication between internal hard disk (or drive) and computer. It allows a specific disk drive to interact with the remainder of the computer. Thus, option (D) is the answer.",,Operating System,I/O,
9,Consider the following graph: Graph Which edges would be included in the minimum spanning tree using Prim's algorithm starting from vertex A? Options: a)  b)  c)  d),https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Question_Images/255a2c1850448b1f-O2yfhmXH5FuHMOghkc5nP9VyKrr3iw.png,"AB, BD, DE, EF, FC",,"AC, CD, DE, EB, BF",,"AB, BD, DE, EC, CF",,"AC, CD, DE, EB, FE",,A,MCQ,"Let's go through the steps of Prim's algorithm starting from vertex A: Start from vertex A and initialize the MST with just vertex A. Find the minimum-weight edge that connects a vertex in the MST to a vertex outside the MST. The possible edges are AB (weight 5) and AC (weight 4). Choose the minimum-weight edge, which is AC (weight 4), and add it to the MST. Now, the MST includes vertices A and C. Look for the minimum-weight edge that connects a vertex in the MST to a vertex outside the MST. The possible edges are BC (weight 2), BD (weight 3), and CD (weight 6). Choose the minimum-weight edge, which is BC (weight 2), and add it to the MST. Now, the MST includes vertices A, B, and C. Look for the minimum-weight edge that connects a vertex in the MST to a vertex outside the MST. The possible edges are BD (weight 3), CD (weight 6), and DE (weight 3). Choose the minimum-weight edge, which is BD (weight 3), and add it to the MST. Now, the MST includes vertices A, B, C, and D. Look for the minimum-weight edge that connects a vertex in the MST to a vertex outside the MST. The possible edges are CD (weight 6), DE (weight 3), and EF (weight 5). Choose the minimum-weight edge, which is DE (weight 3), and add it to the MST. Now, the MST includes vertices A, B, C, D, and E. Look for the minimum-weight edge that connects a vertex in the MST to a vertex outside the MST. The possible edges are CD (weight 6), EF (weight 5), EC (weight 3), and FC (weight 2). Choose the minimum-weight edge, which is FC (weight 2), and add it to the MST. After going through all the steps, the minimum spanning tree (MST) using Prim's algorithm starting from vertex A includes the following edges: AB, BC, BD, DE, and FC. Therefore, the correct answer is option c) AB, BD, DE, EC, CF.",,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
10,"Consider a relation geq which represents “greater than or equal to”, that is, (x,y) ∈ geq only if y >= x. create table geq ( ib integer not null ub integer not null primary key 1b foreign key (ub) references geq on delete cascade ) Which of the following is possible if a tuple (x,y) is deleted?",,"A tuple (z,w) with z > y is deleted",,"A tuple (z,w) with z > x is deleted",,"A tuple (z,w) with w < x is deleted",,"The deletion of (x,y) is prohibited",,C,MCQ,"In the above question, the relation schema is ( lb , ub ), where lb is the primary key, and ub is the foreign key which is referencing the primary key of its own relation.  Hence the table geq is both the master ( which has the referenced key ) as well as the child table (which has the referencing key).  The table has two constraint, one is that if there is a tuple ( x, y ), then y is greater than or equal to x, And the other is referential integrity constraint, which is on-cascade-delete on the foreign key.  On-cascade-delete says, that ""When the referenced row is deleted from the other table (master table), then delete also from the child table"". Suppose the instance in the given relation is the following: x y ----- 5 6 4 5 3 4 6 6 Now if we delete tuple (5,6) then tuple ( 4,5 ) should also be deleted ( as 5 in the tuple (4, 5) was referencing to 5 in the tuple(5,6) which no longer exist, hence the referencing tuple should also be deleted), and as (4,5) got deleted hence tuple (3,4) should also be deleted for the same reason.  Therefore in total 3 rows have to be deleted if tuple ( 5,6 ) is deleted.  Now from the above instance we can say that if (x,y), i.e. ( 5,6 ) gets deleted then a tuple ( z, w) i.e, ( 3, 4) is also deleted. And we can see here that w < x. Hence option C.",,Databases,Database Design,"Integrity constraints, normal forms"
11,"Consider a schema R(A,B,C,D) and functional dependencies A->B and C->D.  Then the decomposition of R into R1(AB) and R2(CD) is",,dependency preserving and lossless join,,lossless join but not dependency preserving,,dependency preserving but not lossless join,,not dependency preserving and not lossless join,,C,MCQ,"Dependency Preserving Decomposition : Decomposition of R into R1 and R2 is a dependency preserving decomposition if closure of functional dependencies after decomposition is same as closure of of FDs before decomposition. A simple way is to just check whether we can derive all the original FDs from the FDs present after decomposition. In the above question  R(A, B, C, D) is decomposed into  R1 (A, B) and R2(C, D) and there are only two FDs A -> B and C -> D.  So, the decomposition is dependency preserving Lossless-Join Decomposition: Decomposition of R into R1 and R2 is a lossless-join decomposition if at least one of the following functional dependencies are in F+ (Closure of functional dependencies) R1 ∩ R2 → R1 OR R1 ∩ R2 → R2 In the above question  R(A, B, C, D) is decomposed into  R1 (A, B) and R2(C, D), and R1 ∩ R2 is empty. So, the decomposition is not lossless.",,Databases,Database Design,"Integrity constraints, normal forms"
12,"Suppose the adjacency relation of vertices in a graph is represented in a table Adj(X,Y). Which of the following queries cannot be expressed by a relational algebra expression of constant length?",,List of all vertices adjacent to a given vertex,,List all vertices which have self loops,,List all vertices which belong to cycles of less than three vertices,,List all vertices reachable from a given vertex,,D,MCQ,"(A) This is simple query as we need to find (X, Y) for a given X.  (B) This is also simple as need to find (X, X)  (C) :-> Cycle < 3 . Means cycle of length 1 & 2. Cycle of length 1 is easy., Same as self loop. Cycle of length 2 is is also not too hard to compute. Though it'll be little complex, will need to do like (X,Y) & (Y, X ) both present & X != Y,. We can do this with constant RA query.  (D) :-> This is most hard part. Here we need to find closure of vertices. This will need kind of loop. If the graph is like skewed tree, our query must loop for O(N) Times. We can't do with constant length query here.  Answer is :-> D",,Databases,Data Models,Relational model
13,"Let r and s be two relations over the relation schemes R and S respectively, and let A be an attribute in R. then the relational algebra expression is always equal to","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Question_Images/da247981e977517a-QIHYvQerViacQzNgqe1VQa4NLZFsWy.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2001/Question_Images/1899c46d41135249-zTAanE1yaz3Vwibw23k6DcYgLNhELn.png",A,,B,,C,,D,,C,MCQ,"The above expression evaluates A = a for tables r and s Option A : is only displaying attributes of table r on the select condition Option B : is only displaying attributes of table r Option C: evaluates A = a by joining tables r and s  efficiently , thus correct Therefore, Answer C",,Databases,Data Models,Relational model
