Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,Consider the following two-process synchronization solution. Process 0 Process 1 Entry: loop while (turn == 1);        Entry: loop while (turn == 0); (critical section)                    (critical section) Exit: turn = 1;                       Exit turn = 0; The shared variable turn is initialized to zero. Which one of the following is TRUE?,,This is a correct two-process synchronization solution.,,This solution violates mutual exclusion requirement.,,This solution violates progress requirement.,,This solution violates bounded wait requirement.,,C,MCQ,"A mutual exclusive requirement prevents simultaneous access to a shared resource. Since, semaphore turn is initialized to zero and this semaphore value is changing only after critical section for given processes. So, this ensures at most one process in the critical section at a time, i.e., mutual exclusive requirement is satisfied. Progress means that process should eventually be able to complete. But directly Process 1 can not go critical section as semaphore value is 0 initially and this process 1 can go CS only after process 0. So, progress requirement is not satisfied. Bounded waiting means no process should wait for a resource for infinite amount of time. Process 1 can go directly and Process 1 can go after process 0 into critical section. So, Bounded waiting is satisfied. Option (C) is correct.",,Operating System,Concurrency,Critical section problem
2,"Consider a non-negative counting semaphore S. The operation P(S) decrements S, and V(S) increments S. During an execution, 20 P(S) operations and 12 V(S) operations are issued in some order. The largest initial value of S for which at least one P(S) operation will remain blocked is ________.",,7,,8,,9,,10,,A,MCQ,"20-7 -> 13 will be in blocked state, when we perform 12 V(S) operation makes 12 more process to get chance for execution from blocked state. So one process will be left in the queue (blocked state) here i have considered that if a process is in under CS then it not get blocked by other process. Watch GeeksforGeeks Video Explanation :",,Operating System,Concurrency,Semaphores
3,"In an Ethernet local area network, which one of the following statements is TRUE ?",,A station stops to sense the channel once it starts transmitting a frame.,,The purpose of the jamming signal is to pad the frames that are smaller than the minimum frame size.,,A station continues to transmit the packet even after the collision is detected.,,The  exponential  backoff  mechanism  reduces  the  probability  of  collision  on retransmissions,,D,MCQ,"An Ethernet is the most popularly and widely used LAN network for data transmission. It is a protocol of data link layer and it tells how the data can be formatted to transmit and how to place the data on network for transmission. Now considering the Ethernet protocol we will discuss all the options one by one (A) This option is false as in Ethernet the station is not required to stop to sense for the channel prior frame transmission. (B) A signal is jammed to inform all the other devices or stations about collision that has occurred so that further data transmission is stopped. Thus this option is also false (C) Once the collision has occurred the data transmission is stopped as the jam signal is sent. Thus this option is also incorrect. (D) To reduce the probability of collision on retransmissions an exponential back off mechanism is used. Thus, only this option is true.",,Computer Networks,Data Link Layer,MAC protocols
4,Consider a 128×10 3 bits/second satellite communication link with one-way propagation delay of 150 milliseconds. Selective retransmission (repeat) protocol is used on this link to send data with a frame size of 1 kilobyte. Neglect the transmission time of acknowledgment. The minimum number of bits required for the sequence number field to achieve 100% utilization is ___________,,2,,4,,6,,8,,B,MCQ,"To achieve 100% efficiency, the number of frames that we should send = 1 + 2 * Tp / Tt where, Tp is propagation delay, and Tt is transmission delay. So Number of frames sent = 1 + 4.687 = 5.687 (approx 6) As the protocol used is Selective repeat, Receiver window size should be equal to Sender window size. Then Number of distinct sequence numbers required = 6 + 6 = 12 Number of bits required to represent 12 distinct numbers = 4 So, Answer is (B)",,Computer Networks,Data Link Layer,Flow and error control
5,A network has a data transmission bandwidth of 20 × 10 6 bits per second. It uses CSMA/CD in the MAC layer. The maximum signal propagation time from one node to another node is 40 microseconds. The minimum size of a frame in the network is _________ bytes. Note : This question was asked as Numerical Answer Type.,,200,,250,,400,,1200,,A,MCQ,"For frame size to be minimum, its transmission time should be equal to twice of one way propagation delay. i.e, Tx = 2Tp suppose minimum frame size is L bits. Tx = L / B where B is the bandwidth  = 20 * 10 6 bits/sec and given Tp = 40 micro seconds as Tx = 2 Tp L / B = 80 micro seconds L = B * 80 micro seconds = 20 * 10 6 bits/sec * 80 micro seconds = 1600 bits Now as the answer has to be given in Bytes, hence, 1600 / 8 bytes = 200 bytes. Thus, A is the correct answer.",,Computer Networks,Data Link Layer,MAC protocols
6,"Assume that the algorithms considered here sort the input sequences in ascending order. If the input is already in ascending order, which of the following is TRUE? I.   Quicksort runs in Θ(n 2 ) time II.  Bubblesort runs in Θ(n 2 ) time III. Mergesort runs in  Θ(n) time IV.  Insertion sort runs in  Θ(n) time",,I and II only,,I and III only,,II and IV only,,I and IV only,,D,MCQ,"Input is already in ascending order, which means it is the worst-case situation. Option 1: Quicksort runs in Θ (n 2 ) time In quick sort worst case if the first or last element is selected at the pivot element. For a Quicksort, in the worst-case recurrence, the relation will become T(n) = T(n-1) + T (1) + n, Which gives T(n) = Θ (n 2 ) So, it is correct. Option 2: Bubble sort runs in Θ (n 2 ) time If an array is already sorted in ascending order, then at that time there will be no swap after the completion of the inner for loop of bubble sort. In this way, bubble sort will take Θ (n) time complexity. Option 3: Merge sort runs in Θ (n) time Merge sort uses the divide and conquer policy to sort the elements. As elements are already sorted in ascending order. Recurrence relation for merge sort: T(n) = 2 T (n/2) + n, This will give Θ (n*log(n)) time complexity. Option 4: Insertion sort runs in Θ (n) time When a new element that is greater than all the elements of the array is added, then there will be no swap but only a single comparison. In n -1 swaps, only 0 swaps and n-1 comparisons are there. The total time complexity in this case will be Θ (n). So, it is correct.",,Algorithms,Complexity Analysis,Algorithm analysis
7,"Let A1, A2, A3, and A4 be four matrices of dimensions 10 x 5, 5 x 20, 20 x 10, and 10 x 5, respectively. The minimum number of scalar multiplications required to find the product A1A2A3A4 using the basic matrix multiplication method is",,1500,,2000,,500,,100,,A,MCQ,"We have many ways to do matrix chain multiplication because matrix multiplication is associative. In other words, no matter how we parenthesize the product, the result of the matrix chain multiplication obtained will remain the same. Here we have four matrices A1, A2, A3, and A4, we would have: ((A1A2)A3)A4 = ((A1(A2A3))A4) = (A1A2)(A3A4) = A1((A2A3)A4) = A1(A2(A3A4)). However, the order in which we parenthesize the product affects the number of simple arithmetic operations needed to compute the product, or the efficiency. Here, A1 is a 10 × 5 matrix, A2 is a 5 x 20 matrix, and A3 is a 20 x 10 matrix, and A4 is 10 x 5. If we multiply two matrices A and B of order l x m and m x n respectively, then the number of scalar multiplications in the multiplication of A and B will be lxmxn. Then, The number of scalar multiplications required in the following sequence of matrices will be : A1((A2A3)A4) = (5 x 20 x 10) + (5 x 10 x 5) + (10 x 5 x 5) = 1000 + 250 + 250 = 1500. All other parenthesized options will require number of multiplications more than 1500.",,Algorithms,Design Techniques,Dynamic programming
8,"The value printed by the following program is C void f ( int * p , int m ) { m = m + 5 ; * p = * p + m ; return ; } void main () { int i = 5 , j = 10 ; f ( & i , j ); printf ( ""%d"" , i + j ); }",,10,,20,,30,,40,,C,MCQ,"#include<stdio.h> void f(int* p, int m) { m = m + 5; *p = *p + m; return; } int main() { int i=5, j=10; f(&i, j); printf(""%d"", i+j); } For i, address is passed. For j, value is passed. So in function f, p will contain address of i and m will contain value 10. Ist statement of f() will change m to 15. Then 15 will be added to value at address p. It will make i = 5+15 = 20. j will remain 10. print statement will print 20+10 = 30. So answer is (C).",,Programming and Data Structures,Programming in C,Functions and parameter passing
9,In which one of the following page replacement algorithms it is possible for the page fault rate to increase even when the  number of allocated frames increases?,,LRU (Least Recently Used),,OPT (Optimal Page Replacement),,MRU (Most Recently Used),,FIFO (First In First Out),,D,MCQ,"In some situations FIFO page replacement gives more page faults  when increasing the number of page frames. This situation is Belady’s anomaly. Belady’s anomaly proves that it is possible to have more page faults when increasing the number of page frames while using the First in First Out (FIFO) page replacement algorithm.  For example, if we consider reference string      3     2     1     0     3     2     4     3     2     1     0     4 and 3 slots, we get 9 total page faults, but if we increase slots to 4, we get 10 page faults.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2016/Explanation_Images/dac5b8a47ecb7254-bNezcq2ASQi1VKqMAid6cgSz74G2hR.png,Operating System,Memory Management,Virtual memory
10,"Consider the following program: C int f ( int * p , int n ) { if ( n <= 1 ) return 0 ; else return max ( f ( p + 1 , n -1 ), p [ 0 ] - p [ 1 ]); } int main () { int a [] = { 3 , 5 , 2 , 6 , 4 }; printf ( ""%d"" , f ( a , 5 )); } Note: max(x,y) returns the maximum of x and y. The value printed by this program is",,2,,3,,4,,5,,B,MCQ,"Look at the recursion stack of the given code in the below image. Assuming that the base address of array starts from 1000 and an integer takes 4 Bytes. Step-by-Step Execution Step 1: Understand the Recursive Logic The function f(p,n) computes the maximum difference between adjacent elements in the array using recursion: f(p,n) = max(f(p+1,n−1),p[0]−p[1]). Base Case : If n≤1n, return 0. Recursive Case : Compare: The result of the recursive call f(p+1,n−1), which processes the rest of the array, and The difference between the first two elements, p[0]−p[1]. Step 2: Substitute Values for the Input Array: a={3,5,2,6,4}. Start with f(a,5): First Call : f(a,5) = max(f(a+1,4),3−5)=max(f(a+1,4),−2). Second Call : f(a+1,4)=max(f(a+2,3),5−2)=max(f(a+2,3),3). Third Call : f(a+2,3)=max(f(a+3,2),2−6)=max(f(a+3,2),−4). Fourth Call : f(a+3,2)=max(f(a+4,1),6−4)=max(0,2)=2 (base case for f(a+4,1). Step 3: Backtrack to Get the Result f(a+3,2)=2, so f(a+2,3)=max(2,−4)=2. f(a+2,3)=2, so f(a+1,4)=max(2,3)=3. f(a+1,4)=3, so f(a,5)=max(3,−2)=3. Final Answer : The value printed by the program is: 3.",,Programming and Data Structures,Recursion,
