Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,Processes P 1 and P 2 use critical_flag in the following routine to achieve mutual exclusion. Assume that critical_flag is initialized to FALSE in the main program. get_exclusive_access ( ) {     if (critical _flag == FALSE) {         critical_flag = TRUE ;         critical_region () ;         critical_flag = FALSE;     } } Consider the following statements. i. It is possible for both P 1 and P 2 to access critical_region concurrently. ii. This may lead to a deadlock. Which of the following holds?,,(i) is false and (ii) is true,,Both (i) and (ii) are false,,(i) is true and (ii) is false,,Both (i) and (ii) are true,,C,MCQ,"Say P 1 starts first and executes statement 1, after that system context switches to P 2 (before executing statement 2), and it enters inside if statement, since the flag is still false.  So now both processes are in critical section! so (i) is true.. (ii) is false  By no way it happens that flag is true and no process are inside the if clause, if someone enters the critical section, it will definitely make flag = false. So no deadlock.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2007/Explanation_Images/d4e7b680c0a668ba-52aiz3BFgMdjtEnmYrW4Bp3ohQLjzQ.png,Operating System,Core Concepts,Concurrency and Synchronization
2,"Consider the following program: C++ #include <iostream> #include <cctype> #include <stack> #define EOF -1 std :: stack < int > s ; void push ( int value ) { s . push ( value ); } /* push the argument on the stack */ int pop ( void ) { if ( s . empty ()) return EOF ; int value = s . top (); s . pop (); return value ; } /* pop the top of the stack */ void flagError () { std :: cerr << ""Error!"" << std :: endl ; exit ( 1 ); } int main () { int c , m , n , r ; while (( c = std :: cin . get ()) != EOF ) { if ( isdigit ( c )) push ( c - '0' ); else if (( c == '+' ) || ( c == '*' )) { m = pop (); n = pop (); r = ( c == '+' ) ? n + m : n * m ; push ( r ); } else if ( c != ' ' ) flagError (); } std :: cout << pop () << std :: endl ; } C #include <stdio.h> #include <stdlib.h> #include <ctype.h> #define EOF -1 #define MAX_STACK_SIZE 100 int s [ MAX_STACK_SIZE ]; int top = -1 ; void push ( int value ) { if ( top < MAX_STACK_SIZE - 1 ) s [ ++ top ] = value ; } /* push the argument on the stack */ int pop ( void ) { if ( top == -1 ) return EOF ; return s [ top -- ]; } /* pop the top of the stack */ void flagError () { fprintf ( stderr , ""Error! \n "" ); exit ( 1 ); } int main () { int c , m , n , r ; while (( c = getchar ()) != EOF ) { if ( isdigit ( c )) push ( c - '0' ); else if (( c == '+' ) || ( c == '*' )) { m = pop (); n = pop (); r = ( c == '+' ) ? n + m : n * m ; push ( r ); } else if ( c != ' ' ) flagError (); } printf ( ""%d \n "" , pop ()); } Java import java.util.* ; public class Main { static Stack < Integer > stack = new Stack <> (); static void push ( int value ) { stack . push ( value ); } /* push the argument on the stack */ static int pop () { return stack . isEmpty () ? - 1 : stack . pop (); } /* pop the top of the stack */ static void flagError () { System . err . println ( ""Error!"" ); System . exit ( 1 ); } public static void main ( String [] args ) { Scanner scanner = new Scanner ( System . in ); int c , m , n , r ; while (( c = scanner . next (). charAt ( 0 )) != - 1 ) { if ( Character . isDigit ( c )) push ( c - '0' ); else if ( c == '+' || c == '*' ) { m = pop (); n = pop (); r = ( c == '+' ) ? n + m : n * m ; push ( r ); } else if ( c != ' ' ) flagError (); } System . out . println ( pop ()); } } Python class Stack : def __init__ ( self ): self . items = [] def push ( self , item ): self . items . append ( item ) # push the argument on the stack def pop ( self ): return self . items . pop () if self . items else - 1 # pop the top of the stack def flagError (): print ( ""Error!"" ) exit ( 1 ) s = Stack () while True : try : c = input () if c == '' : break c = ord ( c ) if c >= ord ( '0' ) and c <= ord ( '9' ): s . push ( c - ord ( '0' )) elif c == ord ( '+' ) or c == ord ( '*' ): m = s . pop () n = s . pop () r = n + m if c == ord ( '+' ) else n * m s . push ( r ) elif c != ord ( ' ' ): flagError () except EOFError : break print ( s . pop ()) JavaScript class Stack { constructor () { this . items = []; } push ( item ) { this . items . push ( item ); } /* push the argument on the stack */ pop () { return this . items . length === 0 ? - 1 : this . items . pop (); } /* pop the top of the stack */ } function flagError () { console . error ( 'Error!' ); process . exit ( 1 ); } const stack = new Stack (); process . stdin . on ( 'data' , function ( data ) { const input = data . toString (); for ( let c of input ) { if ( ! isNaN ( c )) { stack . push ( parseInt ( c )); } else if ( c === '+' || c === '*' ) { const m = stack . pop (); const n = stack . pop (); const r = ( c === '+' ) ? n + m : n * m ; stack . push ( r ); } else if ( c !== ' ' ) { flagError (); } } }); process . stdin . on ( 'end' , function () { console . log ( stack . pop ()); }); What is the output of the program for the following input ? 5 2 * 3 3 2 + * +",,15,,25,,30,,150,,B,MCQ,"The function of the program is:- 1) If the current character is a digit it pushes into stack 2) Else if the current character is operator,  it pops two elements and then performs the operation. Finally it pushes the resultant element into stack. Initially stack s is empty. 5 2 * 3 3 2 + * + 1) 5 -> It pushes into s 2) 2 -> It pushes into s 3) * -> It pops two elements n = 2, m=5 n*m = 10 It pushes 10 into s 4) 3 -> It pushes into s 5) 3 -> It pushes into s 6) 2 -> It pushes into s 7) + -> n=2, m=3 n+m=5 It pushes 5 into s 8) * -> n=5, m=3 n*m=15 It pushes 15 into s 9) + -> n=15, m=10 n+m = 25 It pushes 25 into s. Result = 25",,Programming and Data Structures,Linear Data Structures,"Arrays, stacks, queues, linked lists"
3,"Consider the C program given below : C #include <stdio.h> int main () { int sum = 0 , maxsum = 0 , i , n = 6 ; int a [] = { 2 , -2 , -1 , 3 , 4 , 2 }; for ( i = 0 ; i < n ; i ++ ) { if ( i == 0 || a [ i ] < 0 || a [ i ] < a [ i - 1 ]) { if ( sum > maxsum ) maxsum = sum ; sum = ( a [ i ] > 0 ) ? a [ i ] : 0 ; } else sum += a [ i ]; } if ( sum > maxsum ) maxsum = sum ; printf ( ""%d \\ n"" , maxsum ); } What is the value printed out when this program is executed?",,9,,8,,7,,6,,C,MCQ,"If you look for loop carefully, you will notice that it assigns sum variable to some value in if condition and increments it in the else condition. On further thought, it would be clear that this loop stores sum of increasing subsequence of positive integers in sum variable and max of sum in maxsum. Hence, maxsum - maximum sum of increasing subsequence of positive integers will get printed out when this program is executed, which is 3 + 4 = 7. //output will be 3+4 =7 {for || if 1st argument is true 2nd argument will not be calculated, and if 1st argument is false, 2nd argument will be calculated} Another Solution When i=1 -> i==0 is false, but a[i]<0 is true so condition (1) is true.Now if (sum > maxsum) is true, since sum=2 and maxsum=0.So maxsum=2. sum = (a [i] > 0) ? a [i] : 0; , sum=0 since a[i]<0. When i=2 -> i==0 is false, a[i]<0 is true and so condition (1) is true.Now if (sum > maxsum) is false, since sum=0 and maxsum=2.Since sum = (a [i] > 0) ? a [i] : 0; , sum=0 since a[i]<0. When i=3 -> i==0 is false , a[i]<0 is false and a [i] < a [i – 1] is false so condition (1) is false. Now sum += a [i] = 3. When i=4 -> i==0 is false , a[i]<0 is false and a [i] < a [i – 1] is false so condition (1) is false. Now sum += a [i] = 7. When i=5 -> i==0 is false , a[i]<0 is false and a [i] < a [i – 1] is true so condition (1) is true. sum > maxsum is true, since sum=7 and maxsum=2,so maxsum=7.Since sum = (a [i] > 0) ? a [i] : 0, so sum=2 since a[5]>0.",,Programming and Data Structures,Programming in C,
4,"The address sequence generated by tracing a particular program executing in a pure demand paging system with 100 bytes per page is 0100, 0200, 0430, 0499, 0510, 0530, 0560, 0120, 0220, 0240, 0260, 0320, 0410. Suppose that the memory can store only one page and if x is the address which causes a page fault then the bytes from addresses x to x + 99 are loaded on to the memory. How many page faults will occur ?",,0,,4,,7,,8,,C,MCQ,"Address	        Page faults	last byte in memory 0100 		page fault, 	 199 0200 		page fault, 	 299 0430		page fault,      529 0499 		no page fault 0510 		no page fault 0530 		page fault,     629 0560            no page fault 0120 		page fault,     219 0220	 	page fault,     319 0240            no page fault 0260            no page fault 0320		page fault,     419 0410            no page fault So, 7 is the answer- (C)",,Operating System,Memory Management,Virtual Memory
5,The minimum positive integer p such that 3 p modulo 17 = 1 is,,5,,8,,12,,16,,D,MCQ,Either use Fermat's Little Theorem or put the value of p and get the answer.  Option (D) is correct.,,Engineering Mathematics,Discrete Mathematics,Algebraic Structures
6,"The function f is defined as follows: C++ int f ( int n ) { if ( n <= 1 ) return 1 ; else if ( n % 2 == 0 ) return f ( n / 2 ); else return f ( 3 * n - 1 ); } C int f ( int n ) { if ( n <= 1 ) return 1 ; else if ( n % 2 == 0 ) return f ( n / 2 ); else return f ( 3 n - 1 ); } Java int f ( int n ) { if ( n <= 1 ) return 1 ; else if ( n % 2 == 0 ) return f ( n / 2 ); else return f ( 3 * n - 1 ); } Python def f ( n ): if n <= 1 : return 1 elif n % 2 == 0 : return f ( n // 2 ) else : return f ( 3 * n - 1 ) JavaScript function f ( n ) { if ( n <= 1 ) return 1 ; else if ( n % 2 === 0 ) return f ( n / 2 ); else return f ( 3 * n - 1 ); } Assuming that arbitrarily large integers can be passed as a parameter to the function, consider the following statements. 1. The function f terminates for finitely many different values of n ≥ 1. ii. The function f terminates for infinitely many different values of n ≥ 1. iii. The function f does not terminate for finitely many different values of n ≥ 1. iv. The function f does not terminate for infinitely many different values of n ≥ 1. Which one of the following options is true of the above?",,(i) and (iii),,(i) and (iv),,(ii) and (iii),,(ii) and (iv),,D,MCQ,"The function terminates for all values having a factor of 2 {(2.x)2==0} So, (i) is false and (ii) is TRUE. Let n = 3, it will terminate in 2nd iteration. Let n=5, it will go like 5 - 14 - 7 - 20 - 10 - 5 – and now it will repeat. And any number with a factor of 5 and 2, there are infinite recursions possible. So, (iv) is TRUE and (iii) is false. Hence Option(D) is the correct Option.",,Theory of Computation,Computability,Turing machines and undecidability
7,Consider a weighted undirected graph with positive edge weights and let uv be an edge in the graph. It is known that the shortest path from the source vertex s to u has weight 53 and the shortest path from s to v has weight 65. Which one of the following statements is always true?,,"weight (u, v) < 12",,"weight (u, v) ≤ 12",,"weight (u, v) > 12",,"weight (u, v) ≥ 12",,D,MCQ,"The minimum weight happens when (S,U) + (U,V) = (S,V)  Else (S,U) + (U,V) >= (S,V)  Given (S,U) = 53, (S,V) = 65  53 + (U,V) >= 63  (U,V) >= 12.   This solution is contributed by Anil Saikrishna Devarasetty",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2007/Explanation_Images/db6740b6923cf66a-3Egup2WCHDibT16giKtOzaZWUXa14x.png,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
8,"Consider the program below in a hypothetical language which allows global variable and a choice of call by reference or call by value methods of parameter passing. C int i ; program main () { int j = 60 ; i = 50 ; call f ( i , j ); print i , j ; } procedure f ( x , y ) { i = 100 ; x = 10 ; y = y + i ; } Which one of the following options represents the correct output of the program for the two parameter passing mechanisms?",,"Call by value : i = 70, j = 10; Call by reference : i = 60, j = 70",,"Call by value : i = 50, j = 60; Call by reference : i = 50, j = 70",,"Call by value : i = 10, j = 70; Call by reference : i = 100, j = 60",,"Call by value : i = 100, j = 60; Call by reference : i = 10, j = 70",,D,MCQ,"Call by value: A copy of parameters will be passed and whatever updations are performed will be valid only for that copy, leaving original values intact. Call by reference: A link to original variables will be passed, by allowing the function to manipulate the original variables.",,Compiler Design,Runtime Environments,
9,Which of the following input sequences for a cross-coupled R-S flip-flop realized with two NAND gates may lead to an oscillation ?,,"11, 00",,"01, 10",,"10, 01",,"00, 11",,D,MCQ,"RS flip flop using NAND gates. So, 00 input causes indeterminate state which MAY lead to oscillation.",,Digital Logic,Combinational and sequential circuits,
10,"The following circuit implements a two-input AND gate using two 2-1 multiplexers. What are the values of X 1 , X 2 , X 3 ?",,"X 1 =b, X 2 =0, X 3 =a",,"X 1 =b, X 2 =1, X 3 =b",,"X 1 =a, X 2 =b, X 3 =1",,"X 1 =a, X 2 =0, X 3 =b",,A,MCQ,"F = (bX 1 ' + aX 1 )X 3 + X 2 X 3 ' By putting following values:  X 1 = b, X 2 = 0, X 3 = a We will get F = ab.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2007/Explanation_Images/9abdf67a0a289e24-b3UrGNtkFWqmsC9V6TddBIQUxdBZlQ.jpg,Digital Logic,Combinational and sequential circuits,
