Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,"A 4 kilobyte (KB) byte-addressable memory is realized using four 1 KB memory blocks.   Two input address lines (IA4 and IA3) are connected to the chip select (CS) port of these memory blocks through a decoder as shown in the ﬁgure. The remaining ten input address lines from IA11–IA0 are connected to the address port of these blocks. The chip select (CS) is active high. The input memory addresses (IA11–IA0), in decimal, for the starting locations (Addr=0) of each block (indicated as X1, X2, X3, X4 in the ﬁgure) are among the options given below. Which one of the following options is CORRECT?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Question_Images/8ce1767c7e910d23-JuhT3tLJPuqcB9IuAmzQ3AJqUkkMAt.png,"(0, 1, 2, 3)",,"(0, 1024, 2048, 3072)",,"(0, 8, 16, 24)",,"(0, 0, 0, 0)",,C,MCQ,"The addresses provided are 12 bits in length. The Chip Select is active high, meaning the chip is selected when the signal to the corresponding chip is high. A 2:4 decoder is connected to the Chip Select of the four chips. The starting locations of the chips are determined by first selecting the chip and then accessing the 0th byte of that chip. There are four possible combinations of I4I3​. To determine the starting address, we only need to consider the last 5 bits (I4...I0​), as the higher bits (I11…I5​) remain 0. I4I3 Resulting value (I11⋯I0) 00 (X0) 0 (00000) 01 (X1) 8 (01000) 10 (X2) 16 (10000) 11 (X3) 24 (11000)",,Computer Organization and Architecture,Memory Hierarchy,Main memory
2,"Let X be a set and 2X denote the powerset of X. Deﬁne a binary operation Δ on 2X as follows: AΔB = (A − B) ∪ (B − A) Let H = (2X, Δ). Which of the following statements about H is/are correct?",,H is a group.,,"Every element in H has an inverse, but H is NOT a group.",,"For every A ∈ 2X, the inverse of A is the complement of A.",,"For every A ∈ 2X, the inverse of A is A.",,D,MCQ,"To make a group it should follow all property Closure : A Δ B = (A - B) ∪ (B - A) will always be a subset of 2X, so closure is satisfied. Associativity : This property holds for the operation Δ, as set union is associative. Identity Element : The identity element e would be the empty set {}. For any A in H, A Δ {} = (A - {}) ∪ ({} - A) = A ∪ A = A. So, the identity element exists. Inverse Element : For an element A in H, the inverse element would be A itself because A Δ A = (A - A) ∪ (A - A) = {} ∪ {} = {} (the identity element). So, every element has an inverse. As all four group conditions are satisfied, Statement A is correct. Statement B: Because A is correct; Therefore, Statement B is incorrect. Statement C: For every A ∈ 2X, the inverse of A is the complement of A. This statement is not correct. The inverse of A under the operation Δ is A itself, not its complement. We already showed this in Statement A. Statement D: For every A ∈ 2X, the inverse of A is A. This statement is correct. As we demonstrated in Statement A, the inverse of any element A in H under the operation Δ is A itself. Correct Statements: A and D",,Engineering Mathematics,Discrete Mathematics,Algebraic Structures
3,"Suppose you are asked to design a new reliable byte-stream transport protocol like TCP. This protocol, named my TCP, runs over a 100 Mbps network with a Round Trip Time of 150 milliseconds and a maximum segment lifetime of 2 minutes. Which of the following is/are valid lengths of the Sequence Number ﬁeld in the my TCP header?",,30 bits,,32 bits,,34 bits,,36 bits,,D,MCQ,"Given bandwidth =100 Mbps 1 sec=100*10^6 bits So,in total of 120 seconds=15000*10^5 Lifetime of a segment is 120 seconds and that in the period 15*10^8 So in total bits should be greater than 31 bits So, B,C,D",,Computer Networks,Transport Layer,TCP/UDP
4,"Let f: A → B be an onto (or surjective) function, where A and B are nonempty sets. Deﬁne an equivalence relation ∼ on the set A as a1 ∼ a2 if  f (a1) = f (a2) , where a1, a2 ∈ A. Let E = {[x] : x ∈ A} be the set of all the equivalence classes under ∼. Deﬁne a new mapping F : E → B as F ([x]) = f (x), for all the equivalence classes [x] in E . Which of the following statements is/are TRUE?",,F is NOT well-deﬁned.,,F is an onto (or surjective) function.,,F is a one-to-one (or injective) function.,,F is a bijective function.,,D,MCQ,"A. F is NOT well-defined. This statement is FALSE. F is well-defined because for each equivalence class [x], we define F([x]) = f(x), which means the value assigned by F to each equivalence class is uniquely determined by the representative element x in that class. B. F is an onto (or surjective) function. This statement is TRUE. As explained earlier, F is onto (surjective) because for every element b ∈ B, there exists an equivalence class [x] in E such that F([x]) = f(x) = b. Since f is onto, all elements of B can be mapped to by F. C. F is a one-to-one (or injective) function. This statement is FALSE. F is not one-to-one (injective) because different equivalence classes [x] and [y] can map to the same value under F if f(x) = f(y). In other words, if there exist elements a1 and a2 in A such that f(a1) = f(a2), then F([a1]) = f(a1) = f(a2) = F([a2]). D. F is bijective. This statement is FALSE. A function is bijective if and only if it is both injective and surjective. Since F is surjective (from statement B) but not injective (from statement C), it is not bijective.",,Engineering Mathematics,Discrete Mathematics,Sets/Relations/Functions
5,"Let U = {1, 2,..., n}, where n is a large positive integer greater than 1000.  Let k be a positive integer less than n. Let A, B be subsets of U  with |A| = |B| = k and A ∩ B = ∅.  We say that a permutation of U  separates A from B  if one of the following is true. 1. All members of A appear in the permutation before any of the members of B. 2. All members of B appear in the permutation before any of the members of A. How many permutations of U separate A from B?",,n!,,n C 2k (n − 2k)!,,n C 2k (n-2k)!(k!) 2,,2( n C 2k )(n-2k)!(k!) 2,,D,MCQ,"We know that, |A|=|B|=k elements of A followed by elements of B => k! k! elements of B followed by elements of A => k! k! 1 → number of permutations of 2k elements of A and B = 2k!k! ways this will create 2k+1 positions for the rest of the n-2k elements. p objects can be placed in q places such that each place can have 0 to p objects in C(p+q-1, q-1) ways 2 → there for n-2k elements can be placed in 2k+1 positions in C(n-2k+2k+1-1, 2k+1-1) = C(n, 2k) ways. 3 → Also these n-2k elements can also be permuted => (n-2k)! So total number of permutations of U which separates A from B = 2(k!)(k!)C(n, 2k)(n-2k)!, which is option D",,Engineering Mathematics,Discrete Mathematics,Combinatorics
6,"Let A be a priority queue for maintaining a set of elements. Suppose A is implemented using a max-heap data structure. The operation EXTRACT-MAX(A) extracts and deletes the maximum element from A. The operation INSERT(A,key) inserts a new element key in A. The properties of a max-heap are preserved at the end of each of these operations. When A contains n elements, which one of the following statements about the worst case running time of these two operations is TRUE?",,"Both EXTRACT-MAX(A) and INSERT(A,key) run in O(1).",,"Both EXTRACT-MAX(A) and INSERT(A,key) run in O(log(n)).",,"EXTRACT-MAX(A) runs in O(1) whereas INSERT(A,key) runs in O(n).",,"EXTRACT-MAX(A) runs in O(1) whereas INSERT(A,key) runs in O(log(n)).",,B,MCQ,"Extract_Max(A): Extracts and deletes the maximum element from A img1 Delete the root node data and replaced it by last level leaf data to maintain the max-heap property, perform top to bottom max-heapify operation, it will take O(logn) time. Insert(A, Key): Inserts a new element key in A. img2 Insert an element to the last level of max heap. If the inserted value is larger than parent node, then we have to perform bottom-to-top max heapify and it will take O(logn) time. So, both extract max(A) and insert(A, key) run in O(logn) time.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/14b2ffca4f803d09-10TLELxVwvK6NZm4olsg6jrRVTkhSh.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/ab28d93cb3d3d6e4-yqbJBkvAiDfcrf1TeXzo1HviYymA9u.png",Programming and Data Structures,Non-Linear Data Structures,Heaps
7,"Consider the IEEE-754 single precision ﬂoating point numbers P=0xC1800000 and Q=0x3F5C2EF4. Which one of the following corresponds to the product of these numbers (i.e., P × Q), represented in the IEEE-754 single precision format?",,0x404C2EF4,,0x405C2EF4,,0xC15C2EF4,,0xC14C2EF4,,C,MCQ,Given floating point number in hexa decimal format. P = 0×C1800000 Q = 0×3F5C2EF4 img1 Single precision exponent is represented in excess-127 format. Actual exponent = 132 – 127 = 4 Fractional or mantina part is 0. img2 We need to convert it is actual exponent. Actual exponent = 126 – 127 = –1 Sign bit = 0 (+ve) Actual exponent = –1 Fraction = .10111000010111011110100 Q = (1.10111000010111011110100) × 2–1 Data = P×Q–(1.0)×2+4 × (1.1011.1000010111011110100)×2–1 Data = –(1.10111000010111011110100)×2+3 Sign bit = 1 Biased exponent = Actual exponent + 127 = 3 + 127 = 130 Fraction/Mantina = 10111000010111011110100 IEEE standard floating-point format img,"https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/867c7261c82d58e9-HHLGIlBiupdubgox4tyjnX45UlPgzX.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/002a05a2d1c5e9a2-8yPPSgS1DUqCn3HhfY68QseModi0Iy.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/f529c0fefe41aea6-s9eQc1pgKqCaQprBY1AEzLWr9zEDi4.png",Digital Logic,Number Representations,Floating-point numbers
8,"A Boolean digital circuit is composed using two 4-input multiplexers (M1 and M2) and one 2-input multiplexer (M3) as shown in the ﬁgure. X0–X7 are the inputs of the multiplexers M1 and M2 and could be connected to either 0 or 1. The select lines of the multiplexers are connected to Boolean variables A, B and C as shown. Which one of the following set of values of (X0, X1, X2, X3, X4, X5, X6, X7) will realise the Boolean function A+ A.C+ A.B.C?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Question_Images/9cf0595f0353e183-wPoBhI2txz8rZdodsozGbfJbEQhipn.webp,"(1, 1, 0, 0, 1, 1, 1, 0)",,"(1, 1, 0, 0, 1, 1, 0, 1)",,"(1, 1, 0, 1, 1, 1, 0, 0)",,"(0, 0, 1, 1, 0, 1, 1, 1)",,C,MCQ,"First of all, we can see the resultant circuit is nothing but an 8x1 Multiplexer (with inputs as: X0, X1, X2, X3, X4, X5, X6, X7 that is implemented here using two 4x1 Mux (Level 1) + one 2x1 Mux (Level 2). Now as the select line of Level 2 Mux is B hence, we consider B as MSB and select lines of Level 1 Mux are A (connected to S1) and C (connected to S0), so C is LSB. now find all minterm expression for it by expanding it, so its minterms are F (A, B, C) = m (0,1,3,4,5), now to get these minterms, the inputs X0, X1, X3, X4, X5 must be 1 and remaining inputs i.e X2, X6, X7 must be 0. hence answer is option C.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/4b9461c648525339-vulvt9PtIq2oQzq8bEM5nEvF7nIWsk.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/bb654ee155bbc52c-HBlP0WIDyhueOc5qOGqbyvS7ES52nx.webp",Digital Logic,Circuits,Combinational circuits
9,"Consider a sequential digital circuit consisting of T ﬂip-ﬂops and D ﬂip-ﬂops as shown in the ﬁgure. CLKIN is the clock input to the circuit. At the beginning, Q1, Q2 and Q3 have values 0, 1 and 1, respectively. img Which one of the given values of (Q1, Q2, Q3) can NEVER be obtained with this digital circuit?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Question_Images/b1f5f92c092961a0-hcIKvqZKzGlrNBIDa15qi86pR5B33Z.png,"(0, 0, 1)",,"(1, 0, 0)",,"(1, 0, 1)",,"(1, 1, 1)",,A,MCQ,"From the given 3 state counter made from T flipflops and D flipflops, the next input sequence are as follows: T 0 =complement Q 2 D=Q 0 T 2 =Q1 Excitation table No We will see the excitation table 011->000->100->010->101->111->110",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/ae359fb0110a9372-xWDgJv6r0YOnicGxKz7IBgInm0DD4Y.png,Digital Logic,Circuits,Sequential circuits
10,"Suppose in a web browser, you click on the www.gate-2023.in URL. The browser cache is empty. The IP address for this URL is not cached in your local host, so a DNS lookup is triggered (by the local DNS server deployed on your local host) over the 3-tier DNS hierarchy in an iterative mode. No resource records are cached anywhere across all DNS servers. Let RTT denote the round trip time between your local host and DNS servers in the DNS hierarchy. The round trip time between the local host and the web server hosting www.gate-2023.in is also equal to RTT. The HTML ﬁle associated with the URL is small enough to have negligible transmission time and negligible rendering time by your web browser, which references 10 equally small objects on the same web server. Which of the following statements is/are CORRECT about the minimum elapsed time between clicking on the URL and your browser fully rendering it?",,"7 RTTs, in case of non-persistent HTTP with 5 parallel TCP connections.",,"5 RTTs, in case of persistent HTTP with pipelining.",,"9 RTTs, in case of non-persistent HTTP with 5 parallel TCP connections.",,"6 RTTs, in case of persistent HTTP with pipelining.",,D,MCQ,9 RTTs : Non-persistent HTTP with 5 parallel TCP connections because of multiple connection establishments and grouped object retrieval ( 3 RTTs (DNS) + 1 RTT (HTML) + 2 RTTs (object fetching) + 2 RTTs (connection establishment) = 9 RTTs .) 6 RTTs : Persistent HTTP with pipelining due to a single connection and sequential retrieval of objects ( 3 RTTs (DNS) + 1 RTT (connection) + 1 RTT (HTML and objects) = 6 RTTs .),https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2023/Explanation_Images/c9570eaf5019d669-cuGquw7B0N8uo0MXsbI97lkuijvroo.png,Computer Networks,Application Layer,DNS
