Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,"Consider the following ANSI C program #include int foo(int x, int y, int q) { if ((x<=0) && (y<=0)) return q; if (x<=0) return foo(x, y-q, q); if (y<=0) return foo(x-q, y, q); return foo(x, y-q, q) + foo(x-q, y, q); } int main( ) { int r = foo(15, 15, 10); printf(“%d”, r); return 0; } The output of the program upon execution is _________ .",,60,,10,,15,,50,,A,MCQ,"The function foo(x,y,q) recursively reduces x and y by q, splitting the problem into smaller subproblems until both x≤0 and y≤0, where it returns q. For foo(15,15,10), the recursion splits into two calls: foo(15,5,10) and foo(5,15,10), which further split into smaller cases. Each recursive call either adds q or terminates when x≤0 or y≤0, ensuring all paths eventually contribute to the total. Combining results, foo(15,15,10) adds up all contributions and returns 60.",,Programming and Data Structures,Recursion,
2,"Consider the following ANSI C code segment: z=x + 3 + y->f1 + y->f2; for (i = 0; i < 200; i = i + 2) { if (z > i) { p = p + x + 3; q = q + y->f1; } else { p = p + y->f2; q = q + x + 3; } } Assume that the variable y points to a struct (allocated on the heap) containing two fields f1 and f2, and the local variables x, y, z, p, q, and i are allotted registers. Common sub-expression elimination (CSE) optimization is applied on the code. The number of addition and the dereference operations (of the form y ->f1 or y ->f2) in the optimized code, respectively, are:",,403 and 102,,203 and 2,,303 and 102,,303 and 2,,D,MCQ,"Total 300 additions (for each iteration 3 addition operations (p+c,q+a) or (p+b, q+c) , (i+2) ) c=x+3; z=c+a+b 303 addition operations and 2 dereference operations (for y->f1, y->f2).",,Compiler Design,Optimization,Code optimization
3,"Consider the following ANSI C program. #include < stdio.h > int main( ) { int arr[4][5]; int  i, j; for (i=0; i<4; i++) { for (j=0; j<5; j++) { arr[i][j] = 10 * i + j; } } printf(""%d"", *(arr[1]+9)); return 0; } What is the output of the above program?",,14,,20,,24,,30,,C,MCQ,"The program initializes a 2D array arr of size 4×54 : arr[4][5] The nested loop assigns values to the array: arr [i][j] = 10⋅i+j For each i and j, the values in the array are: arr[0][4]=4, arr[1][4]=14, arr[2][4]=24, arr[3][4]=34 The key part of the code is the expression: arr[1] : Points to the first element of the second row, arr[1][0]. arr[1]+9 : Adds an offset of 9 elements to the base address of arr[1]. Value of arr[2][4]=10⋅2+4=24 (Final Answer)",https://media.geeksforgeeks.org/wp-content/uploads/20241226160038620241/gate-quiz-Q19.png,Programming and Data Structures,Programming in C,Arrays and pointers
4,"Consider the following ANSI C function: int SomeFunction (int x, int y) { if ((x==1) || (y==1)) return 1; if (x==y) return x; if (x > y) return SomeFunction(x-y, y); if (y > x) return SomeFunction (x, y-x); } The value returned by SomeFunction (15, 255) is __________ .",,15,,1275,,30,,255,,A,MCQ,"This function is calculating the GCD of the two numbers by repeated subtraction. Let’s trace the recursive calls: Initial Call : SomeFunction (15,255) Since 15<25515 < 25515<255, it goes to: SomeFunction (15,255−15) = SomeFunction (15,240) Second Call : SomeFunction(15,240) Since 15<24015 < 24015<240, it goes to: SomeFunction (15,240−15) = SomeFunction (15,225) Continue Subtracting : On repeating the subtraction process we will get: SomeFunction(15,225)→SomeFunction(15,210)→SomeFunction(15,195)→⋯→SomeFunction(15,15) Base Case : When x==y, SomeFunction(15,15) returns 15 The GCD of 15 and 255 is 15, which is the value returned by the function.",,Algorithms,Basic Techniques,Mathematical foundations
5,Consider the following ANSI C program: int main () { Integer x; return 0; } Which one of the following phases in a seven-phase C compiler will throw an error?,,Lexical analyzer,,Syntax analyzer,,Semantic analyzer,,Machine dependent optimizer,,C,MCQ,"Online IDE C compiler returns error: unknown type name ‘Integer’. That is undefined behavior. Though it also should be an syntax error as it does not satisfies syntax of ANSI C program for ""Integer"". Lexical analyzer : The lexical analyzer typically would not flag this as an error it just generates tokens for further analysis. Syntax analyzer : The syntax analyzer checks the syntax of the program based on grammar rules. Since Integer is not a valid type in C, the syntax analyzer would not generate a valid parse tree, but it doesn’t typically flag the error at this point either. Semantic analyzer : The semantic analyzer checks the meaning of the program, including type checking and variable declarations. Since Integer is not a valid type, the semantic analyzer will detect the type mismatch or undeclared type, and this phase will throw the error. Machine dependent optimizer : By this point, all type errors have already been caught, so it will not throw an error related to Integer . Answer: The Semantic analyzer phase will throw the error because it checks for type correctness, and Integer is not a valid type in C. Also official key given by GATE authority is ""Semantic analyzer"".",,Compiler Design,Phases of Compilation,Lexical analysis
6,Consider the cyclic redundancy check (CRC) based error detecting scheme having the generator polynomial X 3 +X+1. Suppose the message m 4 m 3 m 2 m 1 m 0 = 11000 is to be transmitted. Check bits c 2 c 1 c 0 are appended at the end of the message by the transmitter using the above CRC scheme. The transmitted bit string is denoted by m 4 m 3 m 2 m 1 m 0 c 2 c 1 c 0 . The value of the checkbit sequence c 2 c 1 c 0 is,,101,,110,,100,,111,,C,MCQ,"X3+X+1 can be written as 1011, so we will append three 0's at the end of the message. The value of the checkbit sequence c2c1c0 is 100. For more reference refer to cyclic check redundancy",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2021/Explanation_Images/8bc4adc6db11d335-y1cS5Fpza9BwV2oWOSignYUMK6AmN0.jpg,Computer Networks,Data Link Layer,Error detection and correction
7,"Consider a network using the pure ALOHA medium access control protocol, where each frame is of length 1,000 bits. The channel transmission rate is 1 Mbps (=10 6 bits per second). The aggregate number of transmissions across all the nodes (including new frame transmissions and retransmitted frames due to collisions) is modelled as a Poisson process with a rate of 1,000 frames per second. Throughput is defined as the average number of frames successfully transmitted per second. The throughput of the network (rounded to the nearest integer) is ______________ .",,130 to 140,,140 to 150,,120 to 130,,100 to 110,,A,MCQ,"General Formula of Efficiency of Pure Aloha = G x e -2G Where G is number of requests send in given time slot So now Tt = L/BW = 1000/10 6 = 1 millisecond For 1000 frames it will be 1000*1 millisecond = 1 second So now in 1 second total 1000 frames send ,So G =1 Value of e = 2.71(Mathematical constant) So efficiency = 1* 2.71^(-2+1) = 0.1353 Now for 1000 frames it would be 1000*0.1353 = 135.3 (Closest Integer=135)",,Computer Networks,Data Link Layer,MAC protocols
8,"Consider the string abbccddeee. Each letter in the string must be assigned a binary code satisfying the following properties: For any two letters, the code assigned to one letter must not be a prefix of the code assigned to the other letter. For any two letters of the same frequency, the letter which occurs earlier in the dictionary order is assigned a code whose length is at most the length of the code assigned to the other letter. Among the set of all binary code assignments which satisfy the above two properties, what is the minimum length of the encoded string?",,21,,23,,25,,30,,B,MCQ,"Alphabet      Frequency a                1 b                2 c                2 d                2 e                3 Required answer, = 1×3 + 2×3 + 3×2 + 2×2 + 2×2 = 23 Correct Option B",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2021/Explanation_Images/4ecdfa53eba6ddbe-orn2L8usbACk4jzebhRc4zYuEZVowF.PNG,Algorithms,Design Techniques,Greedy algorithms
9,Let H be a binary min-heap consisting of n elements implemented as an array. What is the worst case time complexity of an optimal algorithm to find the maximum element in H?,,Θ(1),,Θ(logn),,Θ(n),,Θ(nlogn),,C,MCQ,In case of min heap if we need to find out max element than it should be present at leave nodes So in worst case we need to search till leaf nodes we can't perform binary search here because its not BST and heaps need not be in sorted order. So in worst case it would be (n/2)+1. On normalizing it would be O(n) which is option 3.,,Algorithms,Complexity Analysis,Algorithm analysis
10,"For constants a≥1 and b>1, consider the following recurrence defined on the non-negative integers: T(n) = a⋅T(n/b) + f(n) Which one of the following options is correct about the recurrence T(n)?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2021/Question_Images/fc87300582c4ce88-LsqJQC8YALwwTGJpMBOf6uZ7x2CqCX.png,A,,B,,C,,D,,C,MCQ,It is one of the cases of Master's theorem .,,Algorithms,Basic Techniques,Recurrence relations
