Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,"Consider the following threads, T1, T2, and T3 executing on a single processor, synchronized using three binary semaphore variables, S1, S2, and S3, operated upon using standard wait() and signal(). The threads can be context switched in any order and at any time. Which initialization of the semaphores would print the sequence BCABCABCA….?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Question_Images/3be4cf772bc07a55-A3WrIx1rX4S3iLyyqLF58T62RJPxtR.PNG,S 1 = 1; S 2 = 1; S 3 = 1,,S 1 = 1; S 2 = 1; S 3 = 0,,S 1 = 1; S 2 = 0; S 3 = 0,,S 1 = 0; S 2 = 1; S 3 = 1,,C,MCQ,"Initially if S1 = 1, S2 = 0, S3 = 0 , Process T2 can successfully execute wait(S1); while T1 and T3 remain stuck at wait(S3); and wait(S2); respectively. After process T2 prints B it executes signal(S3), and gets stuck at wait(S1); ( B gets printed in this process.) After this Process T1 can successfully execute wait(S3); and then it executes print(“C”);, after which it executes signal(S2); and then gets stuck at wait(S3); (C gets printed in this process.) After this Process T3 can successfully execute wait(S2); and then it executes print(“A”);, after which it executes signal(S1); and then gets stuck at wait(S2); (A gets printed in this process.) After this Process T2 can execute wait(S1); successfully. The process thus keeps repeating and the pattern printed is BCABCABCA… So, option C is the correct answer.",,Operating System,Concurrency,Semaphores
2,Which one of the following statements is TRUE for all positive functions f ( n )?,,"[Tex]f(n^{2}) = \theta (f(n^{2}))  [/Tex] , when f ( n ) is a polynomial",,[Tex]f(n^{2}) = o (f(n^{2}))[/Tex],,"[Tex]f(n^{2}) = O(f(n^{2}))  [/Tex] , when f (n) is an exponential function",,[Tex]f(n^{2}) = Ω(f(n^{2}))[/Tex],,A,MCQ,"Option A: It always holds because if we square the input variable, then the highest order in the polynomial will also get squared. Option B: It is not true in cases when f(n) is a polynomial function. Option C: An exponential function may be increasing or decreasing, so this condition may not always be true. Option D: Take f(n)=logn, by this example we can prove that option d is false.",,Algorithms,Complexity Analysis,Asymptotic analysis
3,"What is printed by the following ANSI C program? #include<stdio.h> int main(int argc, char *argv[]) { int x = 1, z[2] = {10, 11}; int *p = NULL; p = &x; *p = 10; p = &z[1]; *(&z[0] + 1) += 3; printf(""%d, %d, %d\n"", x, z[0], z[1]); return 0; }",,"1, 10, 11",,"1, 10, 14",,"10, 14, 11",,"10, 10, 14",,D,MCQ,"From the C-programming code, x=1, z[0]=10 and z[1]=11 int *p= NULL; p=&x; *p=10; After this is executed, we are modifying the value of the variable ‘x’ and it’s value gets modified as x=10. *(&z[0]+1)+=3; The above line means, *( address of z[0]+1 ) += 3 =>*( address of z[1] ) += 3 =>z[1] += 3 ==> z[1] = z[1] + 3 =>z[1]=14 It is clear that the value of z[0] is not modified. So, option D is the correct answer.",,Programming and Data Structures,Programming in C,Arrays and pointers
4,"In a relational data model, which one of the following statements is TRUE?",,A relation with only two attributes is always in BCNF.,,"If all attributes of a relation are prime attributes, then the relation is in BCNF.",,Every relation has at least one non-prime attribute,,BCNF decompositions preserve functional dependencies,,A,MCQ,"Option A: It is true to say that every binary relation is always in BCNF Option B: This is false because it is not necessary to have a relation in BCNF if all the attributes are prime attributes. For example, R(A, B, C) with FD A -> C, B -> C, C -> A Here all the attributes are prime but it is not in BCNF . Option C: No, it is not necessary to have at least one non-prime attribute in a relation Option D: No, it is not necessary that every lossless BCNF decomposition is dependency preserving",,Databases,Data Models,Relational model (concepts)
5,"Let R1 and R2 be two 4-bit registers that store numbers in 2’s complement form. For the operation R1+R2, which one of the following values of R1 and R2 gives an arithmetic overflow?",,R1 = 1011 and R2 = 1110,,R1 = 1100 and R2 = 1010,,R1 = 0011 and R2 = 0100,,R1 = 1001 and R2 = 1111,,B,MCQ,The range of 2's complement represented with 4 bits are -8 to +7 A. R1= -1* 2 3 + 0* 2 2 + 1* 2 1 + 1* 2 0 = -5 R2 = -1* 2 3 + 1* 2 2 + 1* 2 1 + 0* 2 0 = -2 R1 + R2 = -7 (no overflow) B. R1= -1* 2 3 + 1* 2 2 + 0* 2 1 + 0* 2 0 = -4 R2 = -1* 2 3 + 0* 2 2 + 1* 2 1 + 0* 2 0 = -6 R1 + R2 = -10 (overflow) C. R1= 0* 2 3 + 0* 2 2 + 1* 2 1 + 1* 2 0 = 3 R2 = 0* 2 3 + 1* 2 2 + 1* 2 1 + 0* 2 0 = 4 R1 + R2 = 7 (no overflow) D. R1= -1* 2 3 + 0* 2 2 + 0* 2 1 + 1* 2 0 = -7 R2 = -1* 2 3 + 1* 2 2 + 1* 2 1 + 1* 2 0 = -1 R1 + R2 = -8 (no overflow),,Digital Logic,Number Representations,Integer representation
6,Which one of the following regular expressions correctly represents the language of the finite automaton given below,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Question_Images/e35eaa1e8bfec332-fxrbwEo4Fw3Tbkmm3PL5g49fIYr7WK.PNG,ab*bab* + ba*aba*,,(ab*b)*ab* + (ba*a)*ba*,,(ab*b+ba*a)*(a*+b*),,(ba*a+ ab*b)* (ab* + ba*),,D,MCQ,(ab*b+ba*a)(ab* + ba* ) is equivalent to (ba*a+ ab*b)* (ab* + ba*). Hence option D is the correct answer.,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/df895b29db9a82b2-FKZLm0gY8CBFUb3GrGd2ppG2P5iOgz.png,Theory of Computation,Formal Languages and Automata,Regular languages and finite automata
7,Which of the following statements is/are TRUE?,,Every subset of a recursively enumerable language is recursive.,,"If a language L and its complement L are both recursively enumerable, then L must be recursive.",,The complement of a context-free language must be recursive,,"If L1 and L2 are regular, then L1∩ L2 must be deterministic context-free",,D,MCQ,"Option A: No RE language is closed under subset operation. So subset on an RE language may or may not be REC. Therefore, option A is false. Option B: If L and L` are both RE ⇒ L is REC is a theorem and is true. Option C: Every CSL is recursive. So complement of CFL is recursive and it is true. (CFL) C =  (CSL) C = CSL Option D: L 1 = regular, L 2 = regular L 1 ∩L 2 = Regular ∩ Regular = Regular Now every regular language is a DCFL. So, option D is also true.",,Theory of Computation,Language Properties,Regular and context-free languages
8,Let WB and WT be two set associative cache organizations that use LRU algorithm for cache block replacement. WB is a write back cache and WT is a write through cache. Which of the following statements is/are FALSE?,,Each cache block in WB and WT has a dirty bit,,Every write hit in WB leads to a data transfer from cache to main memory.,,Eviction of a block from WT will not lead to data transfer from cache to main memory,,A read miss in WB will never lead to eviction of a dirty block from WB,,D,MCQ,"A. Each cache block in WB and WT has a dirty bit. False B. Every write hit in WB leads to a data transfer from cache to main memory. False, There is no need to fetch data from the main memory for the hit operation. C. Eviction of a block from WT will not lead to data transfer from cache to main memory. True D. False, A read miss in WB will lead to eviction of a dirty block from WB Write Through Cache Write Back Cache","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/32181f25893742bd-HewUsTsbariefEmIKCxP3dbYp50EkI.webp, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2022/Explanation_Images/e3e1268cf1a08193-0Fc6TNwMOOjeRUzyZUmx9G2SsbBGUj.webp",Computer Organization and Architecture,Memory Hierarchy,Cache memory
9,Which one of the following facilitates the transfer of bulk data from hard disk to main memory with the highest throughput?,,DMA based I/O transfer,,Interrupt driven I/O transfer,,Polling based I/O transfer,,Programmed I/O transfer,,A,MCQ,"The speed of the CPU limits data transfer between a fast storage medium such as a magnetic disc and a memory unit. As a result, we can allow peripherals to connect directly with one another via memory buses, eliminating the need for the CPU's interference, making DMA the optimal option for bulk data transmission.",,Computer Organization and Architecture,I/O,Interrupts and DMA
10,"A processor X1 operating at 2 GHz has a standard 5-stage RISC instruction pipeline having a base CPI (cycles per instruction) of one without any pipeline hazards. For a given program P that has 30% branch instructions, control hazards incur 2 cycles stall for every branch. A new version of the processor X2 operating at same clock frequency has an additional branch predictor unit (BPU) that completely eliminates stalls for correctly predicted branches. There is neither any savings nor any additional stalls for wrong predictions. There are no structural hazards and data hazards for X1 and X2. If the BPU has a prediction accuracy of 80%, the speed up (rounded off to two decimal places) obtained by X2 over X1 in executing P is____________.",,1.43,,2.43,,2.54,,1.54,,A,MCQ,"CPI of the original Pipeline X1 = 1 + 0.3*2 = 1.6 Cycles. Given, 80% of the times stalls can be avoided in X2, CPI of the pipeline X2 = 1 + 0.3*(1-0.8)*2 = 1.12 Speedup = CPI (X1)/CPI(X2) = 1.6/1.12 =1.43",,Computer Organization and Architecture,Pipelining,Hazards
