Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,Which of the following statements is FALSE regarding a bridge?,,Bridge is a layer 2 device,,Bridge reduces collision domain,,Bridge is used to connect two or more LAN segments,,Bridge reduces broadcast domain,,D,MCQ,"Bridge is a layer 2 device -TRUE //A device used to connect two separate Ethernet networks into one extended Ethernet and Ethernet works on DATA LINK Layer Bridge reduces collision domain-TRUE//A bridge is a two interfaces device that creates 2 collision domains, since it forwards the traffic it receives from one interface only to the interface where the destination layer 2 device (based on his mac address) is connected to. Bridge is used to connect two or more LAN segments -TRUE // It is its sole purpose Bridge reduces broadcast domain- FALSE //Bridge can reduce collision domain but can NOT reduce broadcast domain Therefore, Answer is D",,Computer Networks,Data Link Layer,Ethernet bridging
2,Which of the following statements is TRUE about CSMA/CD,,IEEE 802.11 wireless LAN runs CSMA/CD protocol,,Ethernet is not based on CSMA/CD protocol,,CSMA/CD is not suitable for a high propagation delay network like satellite network,,There is no contention in a CSMA/CD network,,C,MCQ,"CSMA/CD requires that sender should be transmitting at least till the first bit reaches the receiver, so it can detect collision if any. For Networks with high prorogation delay this time becomes too long hence the minimum packet size required becomes too big to be feasible.",,Computer Networks,Data Link Layer,Medium Access Control
3,A network with CSMA/CD protocol in the MAC layer is running at 1 Gbps over a 1 km cable with no repeaters. The signal speed in the cable is 2 x 10 8 m/sec. The minimum frame size for this network should be,,10000 bits,,10000 bytes,,5000 bits,,5000 bytes,,A,MCQ,"Frame Size S >= 2BL/P Where, Cable Length L = 1KM = 1000M Propagation Speed P = 2 x 10^8 m/sec Bandwidth = 1 Gbps = 10^9 bps See this for details of above formula. S >= (2 *  10^9 * 1000) / (2 x 10^8) >= 10000 bits",,Computer Networks,Data Link Layer,Medium Access Control
4,"A channel has a bit rate of 4 kbps and one-way propagation delay of 20 ms. The channel uses stop and wait protocol. The transmission time of the acknowledgement frame is negligible. To get a channel efficiency of at least 50%, the minimum frame size should be",,80 bytes,,80 bits,,160 bytes,,160 bits,,D,MCQ,"Bit rate = 4 kbps  One-way propagation delay = 20 ms Efficiency = Transmission time of packet/(Transmission time of packet + 2 * Propagation delay) 0.5 = x/(x + 2 * 20 * 10 -3 ) x = 20 * 10 -3 x = 40 * 10 -3 Minimum frame size / Bit rate = 40 * 10 -3 Therefore, Minimum frame size = 40 * 10 -3 * 4 * 10 3 = 160 bits Thus, option (D) is correct.",,Computer Networks,Data Link Layer,"Framing, error detection"
5,"In a TDM medium access control bus LAN, each station is assigned one time slot per cycle for transmission. Assume that the length of each time slot is the time to transmit 100 bits plus the end-to-end propagation delay. Assume a propagation speed of 2 x 10 8 m/sec. The length of the LAN is 1 km with a bandwidth of 10 Mbps. The maximum number of stations that can be allowed in the LAN so that the throughput of each station can be 2/3 Mbps is",,3,,5,,10,,20,,C,MCQ,"Given in TDM LAN, Packet size (L) = 100 bits, Bandwidth (B) = 10 Mbps = 10x10 6 bps, Distance (d) = 1 KM = 1x10 3 meters, Speed (v) = 2 x 10 8 m/sec, Throughput of each station (b) = (2/3) Mbps = (2/3)x10 6 bps Then, find the number of stations (N) = ?  First determine effective bandwidth of the given system: Transmission time (Tx) = L/B = (100 bits) / (10x10 6 bps) = 1x10 -5 seconds, And, Propagation time (Tp) = d/v = (1x10 3 meters) / (2 x 10 8 m/sec) = (1/2)x10 -5 seconds Now, efficiency of the given system is, (μ) = (Tx) / (Tx + Tp) (μ) = (1x10 -5 ) / (1x10 -5 + (1/2)x10 -5 ) (μ) = (1) / (1 + (1/2)) (μ) = (2/3) Therefore, effective bandwidth of the given system is, (B') = (efficiency) * (original bandwidth) (B') = (2/3)*10 Mbps Hence, let there be N stations, throughput of each station should be (2/3) Mbps. So, N*(2/3) = (Effective bandwidth) N*(2/3) = (2/3)*10 N = 10 The maximum number of stations that can be allowed in the LAN so that the throughput of each station can be 2/3 Mbps is 10 .",,Computer Networks,Data Link Layer,Medium Access Control
6,Consider the following message M = 1010001101. The cyclic redundancy check (CRC) for this message using the divisor polynomial x 5 + x 4 + x 2 + 1 is :,,01110,,01011,,10101,,10110,,A,MCQ,"M = 1010001101 Divisor polynomial: 1.x5 +1.x4+0.x3+1.x2+0.x1+1.x0 Divisor polynomial bit= 110101 Bits to be appended to message= (divisor polynomial bits – 1) = 5 Append 5 zeros to message bits, modified message: 101000110100000 Now, divide and XOR the message with divisor polynomial bits. Make resultant reminder to 5 bit again and that is the CRC send along with the message.",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2005/Explanation_Images/6e9f029cd7e58141-IDaX7RHN2ZMJXoX6xpLx5S9LSoPZOl.jpg,Computer Networks,Data Link Layer,"Framing, error detection"
7,"A function f defined on stacks of integers satisfies the following properties. f(∅) = 0 and f (push (S, i)) = max (f(S), 0) + i for all stacks S and integers i. If a stack S contains the integers 2, -3, 2, -1, 2 in order from bottom to top, what is f(S)?",,6,,4,,3,,2,,D,MCQ,"Since a stack follows LIFO (Last In, First Out) , we process elements from top to bottom : Stack (Top to Bottom): [2, -1, 2, -3, 2] Start with f(∅) = 0 Push 2 : f = 2 Push -1 : f = 2 - 1 = 1 Push 2 : f = 1 + 2 = 3 Push -3 : f = 3 - 3 = 0 Push 2 : f = 0 + 2 = 2 Final result: 2",,Programming and Data Structures,Linear Data Structures,"Arrays, stacks, queues, linked lists"
8,"In the following table, the left column contains the names of standard graph algorithms and the right column contains the time complexities of the algorithms. Match each algorithm with its time complexity. 1. Bellman-Ford algorithm 2. Kruskal’s algorithm 3. Floyd-Warshall algorithm 4. Topological sorting A : O ( m log n) B : O (n 3 ) C : O (nm) D : O (n + m)",,"1→ C, 2 → A, 3 → B, 4 → D",,"1→ B, 2 → D, 3 → C, 4 → A",,"1→ C, 2 → D, 3 → A, 4 → B",,"1→ B, 2 → A, 3 → C, 4 → D",,A,MCQ,"Bellman-Ford algorithm : Time complexity: O(VE) Kruskal’s algorithm : Time Complexity: O(ElogE) or O(ElogV). Sorting of edges takes O(ELogE) time. After sorting, we iterate through all edges and apply find-union algorithm. The find and union operations can take atmost O(LogV) time. So overall complexity is O(ELogE + ELogV) time. The value of E can be atmost V^2, so O(LogV) are O(LogE) same. Therefore, overall time complexity is O(ElogE) or O(ElogV) Floyd-Warshall algorithm : Time Complexity : O(V^3) Topological sorting : Time Complexity: The above algorithm is simply DFS with an extra stack. So time complexity is same as DFS which is O(V+E).",,Algorithms,Graph Algorithms,"Graph traversals, minimum spanning trees, shortest paths"
9,Let T(n) be a function defined by the recurrence T(n) = 2T(n/2) + √n for n ≥ 2 and T(1) = 1 Which of the following statements is TRUE?,,T(n) = θ(log n),,T(n) = θ(√n),,T(n) = θ(n),,T(n) = θ(n log n),,C,MCQ,n (log b a) = n which is = n^(1-.5) = O(sqrt n) then by applying case 1 of master method we get T(n) = Θ(n) Please  refer http://www.geeksforgeeks.org/analysis-algorithm-set-4-master-method-solving-recurrences/ for more details.,,Algorithms,Complexity Analysis,Asymptotic worst-case time and space complexity
10,"Let a be an array containing n integers in increasing order. The following algorithm determines whether there are two distinct numbers in the array whose difference is a specified number S > 0. C i = 0 ; j = 1 ; while ( j < n ) { if ( E ) j ++ ; else if ( a [ j ] - a [ i ] == S ) break ; else i ++ ; } if ( j < n ) printf ( ""yes"" ) else printf ( ""no"" ); Choose the correct expression for E.",,a[j] - a[i]  >  S,,a[j] - a[i]  <  S,,a[i] - a[j]  <  S,,a[i] - a[j]  > S,,B,MCQ,Please see the link below for full explanation http://www.geeksforgeeks.org/find-a-pair-with-the-given-difference/,,Algorithms,Basic Techniques,"Searching, sorting, hashing"
